SN,Website URL,SCRAPING STATUS
1,https://www.15churchrestaurant.com/,DONE
2,https://www.30parkcp.com/,DONE
3,https://42fusion.com/,DONE
4,https://550waterfrontbydruthers.com/menus/,DONE
5,https://www.saratogaspagolf.com/dining/restaurant,DONE
6,https://www.9mapleave.com/,DONE
7,https://www.9mileseast.com/,DONE
8,https://alaturcogyro.business.site,SITE UNAVAILABLE
9,https://amigoscantina.net/,DONE
10,https://andysadkgrille.com/,DONE
11,https://baileyscafe.com/,DONE
12,https://bocabistro.com/,DONE
13,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,DONE
14,https://beneluxny.com/,DONE
15,https://saratogabreadbasket.com/,DONE
16,https://www.burgerfi.com/,DONE
17,https://burnthillscafe.shop/,DONE
18,https://beerwinepizza.com/,DONE
19,http://www.cantinasaratoga.com/,DONE
20,https://www.cardonasmarket.com/location/cardonas-market-saratoga/,DONE
21,https://www.carsonswoodside.com/,DONE
22,https://www.chezpierrerestaurant.com/,DONE
23,https://chiantiristorante.com/,DONE
24,https://thecoatroom.com/,DONE
25,https://www.thecocknbull.com/,DONE
26,https://www.coffeeplanetcafe.com/,DONE
27,https://www.vanpattengolf.com/mixed-breed-brewing,DONE
28,https://www.countrycornercafe.net/,DONE
29,https://www.crackerbarrel.com/Locations/States/ny/clifton-park/293,SITE UNAVAILABLE
30,http://www.dairyhaus.com/,SITE UNAVAILABLE
31,https://www.dizzychickenbarbecue.com/,DONE
32,https://www.druthersbrewing.com/,DONE
33,http://dunningstreetstation.com,SITE UNAVAILABLE
34,https://www.eateddiefs.com/,DONE
35,https://esperantosaratoga.com/,SITE UNAVAILABLE
36,https://www.fatpaulies.com/,DONE
37,https://www.fornobistro.com/,DONE
38,https://wanderlog.com/place/details/1235169/four-seasons-natural-foods-cafe,DONE
39,http://www.franklinsqmarket.com/,DONE
40,http://www.hamletandghost.com/,DONE
41,http://harusaratoga.com/,DONE
42,http://harveyspub.com/,DONE
43,https://hattiesrestaurants.com/,DONE
44,https://www.henrystreettaproom.com/,DONE
45,http://www.hillsandhollowsny.com/,DONE
46,http://www.horseshoesaratoga.com/,DONE
47,https://humptydumptyicecream.weebly.com/,DONE
48,https://www.jacobandanthony.com/,DONE
49,http://www.karavallisaratoga.com/,DONE
50,http://www.kickstartcoffeecompany.com/,DONE
51,http://www.kindredsaratoga.com/,DONE
52,https://www.kingbrothersdairy.com/,DONE
53,https://www.saratoga.com/business/kings-tavern-16325/,DONE
54,http://krucoffee.com/,DONE
55,https://www.lake-ridge.com/,DONE
56,https://www.lakesidefarmscidermill.com/,DONE
57,https://saratogacasino.com/dining/lucky-joes/,DONE
58,https://mamamiassaratoga.com/,DONE
59,https://marinosofsaratoga.com/,SITE UNAVAILABLE
60,https://www.mazzonehospitality.com/,DONE
61,https://morrisseyslounge.com/,DONE
62,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,DONE
63,http://www.mouzonhouse.com/,DONE
64,http://www.nkmilton.com/,DONE
65,http://www.novesaratoga.com/,DONE
66,http://www.oldebryaninn.com/,DONE
67,http://panzasrestaurant.com/,DONE
68,https://www.partingglasspub.com/,DONE
69,https://dzrestaurants.com/dz-restaurants-announces-sale-of-pasta-pane-in-clifton-park/,DONE
70,http://www.pennellsrestaurant.com/,DONE
71,https://philafusion.com/,DONE
72,https://primeatsaratoganational.com/prime-restaurant/,DONE
73,http://www.putnammarket.com/,DONE
74,https://www.gideonputnam.com/,NO MENU
75,https://ravenswoodpub.com/,DONE
76,https://www.rhea-saratoga.com/,DONE
77,http://www.saltandcharsaratoga.com/,DONE
78,http://www.saratogagolfpoloclub.org/,NO MENU
79,http://scallionsrestaurant.com/,DONE
80,https://seneca-saratoga.com/,DONE
81,http://www.simplyfoodbymaura.com/,DONE
82,https://sirossaratoga.com/,SITE UNAVAILABLE
83,https://speckledpigbrewing.com/,DONE
84,http://spotcoffee.com/,DONE
85,https://springstreetdeli.net/,DONE
86,https://www.sushithaigardensaratoga.com/,DONE
87,http://www.sweetmimiscafe.com/,DONE
88,https://www.tavernanovo.com/,DONE
89,http://www.thebasingrill.com/,NO MENU
90,http://thebrooktavern.com/,DONE
91,https://www.diamondclubrestaurantsaratoga.com/,DONE
92,https://www.theendzonesportspub.com/,DONE
93,https://www.theflats675.com/,DONE
94,https://chamber.saratoga.org/list/member/the-galway-local-13586,DONE
95,https://www.gideonputnam.com/,NO MENU
96,http://www.hideawaysaratoga.com/,DONE
97,http://www.theinnatsaratoga.com/,DONE
98,https://www.ironsedgeny.com/,DONE
99,https://www.thekettlerestaurant.com/,NO MENU
100,https://www.thelocalpubandteahouse.com/,DONE
101,http://www.themercsaratoga.com/,DONE
102,http://www.themisfitsaratoga.com/,DONE
103,http://www.saratoganightowl.com/,DONE
104,http://www.saratogacitytavern.com/,DONE
105,https://www.theinnatsaratoga.com/food-and-drinks,DONE
106,http://thesiloqueensbury.com/,NO MENU
107,https://spacafeonbroadway.com/,SPAM
108,https://the-twisted-bagel-company.com-place.com/,DONE
109,https://chamber.saratoga.org/list/member/the-ugly-rooster-cafe-malta-13151,DONE
110,http://www.thewestsidesportsbar.com/,DONE
111,https://www.thewhistlingkettle.com/,DONE
112,https://www.windchillfactory.com/ballston-spa-homepage,DONE
113,http://www.thirstyowlsaratoga.com/,DONE
114,https://www.thornandroots.com/,DONE
115,http://www.uncommongrounds.com/,DONE
116,https://villagepizzeria.com/,DONE
117,https://www.westavepizza.com/,DONE
118,http://www.wheatfields.com/,DONE
119,https://www.scottystruckstop.com/,DONE
120,http://www.wishingwellrestaurant.com/,DONE
