sr_no,restaurant_name,restaurant_url,menu_type,section,name,description,price
1,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,WARM FRENCH BÂTARD,"CHIVES, GRANA PADANO, OLIVE OIL, SABA",$5
2,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,FOIE GRAS BRATWURST,"SOPPRESSATA JAM, GRUYÉRE MORNAY, ONION FRILLY, BRIOCHE BUN",$27
3,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,SHRIMP CALABRESE,"TOASTED GARLIC POMODORO, SAMBAL, ITALIAN LONG HOTS, TOASTED BREADCRUMB, GRILLED CROSTINI",$27
4,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,RICOTTA GNOCCHI Á LA BOLOGNESE,"SHOWER OF PARMESAN, OLIVE OIL",$27
5,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,HOISIN GLAZED PORK BELLY,"CRISPY OYSTERS, CHILI CRUNCH, CELERY ROOT PURÈE, SCALLION",$29
6,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,BURRATA,"PORT WINE APPLE JAM, PECAN NOUGAT, BASIL, GRILLED BREAD",$27
7,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,IMPERIAL GOLD KALUGA CAVIAR (1oz),TRADITIONAL ACCOMPANIMENTS,$95
8,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,1/4 LB. COLOSSAL SHRIMP COCKTAIL (2),LOUIS AND COCKTAIL SAUCES,$28
9,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,OYSTERS ON THE HALFSHELL (6),TRADITIONAL ACCOMPANIMENTS,$27
10,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,COMPOSED OYSTERS ON THE HALFSHELL (6),"CUCUMBER, YUZU, SOY, FRESH WASABI",$36
11,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,WEDGE SALAD,"ROASTED TOMATOES, CRISPY ONIONS, BACON, PICKLED SHALLOTS, GORGONZOLA DRESSING",$19
12,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,ROASTED BEETS,"WALNUT VINAIGRETTE, CAMBOZOLA, BACON LARDON, BAGUETTE CHIPS, FRISÈE",$21
13,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,FALKLAND ISLAND SEA BASS,"MISO GLAZED SEA BASS, BOK CHOY, SHIITAKE MUSHROOMS, CRISPY WASABI",$55
14,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,RABBIT RAGOUT,"BRAISED SPANISH RABBIT, CRESTE DI GALLO PASTA, LOCAL OYSTER MUSHROOM, PANCETTA, BABY SPINACH, MARSALA CREAM, TRUFFLE PECORINO",$49
15,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,ROASTED CHICKEN,"SEMI-BONELESS LOCAL CHICKEN, CELERIAC PURÈE, BLUE OYSTER MUSHROOM, MARSALA PAN SAUCE, SHOESTRING POTATO",$42
16,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,PORK CHOP SCARPARIELLO,"SWEET ITALIAN SAUSAGE, PROSCIUTTO, CHERRY PEPPER VINEGAR SAUCE, CRISPY ROSEMARY POTATOES, FRESH BASIL",$59
17,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,STREET NOODLE,"YAKISOBA NOODLES, SHRIMP, CHAR SIU, PORK BELLY, NAPA CABBAGE, FARM EGG, PEANUTS, SRIRACHA AIOLI",$42
18,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,PRIME FILET MIGNON,"GORGONZOLA BUTTER, GARLICKY SPINACH, CRISPY ONIONS, RED ONION MARMALADE, ROASTED GARLIC DEMI",$79
19,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,12 OZ KING CUT,,$110
20,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,ROASTED SWEET POTATO,"PISTACHIO BUTTER, TOASTED SESAME & HAZELNUT DUKKAH",$14
21,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,PARMESAN FRIES,"FANCY SAUCE, KETCHUP",$14
22,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,BROCCOLI RABE,"CHERRY PEPPERS, TOASTED GARLIC",$14
23,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"PROSECCOo Extra DRY NV, LAMBERTI","(VENETO, ITALY)",$16
24,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"CRÉMANT BRUT ROSÉ, GRATEIN & MEYER NV","(LOIRE VALLEY, FRANCE)",$16
25,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"CHAMPAGNE BRUT, MOËT CHANDON 187ML","(CHAMPAGNE, FRANCE)",$30
26,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"PINOT GRIGIO, SAND POINT","(LODI, CALIFORNIA)",$16
27,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"PINOT GRIGIO, SANTA MARGHERITA","(ALTO-ADIGE, ITALY)",$20
28,15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,,"SAUVIGNON BLANC, SAINT CLAIR, DILLONS POINT","(MARLBOROUGH, NEW ZEALAND)",$16
