restaurant_name,restaurant_url,menu_type,name,description,price
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,WARM FRENCH BÂTARD,"CHIVES, GRANA PADANO, OLIVE OIL, SABA",$5
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,FOIE GRAS BRATWURST,"SOPPRESSATA JAM, GRUYÉRE MORNAY, ONION FRILLY, BRIOCHE BUN",$27
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,SHRIMP CALABRESE,"TOASTED GARLIC POMODORO, SAMBAL, ITALIAN LONG HOTS, TOASTED BREADCRUMB, GRILLED CROSTINI",$27
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,RICOTTA GNOCCHI Á LA BOLOGNESE,"SHOWER OF PARMESAN, OLIVE OIL",$27
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,HOISIN GLAZED PORK BELLY,"CRISPY OYSTERS, CHILI CRUNCH, CELERY ROOT PURÈE, SCALLION",$29
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,BURRATA,"PORT WINE APPLE JAM, PECAN NOUGAT, BASIL, GRILLED BREAD",$27
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,IMPERIAL GOLD KALUGA CAVIAR (1oz),TRADITIONAL ACCOMPANIMENTS,$95
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,1/4 LB. COLOSSAL SHRIMP COCKTAIL (2),LOUIS AND COCKTAIL SAUCES,$28
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,OYSTERS ON THE HALFSHELL (6),TRADITIONAL ACCOMPANIMENTS,$27
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,COMPOSED OYSTERS ON THE HALFSHELL (6),"CUCUMBER, YUZU, SOY, FRESH WASABI",$36
15 Church Restaurant,https://www.15churchrestaurant.com/,Dinner Menu,WEDGE SALAD,"ROASTED TOMATOES, CRISPY ONIONS, BACON, PICKLED SHALLOTS, GORGONZOLA DRESSING",$19
