restaurant_name,restaurant_url,menu_type,name,description,price
30 Park,https://www.30parkcp.com/,Happy Hour,SOUTHWEST ROLLS,,$8
30 Park,https://www.30parkcp.com/,Happy Hour,SPINACH ARTICHOKE DIP,,$8
30 Park,https://www.30parkcp.com/,Happy Hour,"NACHOS – CHOICE OF PULLED PORK, CHICKEN OR BEEF",,$11
30 Park,https://www.30parkcp.com/,Happy Hour,FLATBREAD OF THE DAY,,$9
30 Park,https://www.30parkcp.com/,Happy Hour,COCONUT SHRIMP,,$10
30 Park,https://www.30parkcp.com/,Happy Hour,MOZZARELLA STICKS,,$7
30 Park,https://www.30parkcp.com/,Happy Hour,SAUSAGE STUFFED MUSHROOMS W/ AIOLI,,$9
30 Park,https://www.30parkcp.com/,Happy Hour,3 CHICKEN SALAD SLIDERS,,$9
30 Park,https://www.30parkcp.com/,Happy Hour,"MEATBALLS, TOMATO SAUCE",,$9
30 Park,https://www.30parkcp.com/,Happy Hour,"SARATOGA CHIPS, FRENCH ONION DIP",,$8
30 Park,https://www.30parkcp.com/,Happy Hour,DOGFISH HEAD,Min IPA,$60
30 Park,https://www.30parkcp.com/,Happy Hour,Well Cocktails,,$6
30 Park,https://www.30parkcp.com/,Happy Hour,House Wines,,$5
30 Park,https://www.30parkcp.com/,Happy Hour,Bottled Beer,,$4
30 Park,https://www.30parkcp.com/,Happy Hour,Domestic Draft,,$5
30 Park,https://www.30parkcp.com/,Snacks,TACO DEL DIA,,$7
30 Park,https://www.30parkcp.com/,Snacks,Street Corn Chicken Taco,"Street Corn Filling, Grilled Chicken, Street Corn Topping, Cotija Cheese with Cilantro Lime Crema",
30 Park,https://www.30parkcp.com/,Snacks,DAILY FLATBREAD,Ask Your Server for Today’s Delicious Flatbread Special,$10
30 Park,https://www.30parkcp.com/,Snacks,CRAB CAKE,"Pan-Seared 4oz House Made Crab Cake, Corn Relish & Cajun Remoulade",$9
30 Park,https://www.30parkcp.com/,Snacks,BEEF BACON JAM SKEWERS,"Grilled Beef Tenderloin Tips, Bourbon Bacon Jam, and Balsamic Glaze",$14
30 Park,https://www.30parkcp.com/,Soup & Salad,SOUP OF THE DAY,,$5
30 Park,https://www.30parkcp.com/,Soup & Salad,NEW ENGLAND CLAM CHOWDER,Creamy soup featuring claims & potatoes,$7
30 Park,https://www.30parkcp.com/,Soup & Salad,GARDEN SALAD (GFV),"Spring Mixed Greens, Fresh Cut Vegetables, Choice of Dressing",$6 (small) | $10 (large)
30 Park,https://www.30parkcp.com/,Soup & Salad,CAESAR SALAD*,"Chopped Romaine, House Croutons, Romano & Asiago, Caesar Dressing",$8 (small) | $13 (large)
30 Park,https://www.30parkcp.com/,Soup & Salad,NUT & BERRY SALAD (GFV),"Strawberries, Blueberries, Walnuts, Crumbled Blue Cheese, Spring Mixed Greens, White Balsamic Dressing",$9 (small) | $16 (large)
30 Park,https://www.30parkcp.com/,Soup & Salad,WEDGE SALAD (GF),"Iceberg Lettuce, Crispy Bacon, Diced Tomatoes, Diced Onions, Hard Boiled Egg, Bleu Cheese Crumbles, Bleu Cheese Dressing",$7 (small) | $14 (large)
30 Park,https://www.30parkcp.com/,Soup & Salad,"+ Protein to Any Salad: Grilled Chicken, Salmon, or Steak",,$8
30 Park,https://www.30parkcp.com/,Appetizers,STEAMED CLAMS*,"Sailor’s Dozen of Littlenecks, Steamed in White Wine, Butter & Garlic Topped with Bacon, Tomato, Scallions, Grilled Ciabatta Bread",$21
30 Park,https://www.30parkcp.com/,Appetizers,CHICKEN WINGS,"Blue Cheese, Celery & Carrot Sticks Served Naked or Tossed in Your Choice of Hot Medium, Mild, Garlic Parmesan, Honey Chipotle, Honey BBQ, BBQ Dry Rub, or Lemon Pepper",$17
30 Park,https://www.30parkcp.com/,Appetizers,CALAMARI,Fried Calamari with Your Choice of Marinara or Sweet Thai Chili Sauce,
30 Park,https://www.30parkcp.com/,Appetizers,BUFFALO CHICKEN DIP,"Cream Cheese, Chicken Breast, Franks Red Hot Sauce, Fresh Tortilla Chips",$13
30 Park,https://www.30parkcp.com/,Appetizers,SPINACH ARTICHOKE DIP (V),"Spinach, Artichoke Hearts, Feta, Asiago, Fresh Tortilla Chips",$12
30 Park,https://www.30parkcp.com/,Appetizers,MEATBALLS & SAUCE,5 Beef and Pork Meatballs topped with Red Sauce Served in a Cast Iron Skillet,$13
30 Park,https://www.30parkcp.com/,Appetizers,GRILLED VEGETABLE QUESADILLA (V),"Cheddar Jack Cheese, Grilled Pepper and Onions, served w/ Sour Cream Salsa + Grilled Chicken, Cream Steak, BBQ Pork or Garlic Braised Beef  8",$12
30 Park,https://www.30parkcp.com/,Handful,PULLED BBQ PORK SANDWICH*,"Crispy Onions, Coleslaw, Toasted Brioche Bun",$16
30 Park,https://www.30parkcp.com/,Handful,CRISPY CHICKEN SANDWICH*,"Coleslaw, Mayo, Toasted Brioche Bun",$16
30 Park,https://www.30parkcp.com/,Handful,CAPRESE PANINI (V),"Garlic Basil Pesto Spread, Fresh Sliced Tomato, Mozzarella Cheese, Grilled Multigrain Bread",$16
30 Park,https://www.30parkcp.com/,Handful,BLT WRAP,"Applewood Bacon, Romaine, Tomato, Avocado, Mayo, Jalapeño Cheddar Tortilla",$15
30 Park,https://www.30parkcp.com/,Handful,THE BURGER*,"8oz Certified Angus, Lettuce, Tomato, Onion, 30 Park Sauce, Toasted Brioche Bun",$18
30 Park,https://www.30parkcp.com/,Handful,OLD BAY BURGER,"8oz Jumbo Lump Crab Burger, Lettuce, Tomato, Onion, Cajun Remoulade, Corn Relish, Toasted Brioche Bun",$21
30 Park,https://www.30parkcp.com/,Handful,LOBSTER ROLL,Lobster Served warm with Butter and Lemon on a Toasted New England Style Roll,$29
30 Park,https://www.30parkcp.com/,Handful,ROSEMARY TURKEY,"Carved Turkey Breast, Greenleaf Lettuce, Tomato, Onion, Mayo & Grilled Rosemary Schiacciata",$17
30 Park,https://www.30parkcp.com/,Handful,THE PARK DIP,"House Braised Chuck Roast, Caramelized Onion, Cheddar Cheese, Toasted Rosemary Schiacciata, Rosemary Demi-Glace, Served with au jus",$18
30 Park,https://www.30parkcp.com/,Handful,THE REUBEN,"Beer-Braised House Made Corned Beef, Sauerkraut, Thousand Island, Swiss Cheese, Grilled Marble Rye                                                                             -Turkey Reubens Available-",$17
30 Park,https://www.30parkcp.com/,Handful,CRANBERRY CHICKEN SALAD WRAP,"Chopped Romaine, Sliced Granny Smith, Balsamic Reduction, Herb Tortilla",$16
30 Park,https://www.30parkcp.com/,Handful,"ALL SANDWICHES ARE SERVED WITH CHOICE OF SIDE FRIES, SWEET POTATO FRIES, ONION RINGS (+$4)",,
30 Park,https://www.30parkcp.com/,Handful,"GARDEN SALAD, CEASAR SALAD (+$2)",,
30 Park,https://www.30parkcp.com/,Knife & Fork,GRILLED LEMON SALMON (GF),"8oz Canadian Filet, Steamed Rice, Asparagus, Lemon Garlic Dill Sauce",$31
30 Park,https://www.30parkcp.com/,Knife & Fork,BRAISED BONELESS BEEF SHORT RIB (GF),"Mashed Potato, Broccolini, Rosemary Demi Glaze & Hotel Butter",$39
30 Park,https://www.30parkcp.com/,Knife & Fork,MAC & CHEESE,"Elbow Macaroni, Cheddar Cream Sauce, Crispy Fried Onions             + Buffalo Chicken, BBQ Pulled Pork, or Garlic Braised Beef 8",$20
30 Park,https://www.30parkcp.com/,Knife & Fork,CHICKEN PARMESAN,"Breaded Chicken, Red Sauce, Mozzarella Cheese over Fettuccini",$24
30 Park,https://www.30parkcp.com/,Knife & Fork,DIAMOND-CUT RIBEYE (GF),"16oz Certified Angus Prime Steak, Mashed Potato, Broccolini",$40
30 Park,https://www.30parkcp.com/,Knife & Fork,PASTA YOUR WAY,,$20
30 Park,https://www.30parkcp.com/,Knife & Fork,Choice of Protein:,"Grilled Chicken, Salmon, Steak, or Garlic Braised Beef (8)",
30 Park,https://www.30parkcp.com/,Knife & Fork,30 PARK FUSION BOWL,"White Rice, Mango, Black Beans, Fresh Avocado, Cilantro, Spicy Chipotle Cream Sauce. + Grilled Chicken, Steak, Salmon (8), Shrimp (12)",$28
30 Park,https://www.30parkcp.com/,Knife & Fork,CHEF’S CATCH SEAFOOD SPECIAL MP,Available Thursday – Saturday,
30 Park,https://www.30parkcp.com/,Knife & Fork,CHOICE OF SAUCE:,"Alfredo, Lemon Wine, Marinara, Chipotle Cream Sauce, or Bolognese (+6)",
30 Park,https://www.30parkcp.com/,Drinks,KONA,,
30 Park,https://www.30parkcp.com/,Drinks,YUENGLING,,
30 Park,https://www.30parkcp.com/,Drinks,SAM ADAMS (SEASONAL),,
30 Park,https://www.30parkcp.com/,Drinks,STELLA ARTOIS,,
30 Park,https://www.30parkcp.com/,Drinks,LABATT BLUE LIGHT,,
30 Park,https://www.30parkcp.com/,Drinks,BLUE MOON,,
30 Park,https://www.30parkcp.com/,Drinks,COORS LIGHT,,
30 Park,https://www.30parkcp.com/,Drinks,PERONI,,
30 Park,https://www.30parkcp.com/,Drinks,FIDDLEHEAD,,
30 Park,https://www.30parkcp.com/,Drinks,MILLER LITE,,
30 Park,https://www.30parkcp.com/,Drinks,GUINNESS,,
30 Park,https://www.30parkcp.com/,Drinks,DOGFISH HEAD 60MIN IPA,,
30 Park,https://www.30parkcp.com/,Drinks,BUD LIGHT,,
30 Park,https://www.30parkcp.com/,Drinks,CORONA EXTRA,,
30 Park,https://www.30parkcp.com/,Drinks,HEINEKEN,,
30 Park,https://www.30parkcp.com/,Drinks,HEINEKEN ZERO,,
30 Park,https://www.30parkcp.com/,Drinks,MICHELOB ULTRA,,
30 Park,https://www.30parkcp.com/,Drinks,MILLER LIGHT,,
30 Park,https://www.30parkcp.com/,Drinks,MODELO,,
30 Park,https://www.30parkcp.com/,Drinks,WHITE CLAW (VARIETY),,
30 Park,https://www.30parkcp.com/,Drinks,HIGH NOON (VARIETY),,
30 Park,https://www.30parkcp.com/,Drinks,SURFSIDE (VARIETY),,
30 Park,https://www.30parkcp.com/,Drinks,RAZZLE DAZZLE,"Limoncello, Raspberry Puree, Prosecco, and Lemonade",$11
30 Park,https://www.30parkcp.com/,Drinks,Gracie Kiss,"Raspberry Vodka, Chambord, Cointreau, Lime Juice",$13
30 Park,https://www.30parkcp.com/,Drinks,Yankee Old Fashioned,"Yankee Bourbon, Bitters, Sweet Vermouth, Orange Peel, Luxardo Cherry",$12
30 Park,https://www.30parkcp.com/,Drinks,Classic Margarita,"Tequila, Orange Liqueur, Simple Syrup, Lime Juice. Flavor Options: Strawberry, Raspberry, Mango, Peach and Blueberry",$11
30 Park,https://www.30parkcp.com/,Drinks,No Booze Blueberry Lemonade,"Lemonade, Blueberry Syrup, Simple Syrup, Club Soda",$6
30 Park,https://www.30parkcp.com/,Drinks,PINOT NOIR,"Intercept (Santa Barbara, CA)",$$12 (glass) (small) | $$46 (bottle) (large)
30 Park,https://www.30parkcp.com/,Drinks,CABERNET SAUVIGNON JOSH CELLAR,,$12 (glass) | $38 (bottle)
30 Park,https://www.30parkcp.com/,Drinks,CABERNET SAUVIGNON HIDDEN POST,,$10 (glass) | $46 (bottle)
30 Park,https://www.30parkcp.com/,Drinks,MALBEC,"Piattelli Vineyards (Lujan de Cuyo, ARG)",$$10 (glass) (small) | $$34 (bottle) (large)
30 Park,https://www.30parkcp.com/,Drinks,MERLOT,"Robert Hall (Central Coast, CA)",$$12 (glass) (small) | $$45 (bottle) (large)
30 Park,https://www.30parkcp.com/,Drinks,RED BLEND,Vicolo Montepulciano D’abruzzo (Italy),$$9 (glass) (small) | $$35 (bottle) (large)
30 Park,https://www.30parkcp.com/,Drinks,RED ZINFINDEL,"Millefiori (Puglia, Cantine Paolo Leo, Italy)",$$9 (glass) (small) | $$40 (bottle) (large)
30 Park,https://www.30parkcp.com/,Drinks,CHARDONNAY KENDALL JACKSON,,$11 (glass) | $38 (bottle)
30 Park,https://www.30parkcp.com/,Drinks,CHARDONNAY DAOU,,$9 (glass) | $35 (bottle)
