restaurant_name,restaurant_url,section,name,description,price
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Hart's Shoe Shandy,4% ABV. A nice and easy Pink Lemonade Shandy built for warm weather drinking by the lake or long nights on the patio with friends.,16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Golden Rule Blonde,"Kölsch. 5% ABV. A German-style Kolsch, light gold in color with a balance of malt and hops. German pale malts and Crystal hops create a beer that is subtle, not boring.",16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Saratoga Vibes,"Lager - Other. 5.2% ABV. A crisp, fresh lager brewed with coriander, a touch of lemon and lime. Perfect for summer nights at SPAC.",16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Apple Cranberry Blonde,"Fruit Beer. 5.3% ABV. Freshly-pressed local apples added after the first fermentation gives this beer a bright fruit character that is accented by just enough cinnamon, orange peel and cardamom. Cranberries add color and balancing tartness while pilsner malt keeps things beery.",16oz Draft $10.00 | 4 Pack To Go $14.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,All-In,"IPA - American. 6.5% ABV. A hoppy American-style India Pale Ale with Amarillo and Cascade giving a fruity, grapefruit aroma while Polaris provides bitterness. German Vienna malt balances the finish.",16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Uncurious DDH NEIPA,"IPA - New England. 6.5% ABV. Don’t let the name fool you, we’re always trying to find what makes a great New England IPA and have gone above and beyond to find the answer. The result? Vibrant yellow with an electric feel; Haze for days, and a tropical trinity of hops yielding flavors of mango, passion fruit and citrus that finishes sweet yet surprisingly clean. We’ll never stop trying to improve but we think you’ll like what we’ve discovered. So what are you waiting for? Aren’t you curious?",16oz Draft $10.00 | 4 Pack To Go $14.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Honeybear,"IPA - Imperial. 8% ABV. A smooth and creamy hazy DIPA fermented along with Honey then double dry hopped with Citra Cryo, Idaho 7 and Cashmere.",16oz Draft $10.00 | 4 Pack To Go $14.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Strawberry Dare,Sour - Fruited Gose. 5.8% ABV. Gose style sour ale brewed with salt and coriander. Refermented with a pound of strawberries per gallon. Coriander adds citrus notes while the finish is refreshingly tart.,16oz Draft $9.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Not My Gumdrop Buttons!,Spiced. 5.8% ABV. Forget the eggnog and indulge in the Holidaze with our seasonal special- Gingerbread Ale! This literal libation of a gingerbread cookie will have you feeling like a roasted chestnut on Christmas Day!,16oz Draft $10.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Scottish-Style 80 Shilling Ale,"Scottish Export Ale. 5.2% ABV. This malty Scottish-style beer has notes of caramel up front. Malty tasting through the finish, hops are used sparingly. Silver Award Winner at the 2016 World Beer Cup (Scottish-style ale category).",16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Dark Encounter,"Lager - Dark. 5.5% ABV. Gold Medal Winner at the 2024 NYS Craft Beer Competition in the Dark Lager Category. A rich and malty German- style lager brewed for the colder months, using all German malts and hops. This medium bodied lager imparts a luscious, smooth and toasty flavor with hints of toffee and cocoa. Pouring dark brown with ruby highlights with a light tan head.",16oz Draft $9.00 | 4 Pack $12.00 | 16oz Can 4 Pack $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,Oatmeal Stout,"Stout - Oatmeal. 5.6% ABV. This is a rich, malty ale. Dark-roasted malts lend flavors reminiscent of cocoa and coffee. Oats add fullness to the body while roastiness balances the finish.",16oz Draft $9.00 | 4 Pack To Go $12.00
550 Waterfront by Druthers,https://550waterfrontbydruthers.com/,Draft List,D-Light,"Lager - American Light. 4.3% ABV. Our version of an American classic. Light-bodied, straw-yellow color with subtle hop character that goes down easy - this beer is domestic as it gets.",16oz Can $9.50 | 4 Pack To Go $12.00
