restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pistachio Cream,French Pistachio Syrup with a splash of Cream and Vanilla Vodka. Shaken and strained straight up in a chilled martini glass.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Fig-Ment,"A delicious lowball made with Four Roses Bourbon, a splash of Fig Syrup, Orange Bitters and garnished with an orange twist.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Elmo Lincoln,"Bourbon with a splash of Crème de Cassis, a squeeze of Lemon and a touch of Simple Syrup. Finished with a drop of Angostura Bitters and served in a highball.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ghunga's Revenge,Bourbon with a large splash of Cognac and Coffee with a hint of Maple Syrup. Garnished with an orange twist and served in a lowball.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Monk's Funk,Blended Scotch with Drambuie and Borghetti Espresso Liqueur with a touch of Cream. Shaken and strained straight up in a chilled martini glass. Garnished with fresh Cinnamon and one Coffee Bean.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Apple Crisp,"A full pour of Calvados with Licor 43, Biscotti Liquor, a hint of Cinnamon Syrup and a touch of Crème de Coconut. Shaken and strained straight up in a chilled martini glass garnished with fresh Cinnamon.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Classic Style Martini,"This cocktail can be custom made to your specifications. Made with your choice of vodka or gin. Served straight up or on the rocks, shaken or stirred, dirty or not, olives or a twist",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Espresso Martini,This eye-opener is made with vodka and espresso liqueur and a splash of coffee. Shaken until frothy and served straight up and garnished with three coffee beans,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Chocolate Martini,Made with vodka and dark chocolate liqueur. Served straight up in a chilled martini glass,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lemon Ice Martini,"Made with vodka and Limoncello, and fresh squeezed lemon. Served icy cold and straight up in a chilled martini glass",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,White Chocolate Martini,Made with vodka and white chocolate liqueur. Shaken and strained straight up in a chilled martini glass with fresh nutmeg,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lemonade Martini,Made with vodka and fresh lemons with a splash of simple syrup. Shaken and served straight up in a cold sugar-rimmed martini glass,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,The Oblique Martini,"This martini starts off with muddled lime and orange and then equal parts Malibu and Hypnotiq tropical fruit liqueur. Shaken and strained straight up in a chilled martini glass, garnished with an orange slice",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Godmother Martini,Made with vodka and Amaretto. Served icy cold and straight up in a chilled martini glass,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Midnight Martini,Made with vodka and Framboise and Raspberry Liqueur. Served icy cold and straight up in a chilled martini glass,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pistachio Martini,"Made with vodka, Со-conut Cream, Pistachio Syrup, and Faretti Biscotti. Served icy cold and straight up in a chilled martini glass",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Cosmopolitan,"Made with vodka, orange liqueur, fresh citrus and cranberry juice. Shaken and served straight up in a chilled martini glass",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Monkey Business,A blend of vodka and Malibu rum with pine apple and cranberry juice,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Orange Creamsicle,"Made with orange vodka with fresh orange juice, Licor 43 and a splash of cream",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pink Lemonade,"Made with vodka and a touch of simple syrup, fresh lemon and a drop of grenadine",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Manhattan,"Made with bourbon or rye, Carpano Antica sweet vermouth, dash of bitters. Stirred and strained and served straight up in a martini glass",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Old Fashioned,"Made with bourbon or rye, touch of sugar, muddled orange and cherry. Shaken and served on the rocks",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Boulevardier,"Made with rye, Carpano Antica Sweet Vermouth, and Campari. Stirred and strained and served straight up in a martini glass, twist of orange",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Irish Express,"Irish whiskey, Bailey's Espresso Liqueur. Shaken and strained in a martini glass",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Fresh Squeezed Hibiscus Lemonade,Fresh Lemons and Hibiscus Le Sirop De Monin. Shaken and served in a pint glass. Delicious and refreshing.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Fresh Squeezed Lavender Lemonade,Fresh Lemons and Lavender Monin Premium Gourmet Syrup. Shaken and served in a pint glass. The perfect lemonade.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Sparkling Orange Cherry Soda,"Saratoga Sparkling Mineral Water, Dark Cherry Puree and Fresh Orange Juice. Served with bottle in a highball glass.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Nojito,"Choice of Lavender, Hibiscus or Blackberry. Made with Fresh Mint and Fresh Lime muddled and topped with soda. Served in a highball glass.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Spumoni,"Dark Cherry Puree, Pistachio Monin Gourmet Syrup and a Splash of Cream. Just like the ice cream. Served in a lowball glass.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,The Chocolate Cherry,"Dark Cherry Puree, Monin Dark Chocolate with Coffee and a touch of Cream. Served in a lowball glass.",
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Egg Creams,Choice of Vanilla or Chocolate. Made the old fashioned way with Cream and topped with Soda. Served in a highball glass.,
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pilsner Urquell,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Harp Lager,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Old Speckled Hen,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Guinness Stout,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Whitman (Rotating),,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Fiddlehead IPA,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Fuller's London Pride,,$7
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bud Light,,$6
