restaurant_name,restaurant_url,menu_type,name,description,price
Amigos Cantina,https://amigoscantina.net/,Menu,GUACAMOLE & CHIPS,"made with onion, cilantro, lime, jalapeno",
Amigos Cantina,https://amigoscantina.net/,Menu,QUESO & CHIPS,"made with roasted red peppers, jalapenos, onion, garlic",$9
Amigos Cantina,https://amigoscantina.net/,Menu,NACHOS CLASSICO,"with tomatoes, scallions, olives, jalapenos, lettuce, sour cream
ADD: chicken, pork, beef +3/each refried or black beans +2/each",$9 (Small) | $12 (Large)
Amigos Cantina,https://amigoscantina.net/,Menu,SMOKED CHEDDAR FUNCHI FRIES,with cotija & guava-tamarind ketchup,$10
Amigos Cantina,https://amigoscantina.net/,Menu,CHILE RELLENO,"baked with choice of sauce, melted cheese",$12 (One) | $19 (Two)
Amigos Cantina,https://amigoscantina.net/,Menu,TAMALES,"choice of chicken or beef, topped with guajillo-ranchero sauce,
corn salsa, cotija. 2 per order",$14
Amigos Cantina,https://amigoscantina.net/,Menu,SOPA DEL DIA,daily house-made soups,$5 (Small) | $8.5 (Large)
Amigos Cantina,https://amigoscantina.net/,Menu,CHICKEN,"with lettuce, pico de gallo, melted
cheese, cotija, flour or corn tortillas
GF with corn tortillas",$4.5
Amigos Cantina,https://amigoscantina.net/,Menu,PORK,"with lettuce, pico de gallo, melted
cheese, cotija, flour or corn tortillas
GF with corn tortillas",$4.5
Amigos Cantina,https://amigoscantina.net/,Menu,BEEF,"with lettuce, pico de gallo, melted
cheese, cotija, flour or corn tortillas
GF with corn tortillas",$4.5
Amigos Cantina,https://amigoscantina.net/,Menu,VEGGIE,"with lettuce, pico de gallo, melted
cheese, cotija, flour or corn tortillas
GF with corn tortillas",$4.5
Amigos Cantina,https://amigoscantina.net/,Menu,CHICKEN,"with beans, rice, corn salsa, pico de
gallo, cotija, guajillo-ranchero sauce,
crema",$16
Amigos Cantina,https://amigoscantina.net/,Menu,PORK,"with beans, rice, corn salsa, pico de
gallo, cotija, guajillo-ranchero sauce,
crema",$16
Amigos Cantina,https://amigoscantina.net/,Menu,BEEF,"with beans, rice, corn salsa, pico de
gallo, cotija, guajillo-ranchero sauce,
crema",$16
Amigos Cantina,https://amigoscantina.net/,Menu,VEGGIE,"with beans, rice, corn salsa, pico de
gallo, cotija, guajillo-ranchero sauce,
crema",$15
Amigos Cantina,https://amigoscantina.net/,Menu,CHICKEN,"with melted cheese &
side of sour cream",$15
Amigos Cantina,https://amigoscantina.net/,Menu,PORK,"with melted cheese &
side of sour cream",$15
Amigos Cantina,https://amigoscantina.net/,Menu,BEEF,"with melted cheese &
side of sour cream",$15
Amigos Cantina,https://amigoscantina.net/,Menu,SHRIMP,"with melted cheese &
side of sour cream",$18
Amigos Cantina,https://amigoscantina.net/,Menu,VEGGIE,"with melted cheese &
side of sour cream",$14
Amigos Cantina,https://amigoscantina.net/,Menu,SPINACH,"with melted cheese &
side of sour cream",$14
Amigos Cantina,https://amigoscantina.net/,Menu,CHEESE,"with melted cheese &
side of sour cream",$11
Amigos Cantina,https://amigoscantina.net/,Menu,CHICKEN,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$15
Amigos Cantina,https://amigoscantina.net/,Menu,PORK,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$15
Amigos Cantina,https://amigoscantina.net/,Menu,BEEF,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$15
Amigos Cantina,https://amigoscantina.net/,Menu,SHRIMP,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$18
Amigos Cantina,https://amigoscantina.net/,Menu,VEGGIE,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$14
Amigos Cantina,https://amigoscantina.net/,Menu,SPINACH,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$14
Amigos Cantina,https://amigoscantina.net/,Menu,CHEESE,"rolled with corn tortillas, GF
choice of sauce, melted cheese
(two enchiladas per order)",$11
Amigos Cantina,https://amigoscantina.net/,Menu,SOUTHWEST SALAD,"mixed greens, pico de gallo, corn salsa, guacamole,
black beans, cotija, crispy tortilla strips",$14
Amigos Cantina,https://amigoscantina.net/,Menu,NORTHEAST SALAD,"mixed greens, cabbage, carrots, red onion,
spiced pepitas, grape tomatoes, goat cheese",$13
Amigos Cantina,https://amigoscantina.net/,Menu,CHICKEN,"12oz of filling, deep fried in a flour
tortilla with onion, mild green chiles,
choice of sauce, melted cheese",$18
Amigos Cantina,https://amigoscantina.net/,Menu,PORK,"12oz of filling, deep fried in a flour
tortilla with onion, mild green chiles,
choice of sauce, melted cheese",$18
Amigos Cantina,https://amigoscantina.net/,Menu,RICE,,$3
Amigos Cantina,https://amigoscantina.net/,Menu,BLACK BEANS,,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,REFRIED BEANS,,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,SIDE SALAD,,$5
Amigos Cantina,https://amigoscantina.net/,Menu,MADUROS,,$6
Amigos Cantina,https://amigoscantina.net/,Menu,GUACAMOLE,,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,QUESO,,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,SOUR CREAM,,$1.5
Amigos Cantina,https://amigoscantina.net/,Menu,PICO DE GALLO,,$1.5
Amigos Cantina,https://amigoscantina.net/,Menu,CORN SALSA,,$1.5
Amigos Cantina,https://amigoscantina.net/,Menu,ENCHILADA SAUCE,,$2
Amigos Cantina,https://amigoscantina.net/,Menu,JALAPENOS,,$1
Amigos Cantina,https://amigoscantina.net/,Menu,ONIONS & PEPPERS,,$3
Amigos Cantina,https://amigoscantina.net/,Menu,SAUTEED SPINACH,,$4
Amigos Cantina,https://amigoscantina.net/,Menu,SAUTEED VEGGIES,,$5
Amigos Cantina,https://amigoscantina.net/,Menu,TORTILLAS (3),,$2
Amigos Cantina,https://amigoscantina.net/,Menu,CARNE ASADA,"grilled 8oz marinated flat iron steak, cooked to temp,
with chimichurri, pico de gallo, guacamole.
served with refried or black beans, rice & maduros",$28
Amigos Cantina,https://amigoscantina.net/,Menu,CAMARONES ASADA,"chile-lime glazed shrimp with chimichurri,
pico de gallo, guacamole.
served with refried or black beans, rice & maduros",$26
