restaurant_name,restaurant_url,menu_type,name,description,price
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,STEAMED CLAMS-LITTLE NECKS,Served with drawn butter,$14.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,BASKET OF FRIES,Heaping pile of skin-on fresh cut spuds,$5.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,"WAFFLE FRIES, SWEET POTATO FRIES OR ONION RINGS",,$5.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,MOZZARELLA WEDGES,Homemade fresh Mozzarella Cheese served with Marinara or Melba Sauce,$9.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,CHICKEN TENDERS,Boneless tenders golden fried and served with Marinara Sauce,$9.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,BONELESS CHICKEN BITES,"Lightly floured and deep fried. Served with Bleu Cheese and celery. MILD, MEDIUM or HOT",$11.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,CHICKEN WINGS 6,"These are the ones you've heard about!Served with Blue Cheese and celery.MILD, MEDIUM, HOT, BBQ, CHIPOTLE or GARLIC PARMESAN.",
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,CHICKEN WINGS 12,"These are the ones you've heard about!Served with Bleu Cheese and celery.MILD, MEDIUM, HOT, BBQ, CHIPOTLE or GARLIC PARMESAN.",
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,THAI SHRIMP,Fresh grilled & tossed with a sweet and spicy glaze.,$15.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,CALDWELL CLAMS,"Little Neck Clams simmered with chopped clams, white wine, garlic and herbs. Served with garlic toast points.",$17.95
Andy's Adirondack Grille,https://andysadkgrille.com/,APPETIZERS,STEAMED LITTLE NECKS,Little Necks with drawn butter,$15.95
Andy's Adirondack Grille,https://andysadkgrille.com/,SALADS & SOUP,HOUSE SALAD,"Mixed greens, iceberg, carrots, cucumber, onions, and cherry tomato, with garlic croutons",$5.95 (Medium) | $7.95 (Large)
Andy's Adirondack Grille,https://andysadkgrille.com/,SALADS & SOUP,CAESAR SALAD,"Romaine, Parmesan, and croutons with Caesar dressing. ADD Chicken 6.95 / Salmon $10.95 Shrimp $8.95",$10.95
