restaurant_name,restaurant_url,menu_type,name,description,price
Bailey's Cafe,https://baileyscafe.com/,Menu,QUESADILLA,"Grilled flour tortilla, cheddar cheese, house taco seasoning, side of sour cream & salsa. Add guacamole $3, Add grilled chicken $5, Add pork carnitas $5, Add shaved steak $6, Add jerk chicken $6, Add veggies $4, Add taco seasoned beef $5",$14
Bailey's Cafe,https://baileyscafe.com/,Menu,WINGS,"bone-in (ten) Buffalo | Garlic-Parm | Honey-Sriracha | Thai Chili | Jerk Rubbed Blazing Hot | BBQ, served with carrots, celery & blue cheese",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BONELESS WINGS,"Buffalo | Garlic-Parm | Honey-Sriracha | Thai Chili | Jerk Rubbed Blazing Hot | BBQ, served with carrots, celery & blue cheese",$15
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S NACHOS,"Tortilla chips, queso, chopped tomatoes, lettuce, onions, jalapenos, corn & black bean salsa, peppers. Add guacamole $3, Add grilled chicken $5, Add pork carnitas $5, Add jerk chicken $6, Add taco seasoned beef $5",$15
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S TRIO APP,"(1/2 rack) BBQ ribs, (five) chicken wings (choose your wing sauce), loaded fries with bacon, onions, jalapenos & queso",$28
Bailey's Cafe,https://baileyscafe.com/,Menu,HOT PRETZELS,"Bavarian pretzel bites, queso",$13
Bailey's Cafe,https://baileyscafe.com/,Menu,CRAB DIP,"Lump crab, creamy cheese blend, tortilla chips",$16
Bailey's Cafe,https://baileyscafe.com/,Menu,BUFFALO CHICKEN DIP,"Marinated Buffalo chicken, cream cheese, blue cheese, tortilla chips",$16
Bailey's Cafe,https://baileyscafe.com/,Menu,JERK CHICKEN TACOS,"choose corn or flour tortillas Jerk seasoned chicken, pickled onions, cilantro, lettuce, avocado crema",$16
Bailey's Cafe,https://baileyscafe.com/,Menu,FISH TACOS,"choose corn or flour tortillas Crispy haddock, kohlrabi slaw, jalapenos, lettuce, kickin' Bayou sauce",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,BEEF TACOS,"choose corn or flour tortillas seasoned ground beef, crispy potatoes, queso, lettuce, tomatoes, cheddar jack cheese, cilantro lime creme",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,GREENS MORELLE,"FAMOUS UTICA DISH CREATED BY JOE MORELLE, SERVED FOR GENERATIONS: greens, oreganato, cherry peppers, capicola, bread crumbs, grated cheese blend",$9 (Medium) | $12 (Large)
Bailey's Cafe,https://baileyscafe.com/,Menu,LOBSTER BISQUE,(House favorite),$12 (Medium) | $16 (Large)
Bailey's Cafe,https://baileyscafe.com/,Menu,FRENCH ONION SOUP,crock,$12
Bailey's Cafe,https://baileyscafe.com/,Menu,SOUP OF THE DAY,chef 's selection,$8 (Medium) | $11 (Large)
Bailey's Cafe,https://baileyscafe.com/,Menu,CHOPPED WEDGE SALAD,"Blue cheese crumbles, bacon, Romaine lettuce, frizzled onion straws, heirloom grape tomatoes, blue cheese ranch dressing, balsamic drizzle",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S CAESAR,"Chopped Romaine hearts, crispy bacon, shaved parmesan cheese, garlic croutons, Caesar dressing",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,GREEK SALAD,"Tomatoes, cucumbers, red onions, feta cheese, kalamata olives, crisp greens, house creamy feta dressing",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,CAPRESE SALAD,"Fresh mozzarella, tomatoes, fresh basil, olive oil, balsamic glaze",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,COBB SALAD,"Smashed avocado, crushed bacon, blue cheese crumbles, hard-boiled egg, tomatoes, red onion, crisp greens. Add chicken $5, Add petite filet $12, Add sweet potato black bean burger $6",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,FRENCH FRIES,,$7
Bailey's Cafe,https://baileyscafe.com/,Menu,SWEET FRIES,,$8
Bailey's Cafe,https://baileyscafe.com/,Menu,SIDE SALAD,,$6
Bailey's Cafe,https://baileyscafe.com/,Menu,KOHLRABI SLAW,,$5
Bailey's Cafe,https://baileyscafe.com/,Menu,MAC & CHEESE,,$9
Bailey's Cafe,https://baileyscafe.com/,Menu,ONION RINGS,,$9
Bailey's Cafe,https://baileyscafe.com/,Menu,SAUTEED BROCCOLI,,$5
Bailey's Cafe,https://baileyscafe.com/,Menu,CRISPY CAJUN CHICKEN SANDWICH,"Battered & fried chicken breast, kohlrabi slaw, pickle chips, Bailey's sweet & tangy sauce, brioche bun",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S REUBEN,"Slow cooked corned beef, pickled red cabbage, melted Swiss cheese, Russian dressing, grilled rye bread",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,CHIPOTLE CHICKEN PANINI,"Grilled chicken, tomatoes, onions, melted provolone, chipotle mayo, tomato focaccia",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S CUBAN,"Pork carnitas, capicola, pickles, Swiss cheese, honey Dijon, toasted and pressed panini style on sourdough",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,TURKEY AVOCADO PANINI,"Oven roasted turkey breast, smashed avocado, capicola, provolone cheese, lettuce, tomatoes, garlic aioli, ciabatta roll",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,TURKEY CLUB PANINI,"Oven roasted turkey breast, bacon, cheddar, lettuce, tomatoes, apple walnut jam, wheatberry bread",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,TURKEY BURGER,"Grilled turkey patty, Swiss cheese, braised onions, pickled slaw, garlic aioli, brioche bun",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S CHEESEBURGER*,"8oz custom ground angus beef, choice of cheese, lettuce, tomatoes, onions, brioche bun. Add bacon $2, Add caramelized onions $1, Add mushrooms $1, Add fried egg $1",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BLACKENED BLEU BURGER*,"Cajun seasoned 8oz custom ground angus beef, bleu cheese crumbles, crispy onion rings, lettuce, tomatoes, chipotle mayo, brioche bun. Add bacon $2",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S SWEET POTATO BLACK BEAN BURGER,"Smashed avocado, pickled onions, lettuce, tomatoes, brioche bun. Add cheese $1, Add caramelized onions $1, Add mushrooms $1",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,PHILLY CHEESE STEAK,"Shaved steak, grilled onions & peppers, queso, hoagie roll",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,LOBSTER ROLL,5oz fresh picked lobster on a buttered & grilled New England bun CHOOSE: hot buttered | chilled tarragon mayo,$MKT
Bailey's Cafe,https://baileyscafe.com/,Menu,MARGHERITA,"Sliced tomatoes, fresh mozzarella, garlic, red sauce, Italian herbs",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,THE ITALIAN,"Mozzarella, pepperoni, capicola, fresh basil, house made hot honey",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BBQ CHICKEN,"Grilled chicken, red onions, fresh mozzarella, BBQ sauce, red sauce",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,THE BROC,"Chopped broccoli, caramelized onions, ricotta cheese, garlic aioli drizzle",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,FRENCH ONION,"Braised onions, fresh mozzarella, Swiss cheese, ricotta, garlic aioli drizzle",$17
Bailey's Cafe,https://baileyscafe.com/,Menu,FISH & CHIPS,"Crispy haddock, fries, house kohlrabi slaw, tartar sauce",$21
Bailey's Cafe,https://baileyscafe.com/,Menu,MAC SHACK,"CLASSIC MAC - shell pasta, creamy cheese sauce",$15
Bailey's Cafe,https://baileyscafe.com/,Menu,BUFF CHICKEN,"- crispy buffalo chicken, blue cheese",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,GRILLED JERK CHICKEN,- spicy chicken & caramelized onions,$18
Bailey's Cafe,https://baileyscafe.com/,Menu,LOBSTER MAC,- topped with fresh lobster meat,$MKT
Bailey's Cafe,https://baileyscafe.com/,Menu,ST LOUIS RIBS,"Smoked & smothered in BBQ sauce, fries, kohlrabi slaw",$22 (Medium) | $28 (Large)
Bailey's Cafe,https://baileyscafe.com/,Menu,RIGATONI ALLA VODKA,"House made vodka sauce, caramelized onions & crispy capicola. Add fresh lobster MKT, Add 4oz petite filet $12, Add chicken $5",$18
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S FILET*,"Two (4)oz petite filet medallions, roasted garlic parm potatoes, sautéed broccoli",$28
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S THREE-WAY PETITE FILET*,Three (4)oz medallions topped with fresh lobster served with roasted garlic parm potatoes and sauteed broccoli. Add petite filet medallion $12,$37
Bailey's Cafe,https://baileyscafe.com/,Menu,APEROL SPRITZ,"Prosecco split, Aperol, club soda.",
Bailey's Cafe,https://baileyscafe.com/,Menu,THE ESPRESSO-TINI,"Awakened Spirit Vodka, Espresso Liqueur, Kahlua, Bailey's, finished with a shot of espresso and a dash of cream.",
Bailey's Cafe,https://baileyscafe.com/,Menu,EL CALIENTE MARGARITA,"21 Seeds Cucumber Jalapeno Tequila, Cointreau, fresh lime juice, and simple syrup.",
Bailey's Cafe,https://baileyscafe.com/,Menu,BAILEY'S BLOODY MARY,Our house mix with Ketel One Vodka.,
Bailey's Cafe,https://baileyscafe.com/,Menu,ABSOLUT MULE,"Absolut Vodka, Saranac Ginger Beer, Lime juice, served in copper mug.",
Bailey's Cafe,https://baileyscafe.com/,Menu,THE O.G. MUDSLIDE,"*Ice cream, Ketel One vodka, Baileys Irish Cream, and Kahlua",
Bailey's Cafe,https://baileyscafe.com/,Menu,SCREWY PEANUT BUTTER CUP SHAKE,"*Ice cream, peanut butter whiskey, Baileys Irish cream, chocolate syrup, and a scoop of peanut butter*",
Bailey's Cafe,https://baileyscafe.com/,Menu,OREO COFFEE SHAKE,"*Ice cream, Awakened Spirit Vodka, Kahlua, Bailey's Irish Cream, oreos",
Bailey's Cafe,https://baileyscafe.com/,Menu,"GOOD OLE' CHOCOLATE, VANILLA, STRAWBERRY OR COFFEE",*Traditional flavored ice cream spiked shakes with vodka and Baileys Irish cream*,
Bailey's Cafe,https://baileyscafe.com/,Menu,Strawberry,,
Bailey's Cafe,https://baileyscafe.com/,Menu,Mango,,
Bailey's Cafe,https://baileyscafe.com/,Menu,Watermelon,,
Bailey's Cafe,https://baileyscafe.com/,Menu,Raspberry,,
Bailey's Cafe,https://baileyscafe.com/,Menu,Blackberry,,
Bailey's Cafe,https://baileyscafe.com/,Menu,Lavender,,
