restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Buffalo Cauliflower,(Blue Cheese),$11
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Cheddar Bites,"(Panko Encrusted, Cheese Curds, BWP Sauce)",$11
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,The Springs Pretzel,"(Jumbo Bavarian, Beer Cheese Sauce)",$12
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Blue Knights Chips & Dips,"(Seasoned Corn Chips, Salsa, Queso, Guacamole)",$11
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Blue Streaks Nachos,"(Corn Chips, Shredded Seasoned Cheese, Queso, Jalapeños, Salsa, Black Olives, Lettuce, Tomato, Sour Cream). Add Chicken, Chili, Or Pulled Pork For 3 | Add Guacamole 3",$14
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Trifecta Sliders,"(Swiss Mushroom Burger, Blue Burger, Pulled Pork). 3 for 15",$6
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Spinach Artichoke Dip,(Corn Chips),$12
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Jumbo Buffalo Wings,Add Celery & Blue Cheese Or Ranch 2,6/$12 | 12/$21 | 18/$30
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Panko Encrusted Chicken Fingers,,$13
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SNACKS & APPS,Boneless Chicken Bites,,$12
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,BWP Cheese,,$14
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,Neapolitan,"(Fresh Mozzarella, Basil, House Red, EVOO)",$16
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,2West Pepperoni,"(Mozzarella, House Red, Jalapeños, Honey Sriracha)",$16
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,Buffalo,"(Shredded Chicken, Mozzarella, RedHot, Blue Cheese, Diced Celery)",$16
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,Meat Lovers,"(Sausage, Bacon, Pepperoni, Mozzarella, Red Sauce)",$17
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HAND TOSSED WOODSTONE PIZZA,Veggie White,"(Mushrooms, Peppers, Onion, Tomatoes, Spinach, Garlic Oil)",$18
Beer Wine Pizza,https://beerwinepizza.com/,Menu,STEAK BURGERS,BWP,"(LTO, BWP Sauce). add cheese +2",$15
Beer Wine Pizza,https://beerwinepizza.com/,Menu,STEAK BURGERS,Bourbon BBQ,"(Cheddar Cheese, Bacon, Onion Ring, BBQ Glaze)",$17
Beer Wine Pizza,https://beerwinepizza.com/,Menu,STEAK BURGERS,Swiss Mushroom,(with LTO ),$16
Beer Wine Pizza,https://beerwinepizza.com/,Menu,STEAK BURGERS,Blue,"(Bacon, Blue Cheese Crumbles, LTO)",$17
Beer Wine Pizza,https://beerwinepizza.com/,Menu,STEAK BURGERS,Guac,"(Beyond Burger, Spinach, Tomato, Topped with Guacamole, Lime Aioli)",$18
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HANDHELDS,Fishwich,"(Toasted Brioche Bun, Fried Fish, Lettuce, Tomato, Tartar Sauce)",$16
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HANDHELDS,Cajun Grilled Chicken,"(Blackened Grilled Chicken, Toasted Bun with Pico, Lettuce, Chipotle Aioli)",$18
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HANDHELDS,Pulled Pork,"(Brioche Bun, Coleslaw, BBQ)",$17
Beer Wine Pizza,https://beerwinepizza.com/,Menu,HANDHELDS,Turkey Club,"(Toasted White Bread, Turkey, Mayo, Romaine, Sliced Tomato, Bacon)",$17
Beer Wine Pizza,https://beerwinepizza.com/,Menu,SALADS,House,"(Mixed Greens, Tomato, Cucumber, Carrot ). Add Grilled Chicken 3 | Pulled Pork 3 | Shrimp 6",$13
