restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,AMSTERDAM AUTHENTIC BITTERBALLEN,Croquettes/Beef Sirloin Béchamel filling/Mustard,$ 12.5
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,WING FEST BUFFALO WINGS,"Plain/Mild/Hot/BBQ/Honey Garlic Ginger
w/Homemade Blue Cheese & Garni",$ 18.5
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,HOMEMADE POTATO PANCAKES,"Sour Cream, fresh Hudson Valley Apple sauce",$ 12.9
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,AUTHENTIC SWEDISH MEATBALLS,"Berry Compote, Spices, Sour Cream Gravy",$ 14
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,"EGGPLANT CAVIAR ""ZAKUSKI""","Roasted Eggplant Vegetable spread w/warm Naan bread
*(Vegan friendly) Sub crudité (Gluten Free)",$ 15
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,GREEN GODDESS CHICK PEA HUMMUS,"Creamy Chickpeas w/ warm Naan bread, pumpkin seeds
*(vegan friendly) Sub crudité (Gluten -Free",$ 14.5
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,GIANT BAVARIAN PRETZEL,Served w/Honey Mustard Add Cheese dip $ 1.5,$ 14
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,BALTIC SMOKED SALMON BOARD w trimmings,,$ 23.5
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,PATE DE CAMPAGNE AU POIVRE,"Artisanal Pork/Duck Pate, Rye Bread, Accouterments",$ 18
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,APPLEWOOD BACON WRAPPED SEA SCALLOPS,"Skewered Nantucket Scallops, Dijon Sauce, Jasmine Rice",$ 21
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,FRENCH ONION SOUP GRATINEE,,$ 14
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,BOWL OF DAILY SOUP DU JOUR,,$9
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,FINGER LAKE SALAD,"Wild Greens, Berries, Grapes, Blue Cheese, Walnuts, Honey Vinaigrette",$ 17
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,CHATHAM FARM ICEBERG WEDGE,"Iceberg, Chatham Blue cheese, Bacon, Buttermilk Dressing, Tomato",$ 18
Brasserie Benelux,https://beneluxny.com/,Dinner,DINNER,BENELUX HOUSE SALAD,,$ 12
