restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,BACON & BEAN STEW,"White bean and chorizo stew, pork belly, smoked paprika",$6.00 (Cup) | $8.00 (Bowl)
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,SOUP OF THE DAY,Seasonal soup of the day made from scratch daily. Ask your server,$6.00 (Cup) | $8.00 (Bowl)
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,GOAT CHEESE SALAD,"Bibb lettuce, toasted pine nuts, roasted shallots, Black Mission figs, brûléed Cana de Cabra, quince vinaigrette. Add Chicken for $8, Fish for $15, Shrimp for $9, Serrano for $9, or Avocado for $5 to any salad.",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,GRAIN BOWL,"Arugula, quinoa, roasted delicata squash, shaved brussels sprouts, pickled red onions, blue cheese crumble, cranberry vinaigrette. Add Chicken for $8, Fish for $15, Shrimp for $9, Serrano for $9, or Avocado for $5 to any salad.",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,MEDITERRANEAN GRAIN BOWL,"Chopped kale, hummus, quinoa, cucumbers, cherry tomatoes, feta cheese, lemon and olive oil. Add Chicken for $8, Fish for $15, Shrimp for $9, Serrano for $9, or Avocado for $5 to any salad.",$14.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - SOUP & SALADS,CHORIZO & CHICKPEA,"Arugula, crispy chorizo Pamplona, chickpeas, red onion, piquillo peppers, Idiazabal cheese, sherry vinaigrette",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,PORK BELLY,"Roasted pork belly, parsnip puree, candied bacon, shaved brussels sprouts, cider glaze, sage",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,FRIED CALAMARI,"Fried Calamari, lemon, marinara",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,STUFFED DATES,"Dates stuffed with Valdeon cheese and Marcona almonds, wrapped in bacon, cider glaze",$13.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,SERRANO & MANCHEGO,"16-month aged Serrano ham, paired with sheep's milk cheese, notes of caramel & nuts",$24.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,HAM CROQUETTES,"Serrano ham fritters, Manchego cheese",$12.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,GARLIC SHRIMP,"Shrimp, garlic, lemon, extra virgin olive oil",$16.00
Boca Bistro,https://bocabistro.com/,Lunch,LUNCH - TRADITIONAL TAPAS,CLAMS IN BROTH,"Littleneck clams, garlic, peas, white wine, salsa verde",$19.00
