restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,BurgerFi Cheeseburger,"All Natural, Hormone & Antibiotic-Free Angus Beef",
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,Bacon Cheeseburger,"All Natural, Hormone & Antibiotic-Free Angus Beef",
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,CEO Wagyu Burger,"All Natural, Hormone & Antibiotic-Free Wagyu",
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,Rodeo Burger,"All Natural, Hormone & Antibiotic-Free Angus, Charred",
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,"Yes, Chef Burger","All Natural, Hormone & Antibiotic-Free Angus Beef",
BurgerFi,https://www.burgerfi.com/,Menu,BURGERS,Vegi-Fi Burger,Quinoa + Veggie Blend Burger,
BurgerFi,https://www.burgerfi.com/,Menu,CHICKEN & SLIDERS,Chicken Tenders,"Hand-Breaded, Antibiotic-Free Marinated Chicken",
BurgerFi,https://www.burgerfi.com/,Menu,CHICKEN & SLIDERS,Chicken Sliders,"Hand-Breaded, Antibiotic-Free Marinated",
BurgerFi,https://www.burgerfi.com/,Menu,CHICKEN & SLIDERS,Fi-Lafel Sliders,"Smashed Garbanzo Beans, Naturally Seasoned. Spicy Pepper Mix, Lettuce, Tomato, Spicy Fi Sauce",
BurgerFi,https://www.burgerfi.com/,Menu,FRIES + ONION RINGS,Fries,Made Fresh In-House.,
BurgerFi,https://www.burgerfi.com/,Menu,FRIES + ONION RINGS,Jumbo Onion Rings,Made Fresh In-House.,
BurgerFi,https://www.burgerfi.com/,Menu,FRIES + ONION RINGS,Cry + Fry,The Best of Both Worlds!,
BurgerFi,https://www.burgerfi.com/,Menu,KIDS MEALS,Kid’s Burger Meal,Single Cheeseburger + Small Fries,
BurgerFi,https://www.burgerfi.com/,Menu,KIDS MEALS,Kid’s Tenders Meal,Chicken Tenders + Small FriesChoice of a Fountain Drink or Juice Box,$2
BurgerFi,https://www.burgerfi.com/,Menu,CUSTARD SHAKES,Birthday Shake,"Vanilla Birthday Cake Custard Mixed with Rainbow Sprinkles, Topped with Whipped Cream and Rainbow Sprinkles",
BurgerFi,https://www.burgerfi.com/,Menu,CUSTARD SHAKES,Chocolate Shake,"Chocolate Frozen Custard with Chocolate Syrup, Whipped Cream and Sprinkles",
BurgerFi,https://www.burgerfi.com/,Menu,CUSTARD SHAKES,Vanilla Shake,Vanilla Frozen Custard with Whipped Cream and Rainbow Sprinkles,
BurgerFi,https://www.burgerfi.com/,Menu,CUSTARD SHAKES,Strawberry Shake,Strawberry Frozen Custard with Whipped Cream,
BurgerFi,https://www.burgerfi.com/,Menu,CUSTARD SHAKES,Oreo Shake,Oreo Frozen Custard with Whipped Cream and Sprinkles,
