restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,DAILY SPECIALS,Two Eggs Any Style,,$10.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,DAILY SPECIALS,Pancakes Or French Toast,,$8.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST FAVORITES,Corned Beef Hash & Eggs,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST FAVORITES,Canadian Bacon & Eggs,,$12.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST FAVORITES,London Broil & Eggs,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Western Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Greek Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Spanish Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Broccoli & Cheese Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Cheese Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,The Kitchen Sink Omelet,,$15.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Combination Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Garden Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,OMELETS,Meat Lovers Omelet,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,HOT OFF THE GRIDDLE,Belgian Waffle,,$8.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,HOT OFF THE GRIDDLE,Fresh Berry Pancakes,,$11.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,HOT OFF THE GRIDDLE,Chocolate Chip Pancakes,,$11.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SANDWICHES & WRAPS,Egg Meat & Cheese,,$9.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SANDWICHES & WRAPS,Egg & Cheese,,$7.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SANDWICHES & WRAPS,Egg & Meat,,$9.00
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SANDWICHES & WRAPS,Meat & Cheese,,$8.50
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,STARTERS,Mozzarella Sticks,,$10.50
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,STARTERS,Disco Fries,,$8.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,STARTERS,Fries Topped With Melted Cheese,,$9.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,STARTERS,Onion Rings,,$9.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Assorted Cereals With Milk,,$3.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Fruit Cup,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Assorted Muffins,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Assorted Danish,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Melon,,$7.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Breakfast Meat,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Hot Oatmeal,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Italian Sausage,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Hot Oatmeal With Berries,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Corned Beef Hash,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Home Fried Potatoes,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Extra Egg,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Bagel,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,BREAKFAST SIDE ORDERS,Sliced Tomatoes,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,French Fries,,$4.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Coleslaw,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Cottage Cheese,,$3.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Vegetable Of The Day,,$3.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Sauce,,$1.50
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Meatballs,,$5.00
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Anchovies,,$3.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Chicken Souvlaki Salad,,$16.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,SIDE ORDERS,Greek Salad,,$14.95
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,JUICES & BEVERAGES,Hot Tea,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,JUICES & BEVERAGES,Hot Herbal Tea,,
Burnt Hills Cafe,https://burnthillscafe.shop/,Menu,JUICES & BEVERAGES,Hot Chocolate,,
