restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Guacamole Tradicional,"Hass avocado, serrano chile, tomato, onion, lime, cilantro, cotija cheese (GF) | Add Veggies: $3.00",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Smoked Chicken Tortilla Soup,"Mesquite smoked chicken, tomato broth, sliced avocado, queso fresco, cilantro, cotija cheese, tortilla strips (GF)",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Mexican Wedding Soup,"Meatballs, chicken broth, kale, onion, rice, cilantro, cotija cheese",$6.95 | $10.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,“Elote” Roasted Carrots,"Charred spiced carrots, jalapeños, garlic, crema, queso fresco, lime, cilantro (GF)",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Crispy Brussels Sprouts,"Brussels sprouts, cilantro, roasted garlic-habanero dipping sauce (GF) | Add Bacon: $2.00",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Mexican Street Corn,"Charred corn on the cob, chipotle aioli, house fajita spice, cotija cheese, lime, cilantro (GF)",$11.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Cantina Nachos,"Hand-cut corn chips, chicken tinga, sliced jalapeños, queso blanco, queso fundido, salsa verde, pico de gallo, cilantro (GF)",$18.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Roasted Beets,"Arbol Roasted Beets, whipped monterey jack, chipotle candied walnuts, chili oil, cilantro (GF)",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Open Faced Quesadilla,"Mesquite smoked chicken, bacon, rojo sauce, corn salsa, pickled jalapeño, pickled red onion, queso blanco, jalapeño ranch",$18.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Coco Camarones,"Crispy coconut shrimp, guacamole, ancho chili oil, mango-habanero purée, mango-habanero salsa",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Stuffed Jalapeños,"Roasted peppers, monterey jack, queso blanco, panko, diablo sauce, crema, cotija cheese, cilantro",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Queso Fundido,"Melted Mexican cheese blend, jalapeño, green chiles, cilantro, hand-cut blue corn chips (GF) | Add Chorizo: $2.00",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bocaditos,Cantina Chicken Wings,"Half dozen crispy wings, cotija cheese, cilantro, choice of glaze: Original Tequila-Pomegranate, SPICY Habanero, Honey Chipotle, Rojo BBQ, Garlic Picante, Chimichurri or Dry Fajita Rub (GF) | Add 2 tacos: $10.95 | Add 4 tacos: $18.95",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Ensaladas,Taco Salad,"Romaine lettuce, avocado, corn salsa, black bean, jalapeño, pico de gallo, sour cream, queso blanco, chipotle ranch dressing, cotija cheese, cilantro, flour tortilla bowl",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Ensaladas,Harvest Salad,"Arugula, quinoa, spiced chickpeas, corn salsa, craisins, apple salsa, goat cheese, jalapeño vinaigrette (GF)",$15.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Ensaladas,Crispy Chorizo Wedge,"Iceberg lettuce, crispy chorizo, blistered cherry tomato, spiced pepita, cotija cheese, cilantro, chipotle balsamic glaze, garlic cotija dressing (GF)",$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Ensaladas,Brussels Sprout Caesar,"Shaved brussels, toasted almonds, dried cranberries, grapes, brioche croutons, cotija cheese, creamy tomatillo caesar dressing",$13.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Ensaladas,Cobb Salad,"Mixed greens, hard boiled egg, avocado, bacon, squash, corn salsa, blue cheese, pepitas, citrus agave vinaigrette (GF)",$15.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Mahi Mahi,"Grilled Mahi Mahi, mango salsa, shredded cabbage, avocado crema, cilantro (GF)",$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Baja Fish,"Modelo beer-battered white fish, chipotle aioli, shredded cabbage, pineapple salsa, cilantro",$18.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Crispy Cauliflower,"Tempura fried chile cauliflower, avocado, cabbage, pickled red onion, chipotle aioli, cilantro (GF)",$17.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Carne Asada,"Lime-garlic marinated steak, corn salsa, pico de gallo, queso blanco, chimichurri, cilantro (GF)",$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Chicken Tinga,"Adobo-braised chicken, queso blanco, pico de gallo, lettuce, cilantro (GF)",$18.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Spicy Shrimp,"Sauteed shrimp, serrano chile, garlic, achiote butter, pico de gallo, chipotle aioli, crispy red onion, cilantro (GF)",$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Carnitas,"Crispy pork, apple salsa, avo-tomatillo salsa (GF)",$18.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Coconut Shrimp,"Crispy coconut shrimp, spicy jalapeño coleslaw, mango salsa, mango-habanero puree, ancho chili oil, scallion",$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Ahi Tuna,"Sesame crusted, seared Ahi tuna, shredded cabbage, mango salsa, avo-tomatillo salsa (GF)",$21.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Korean Beef,"Spicy ground beef, pickled veggies, shredded cabbage, sriracha aioli, cilantro, puffed rice (GF)",$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Tacos,Duck,"Roasted duck carnitas, cherry salsa, pickled fennel (GF)",$23.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Ahi Tuna,"Sesame-crusted, seared Ahi tuna, cilantro lime rice, shredded cabbage, black bean, avocado, edamame, mango salsa, habanero-mango puree, avo-tomatillo salsa (GF)",$26.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Mahi Mahi,"Spiced Mahi Mahi, cilantro lime rice, shredded cabbage, black charro bean, avocado, mango salsa, avocado crema, cilantro-lime yogurt sauce (GF)",$25.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Chicken Tinga,"Adobo-braised chicken, cilantro lime rice, shredded lettuce, black charro bean, avocado, jalapeño slaw, queso blanco, rojo BBQ, avocado crema (GF)",$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Carne Asada,"Fajita spiced steak, cilantro lime rice, shredded cabbage, black charro bean, charred poblano, grilled onion, pico de gallo, chimichurri, jalapeño-tomatillo salsa (GF)",$25.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Habanero Shrimp,"SPICY! Habanero shrimp, cilantro lime rice, shredded lettuce, black charro bean, crema (GF)",$25.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Bowls,Mixed Veggie,"Seasonal veggie mix, cilantro lime rice, shredded lettuce, black charro bean, queso blanco, taquera sauce, crema (GF)",$23.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Chicken Verde Enchiladas,"Flour tortillas, chicken tinga, queso blanco, salsa verde, queso fundido, cotija cheese, cilantro",$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Chicken Mole Enchiladas,"Flour tortillas, chicken tinga, queso blanco, black mole, toasted sesame, crema (Contains tree nuts)",$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Diablo Short Rib Enchiladas,"Flour tortilla, braised short rib, caramelized onion, charred corn, black bean, queso blanco, diablo sauce, crema, cotija cheese, cilantro",$25.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Potato & Corn Enchiladas,"Flour tortillas, potato, charred corn, queso blanco, queso fresco, onion, garlic, taquera sauce, cotija cheese, cilantro",$22.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Mushroom Enchiladas,"Flour tortillas, shiitake mushrooms, spinach, roasted red pepper, goat cheese, salsa verde, cotija cheese, cilantro",$23.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Chicken Chimichanga,"Crispy flour tortilla, chicken tinga, queso blanco, lettuce, onion, salsa verde, crema, cotija cheese, cilantro",$23.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Enchiladas & Chimichangas,Short Rib Chimichanga,"Crispy flour tortilla, braised short rib, charred corn, queso blanco, lettuce, onion, taquera sauce, crema, cotija cheese, cilantro",$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Cheese,,$19.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Mesquite Chicken,,$22.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Carne Asada,,$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Carnitas,,$22.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Spicy Shrimp,,$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Vegetable,,$21.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Quesadillas,Birria,,$24.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Fajitas,Chicken,"Citrus chicken with charred corn, pineapple, bell pepper, onion, cilantro",$25.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Fajitas,Carne Asada,"Cumin-lime tenderloin with charred corn, bell pepper, onion, chipotle butter, cilantro",$26.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Fajitas,Shrimp,"Garlic-lime shrimp with bell pepper, onion, achiote butter, cilantro",$27.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Fajitas,Veggie,"Spiced seasonal veggie mix, bell pepper, onion, cilantro",$23.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Red Rice,,$3.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Black Charro Beans,,$3.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Guacamole,,$3.50
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Sour Cream,,$1.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Queso Fundido,,$2.50
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,French Fries,,$6.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Fajita Spiced French Fries,,$6.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Jalapeno Coleslaw,,$3.00
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Sides,Chipotle Ranch,,$50
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Kids’ Menu,Make-Your-Own Tacos,"Ground beef or grilled chicken, cheese, lettuce, pico de gallo, cilantro lime rice and black bean",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Kids’ Menu,Kickin’ Chicken Tenders,"with crispy french fries | Add Bueno BurritoFlour tortilla, cilantro lime rice, black bean, cheese: $9.95 | Add Que Pasa QuesadillaFlour tortilla, cheese, pico de gallo, sour cream: $8.95",$14.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Kids’ Menu,Hasta La Vista Hot Dog,with crispy french fries,$9.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Desserts,Classic Churros,with nutella & vanilla sauce,$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Food Menu,Desserts,Fried Ice Cream,with cinnamon-agave sauce & whipped cream,$12.95
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Cantina Margarita,"Sauza Blanco, Triple Sec & House Made Margarita Mix",$13 | $54
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Cadillac Margarita,"Lalo Blanco, Grand Marnier & House Made Margarita Mix",$15 | $62
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Frozen Cantina Margarita,Our House Margarita Mix Frozen into Chilly Perfection,$13 | $54
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Ultra Margarita,"Hornitos Cristalino (charcoal distilled ANEJO), Cointreau, Lime, Orange, Agave",$16 | $66
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Margaritas Frutas,"Sauza Blanco, Triple Sec, House Made Margarita Mix & your choice of: Apple Cider, Mango,  Guava, Prickly Pear, Blackberry, Pomegranate, Passion Fruit, Raspberry, Pineapple, Strawberry, Strawberry Rhubarb, Blood Orange, Coconut, Jalapeño, Watermelon, Apple Cider OR BLUE!",$14 | $58
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Skinny Margarita,"Sauza Blanco Tequila, Triple Sec, and Our “Skinny” Mix Of Fresh Lime, Agave Nectar & Soda Water",$14 | $58
Cantina Saratoga,https://www.cantinasaratoga.com/,Drink Menu,Margaritas,Midnight Margarita,A blend of our house frozen margarita & our zesty Red Sangria,$14 | $62
