restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Woodside Wings,"Ten juicy wings tossed with your choice of Mild, Medium, HOT, EXTRA HOT, Gold Rush, SPICY ORANGE GLAZE, sweet Thai Chili, Sweet Chipotle BBQ, SPICY BBQ, CAJUN SEASONED, or Texas Dry Rub, BBQ, Spicy BBQ, Garlic Parmesan (regular or hot). Served with celery & bleu cheese.",$17.75
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Boneless Wings,Deep-fried boneless chicken breast tossed in your choice of wing sauce.,$13.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Beer-Battered Onion Rings,A shareable portion of crispy deep-fried onion rings with a side of sweet and SPICY Cajun remoulade for dipping.,$13.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Chili & Chips,"House-made chili with a really nice kick, topped with a shredded two-cheese blend and surrounded with warmed tortilla chips.",$9.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Fried Mozzarella,"House-made mozzarella cheese, hand-breaded & deep fried to a golden brown. Served with marinara or raspberry melba.",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Chicken Tenders,"Crispy on the outside, juicy on the inside! These yummy strips of seasoned deep-fried chicken breast are served with a side of Sweet Baby Ray’s BBQ sauce.",$13.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Crab Bites,"Five deep-fried crab bites encrusted with panko breadcrumbs, served on a bed of lettuce with zesty sour cream sauce and chipotle mayo on the side.",$16.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Pretzel Bites,"Buttery, salted deep-fried pretzel bites, crusty on the outside, soft in the middle. Served with creamy beer cheese.  For a twist, try them tossed in garlic parmesan with marinara dipping sauce!",$13.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,CWT Quesadillas,"Peppers, onions, tomatoes, Monterey Jack and cheddar cheese on a grilled flour tortilla, served with salsa and sour cream on the side. (Add Shredded Grilled Chicken for $7 or Ground Beef for $5)",$12.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,APPETIZERS,Yellow Fin Tuna,"6oz of lightly peppered and perfectly seared Yellow Fin tuna topped with a sweet and SPICY orange glaze, crispy wonton strips, and sesame seeds.",$14.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SOUPS,Soup du Jour,"Always scrumptious!
6.95 Cup/8.95 Bowl",$6.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SOUPS,French Onion Au Gratin,Top-secret house recipe!,$8.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SOUPS,Chili,A bowl of our house-made chili topped with a shredded two-cheese blend and diced onion. 6.95 Cup/8.95 Bowl,$6.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,Tossed,"Mixed greens with cherry tomatoes, carrots, red onions, cucumbers & house seasoned croutons. Small 6.95/Large 10.95",$6.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,Caesar,"Crisp Romaine tossed with seasoned house croutons, grated parmesan cheese & Caesar dressing.  Small 8.95/Large 12.95",$8.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,Southwest Chicken Salad,"Grilled, CAJUN SPICED 8 oz. sliced chicken breast over mixed greens tossed with diced tomatoes, red onion, avocado, cilantro, lime juice, black beans, and a two-cheese blend. Topped with crispy tortilla strips. We recommend the Jalapeno Ranch dressing!",$18.75
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,Spinach,"Baby spinach, crumbled Gorgonzola cheese, roasted red peppers, crumbled bacon, roasted mushrooms, hard-boiled egg, red onion. 10.95 Small/16.95 Large",$10.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,Pub Club,"Mixed greens topped with fresh roasted turkey, ham, Swiss cheese, cherry tomatoes, cucumbers, red onions, hard-boiled egg & crumbled bacon. You won't leave hungry, that's for sure!",$18.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,"Candied Pecan, Apple & Gorgonzola","Mixed greens, slivered red onion, dried cranberries, crisp apple slices, candied pecans & Gorgonzola cheese.",$17.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,SALADS,The Wedge,"Crisp iceberg lettuce, bleu cheese dressing, bleu cheese crumbles, bacon crumbles, slivered red onions, and diced tomatoes.",$15.75
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,Baked Ham,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,Roast Turkey,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,Corned Beef,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,BLT,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,Chicken Salad,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,DELI SANDWICHES,Tuna Salad,"Served with chips and a crisp dill pickle. Lettuce, tomato, and onion available upon request.
Choice of Toppings
Mayo, chipotle mayo, Russian dressing, Gulden’s spicy brown mustard, yellow mustard, horseradish, tiger sauce.
Choice of Bread
Brioche roll, white, wheat, marble rye, flour wrap, or gluten-free bread.
Add Cheese 
American, Swiss, cheddar, fresh mozzarella, smoked Gouda – add  
$1.50",$14.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,The Mother Clucker,"Grilled chicken, cheddar, bacon, lettuce and tomato with ranch dressing on a brioche roll.",$19.50
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,Classic Reuben,"Our own Guinness-braised, thinly sliced corned beef, hot sauerkraut, Swiss cheese & Russian dressing piled on rye and grilled to perfection.",$18.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,Steve-O's Grilled Turkey,"Grilled sliced turkey, melted cheddar cheese, crispy bacon and crunchy apple on grilled white bread spread generously with a scrumptious cranberry maple mayo.",$18.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,The Rachel,"Sliced turkey, cole slaw, Swiss cheese & Russian dressing served on rye and grilled to a golden brown.",$17.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,Maddy's Ham 'n Cheese,"Virginia baked ham, cheddar and American cheeses, and sliced tomato on grilled white bread.",$16.95
Carson's Woodside Tavern,https://www.carsonswoodside.com/,Full Menu,HOT SANDWICHES,Tuna Melt,"Tuna salad on grilled whole wheat bread with melted cheddar, tomato, and mayo.",$16.95
