restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,SOUPS & SALADS,French Onion,,$12
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,SOUPS & SALADS,Soup Du Jour,,$10
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,SOUPS & SALADS,Caesar Salad,"Romaine lettuce, crumbled blue cheese, homemade croutons anchovies and house dressing",$12 | Add Chicken: $22 | Add Shrimp: $32
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,SOUPS & SALADS,Grilled Salmon & Spinach Salad,"served on bed of fresh spinach , almond slivers and side of homemade watercress dressing",$30
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Caesar Salad,"Romaine w/ blue cheese crumbles, croutons",$12
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Artichoke and Asparagus Vinaigrette,GF Fresh asparagus and artichoke hearts,$16
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Shrimp Cocktail,GF Four extra large shrimp,$20
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Sea Scallops Wrapped in Bacon,GF,$22
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Les Escargots au Beurre,"GF Snails in butter, and garlic",$18
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Clams Casino-,Garlic stuffing topped with cheese and bacon,$18
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Coquille St Jacques,Sea scallops and shrimp gratinee,$22
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,HORS D’OEUVRES,Frog legs,"Garlic butter, white wine and shallots",$18
Chez Pierre Restaurant,https://www.chezpierrerestaurant.com/,Dinner Menu,VOLAILLE (POULTRY),Chicken Valdostana,"Sautéed, gratinee, chicken breast with Brandy Mushroom Sauce",$36
