restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Insalate,Lattughella,"Boston lettuce, Gorgonzola, crispy prosciutto, white balsamic vinaigrette",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Insalate,Cesare,"Wedged romaine, house-crafted Cesare dressing, crostini crumble, Grana Padano",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Insalate,Romana Cacio e Pepe,"Romaine heart, sliced Grana Padano & pecorino cheese, cracked black pepper, white balsamic vinaigrette",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Insalate,Rucola Carciofi e Grana,"Grilled artichokes, crisp arugula dressed with olive oil and lemon, shaved Grana Padano",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Insalate,Erbe Amare,"Veronese & Castelfranco radicchio, arugula, ricotta salata, citrus vinaigrette",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Bruschetta Contadina,"Grilled and toasted housemade ciabatta bread topped with smashed oven roasted tomatoes, shaved Grana Padano",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Calamaretti Fritti,"Fried calamari, delicately spiced tomato sauce",$18.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Gamberoni Al Lardo Croccante,"Pan-seared shrimp wrapped with crispy pancetta, cannellini beans, salmoriglio",$22.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Zuppa Di Pesce,"Assorted seafood, delicately spiced tomato broth",$28.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,B&B,"Whipped burrata, slow roasted beets, cilantro pesto, toasted salted pepitas",$19.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Ital-Korean BBQ,"Chianti's own Bulgogi-style marinated beef, a la plancha, grilled polenta",$23.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,Bufala Caprese,"Imported mozzarella di bufala, heirloom tomatoes, prosciutto, basil oil",$24.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Antipasti,"Scarola, Alici e Fagioli","Sautéed escarole, garlic and oil, gently salted Italian anchovies, cannellini beans, crostoni",$18.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Carpacci,Classico,"Thinly sliced filet, Grana Padano, arugula, lemon, capers",$22.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Carpacci,Del Chianti,"Thinly sliced filet, Gorgonzola fondue, truffle oil",$22.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Carpacci,Michelangelo,"Thinly sliced pepper crusted filet over arugula, goat cheese, truffle salt",$24.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Carpacci,Grande,"Sharing portion, choose from Del Chianti or Classico",$32.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Capellini Alla Checca,"Angel hair, garlic, diced tomatoes, basil, olive oil",$24.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Mezzanine Alla Vodka,"Penne, fresh tarragon, prosciutto, vodka pink sauce",$23.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Penne Senesi,"Penne, sautéed spinach ""aglio e olio"", Gorgonzola, crushed red pepper flakes, breadcrumbs, toasted almonds",$24.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Spaghetti Oro di Cabras,"Artisanal spaghetti, sautéed scallops, baby clams, white wine, garlic, and oil, a touch of spice, and ""bottarga ""seasoning",$35.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Capellini Salsa Aragosta,"Angel hair, shrimp, lobster grappa reduction, touch of cream",$28.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Orecchiette alla Norma,"Orechiette, sautéed eggplant, sausage, mozzarella, crushed tomato",$26.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Spaghetti Ai Frutti Di Mare,"Thin spaghetti, assorted seafood, olive oil, garlic, lightly spiced tomato sauce",$36.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Ragu Porchettato,"Orecchiette, handcut pork shoulder and guanciale ragu, pecorino",$26.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Paccheri Calabrese,"Artisanal crafted Paccheri noodles, house-made sausage, spicy Calabrian 'nduja, burrata, tomato",$29.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Tagliatelle Bolognese,"House-made fettucine, beef bolognese ragù",$26.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Pasta,Tomarelli Cacio e Pepe,"House-made spaghetti, pecorino and Grana Padano fondue, black pepper",$25.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Risotto,Risotto Amarone,"Seared scallops, Veronese style, red wine, Grana Padano, shallots, crispy prosciutto",$29.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Risotto,Risotto Con Funghi,"Medley of oyster, porcini, honey mushrooms ""Trifolati,"" Grana Padano",$28.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Risotto,Risotto De'Medici,"Filet mignon bites, truffle oil, Grana Padano, rosemary",$29.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Filetto,Served with a seasonal selection of accompaniments,$55.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Filetto,"Beef tenderloin, choice of brandied green peppercorn sauce or gorgonzola fondue",$55.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Magretto All' Amarena,"Roasted Hudson Valley duck breast,amarena and chianti glaze",$43.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Biancostato Savoia,"Braised boneless beef short rib, mirepoix, red wine, Italian herbs, served with polenta & vegetable of the day",$43.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Maialino Casereccio,"Center-cut pork tenderloin, pan-roasted, coated with butcher spices, rosemary, sage, garlic, nutmeg, white wine glaze",$38.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Costolette di Agnello,"Colorado lamb chops, balsamic shallots agrodolce",$52.00
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Pesce Del Giorno,Fresh catch of the day,M. P.
Chianti Ristorante,https://chiantiristorante.com/,Dinner,Secondi,Dry-Aged Chianti Select,Chianti's dry-aged steaks. Check with your server for availability,M. P.
Chianti Ristorante,https://chiantiristorante.com/,Bar,The Classics,Negroni,"Gin, Carpano Antica Vermouth, Orange Wheel, Dash of Bitters",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,The Classics,Aperol Spritz,"Aperol, Lamberti Prosecco, Orange Wheel",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,The Classics,The Spicy Marg,"Cucumber Jalapeno Tequila, Lime Juice, Agave, Ancho Reyes Liqueur, Ginger Beer, Lime",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,The Classics,The Espresso Martini,"Espresso Vodka, Vanilla Vodka, Coffee Liqueur, Chocolate Liqueur, Fresh Espresso",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,The Classics,Bold Fashioned,"Bulliet Bourbon, Amarena Cherry, Simple Syrup, Bitters, Orange Peel",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Champagne Cocktails,Limon Spritz,"Limoncello, Prosecco, Lemon Twist",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Champagne Cocktails,Il Hugo,"Gin, Elderflower Liqueur, Prosecco, Mint",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Holiday Punch,"Orange Vodka, Cabernet, Dark Cherry Juice, Simple Syrup",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Sweet & Smokey,"Mezcal, Cointreau, Orange Bitters, Dark Cherry Juice",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Spiced Fashioned,"Redemption Bourbon, Orange Bitters, Gingerbread Syrup",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Poma-Tini,"Vodka, Pomegranate Liqueur, Orange Liqueur, Lemon Twist",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Gingernog Martini,"Captain Morgan, Vanilla Vodka, Irish Cream, Gingerbread Syrup",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Snowed In,"Coconut Rum, White Chocolate Liqueur, Coconut Cream, Pineapple Juice",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Arctic Bloom,"Empress Elderflower Rose Gin, White Cranberry Juice, Simple Syrup, Prosecco",$15.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Italian Paloma,"21 Seeds Grapefruit Hibiscus Tequila, Aperol, Pineapple Juice, Club Soda",$14.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Specialty Cocktails,Spiked Apple Pie,"Crown Royal Apple, Lemon Sweet & Sour, Cinnamon Sugar Rim",$16.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Mocktails,Cherry Citrus Frost,"Dark Cherry Juice, Orange Juice, Choice of: Club Soda or Sprite",$8.00
Chianti Ristorante,https://chiantiristorante.com/,Bar,Mocktails,Ivory Ginger Spark,"White Cranberry Juice, Ginger Beer, Lime Juice",$8.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Insalata,Lattughella,"Boston lettuce, white balsamic vinaigrette, crumbled gorgonzola, crispy prosciutto",$10.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Insalata,Romana Cacio e Pepe,"Romaine heart, sliced Grana Padano & pecorino cheese, cracked black pepper, white balsamic vinaigrette",$10.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Carpaccio,Carpaccio Del Chianti,"Thinly sliced filet, gorgonzola fondue, truffle oil",$11.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Carpaccio,Carpaccio Classico,"Thinly sliced filet, Grana Padano, arugula, lemon, capers",$11.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,IL Canto Del Gallo,"Braised short rib tips, baked egg sunny side up, cayenne & roasted garlic aioli",$10.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,Maialino Scotatto,"Bites of pork tenderloin, marinated in olive oil, paprika, garlic, lemon, dash of cayenne, canellini beans",$12.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,Mezzo Calamari,"Calamari rings and tentacles, spicy marinara, lemon",$12.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,Bistecchina,"4oz NY Strip Steak, red wine, shallots, braised Turkish figs",$13.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,Pizza Fritta Montanara,"Neapolitan traditional fried pizza, pomodoro, burrata",$8.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Stuzzichini,Chianti Street Tacos,"(2) Hand-made heirloom blue corn tortillas, braised short rib, poblano-tomatillo salsa, radicchio Chiffonade, ricotta salata",$10.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Pasta,Mezzanine Alla Vodka,"Penne, fresh tarragon, prosciutto, pink sauce",$12.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Pasta,Spaghetti Al Pomodoro,"Thin spaghetti, crushed tomato sauce, basil",$12.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bar Pasta,Spaghetti Bolognese,"Thin spaghetti, filet bolognese sauce",$13.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Vini,Fetzer Chardonnay,,$7.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Vini,Melini Chianti,,$7.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Vini,Ca'Donini Pinot Grigio,,$7.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Vini,Ca'Donini Cabernet Sauvignon,,$7.00
Chianti Ristorante,https://chiantiristorante.com/,Aperitivo,Bevande,Cosmpolitan,"Vodka, triple sec, splash of cranberry juice",$10.00
