restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Items,Breakfast Meat,"Ham, Bacon, Turkey Sausage, Pork Patties, Maple Links, Canadian Bacon and Corned Beef Hash",$4.00 - $4.75
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Farm Fresh Salads,Garden Salad,"Mixed Greens with Grape Tomatotes, Cucumber and choice of dressing",$8.00 - $12.50
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,On the Lighter Side,Fruit cup,"Cantaloupe Melon with Grapes, Blueberries, Strawberries, Apple Slices",$5.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Sides,Bacon,,$4.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Sides,Pork Sausage,,$4.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Sides,Turkey Sausage,,$4.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Sides,Canadian Bacon,,$4.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Sides,Maple links,,$4.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Old Fashioned Milkshakes,Old Fashioned Milkshake,,$7.00 - $7.50
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Country Corner Breakfast Specialties,Potato Pancakes,"Shredded potatoes in seasoned egg batter, grilled & served with maple sausage links. 2 eggs (any style) and side of sour cream or homemade applesauce.",$13.00 - $14.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Country Corner Breakfast Specialties,Country Corner Cafe Sampler,"Choice of short stack of buttermilk pancakes or french toast with 2 eggs (any style), and choice of ham, bacon or sausage.",$13.00 - $14.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Friends With Bennies,Southern Benedict,"2 Poached eggs with spicy turkey sausage patties, fried green tomatoes and hollandaise sauce on a buttermilk biscuit. Served with choice of tater tots or home fries.",$14.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Friends With Bennies,Benny,"Toasted English muffin with Canadian bacon, poached eggs and hollandaise sauce. Served with choice of fried tater tots or home fries.",$12.75 - $14.00
The Country Corner Cafe,https://countrycornercafe.square.site/?location=F3XRZCTN550JM#7G4IXI7W77PAMRTYKFLU7UJF,Menu,Country Corner Breakfast Specialties,Huevos Rancheros,"2 over easy eggs layered on top of a whole wheat tortilla, with refried beans, cheddar cheese and scallions and avocado. Served with a side of sour cream, fresh salsa and choice of tater tots for home fries.",$13.00
