restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,HOUSE MADE SARATOGA CHIPS,Served with Sour Cream & Onion Dip,$5
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,TACO DEL DIA,Daily Taco Special,$7
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,CRAB DIP & CROSTINIS,"Maryland Crab & Herb Cream Cheese, Toasted Ciabatta Bread",$16
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,CHEESE PLATE,"Chef’s Daily Assortment of Cheeses, Olives, Prosciutto, Flatbread Crackers",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,PRETZEL STICKS & HOT CHEDDAR,"Salted Bavarian Soft Pretzels, Aged Cheddar Dip",$12
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Starters,SOUTHWEST CHICKEN EGGROLLS,Served with Chipotle Ranch Sauce,$13
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,WEDGE SALAD,"Baby Iceberg, Diced Tomato, Onion, Bacon, Blue Cheese Crumble & Dressing. Add-ons: Grilled Chicken, Salmon, or Steak +$9",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,CAESAR SALAD,"Chopped Romaine, House Croutons, Romano, Asiago, Anchovies, Caesar Dressing. Add-ons: Grilled Chicken, Salmon, or Steak +$9",$15
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,GARDEN SALAD,"Mixed Greens, Fresh Cut Vegetables, Choice of Dressing. Add-ons: Grilled Chicken, Salmon, or Steak +$9",$13
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,CAPRESE SALAD,"Sliced Mozzarella, Heirloom Tomato, Fresh Basil, Olive Oil & Balsamic Reduction. Add-ons: Grilled Chicken, Salmon, or Steak +$9",$15
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,NUT & BERRY SALAD,"Mixed Greens, Strawberries, Blueberries, Blue Cheese Crumbles, Walnuts, White Balsamic Dressing. Add-ons: Grilled Chicken, Salmon, or Steak +$9",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,NEW ENGLAND CLAM CHOWDER,,$7
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Soup & Salad,SOUP OF THE DAY,,$5
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,MARGHERITA PIZZA,"Tomato, Fresh Mozzarella, Garlic Parmesan, Fresh Basil",$16
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,THE CHICKEN SANDWICH,"Lettuce, Tomato, Onion, Mayo, Toasted Brioche",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,THE BURGER,"Lettuce, Tomato, Onion, Toasted Brioche Bun. Add-ons: Cheese +$1.50",$18
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,BLACK BEAN BURGER,"Lettuce, Tomato, Onion, Guacamole, Fried Onions, Toasted Brioche",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,THE REUBEN,"Beer-Braised House Made Corned Beef, Sauerkraut, Thousand Island, Swiss Cheese, Marble Rye (Also Available with Turkey)",$18
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,CHICKEN TENDERS & FRIES,"Crispy Breaded Chicken Tenderloins & French Fries. Served with your choice of BBQ, Honey Mustard, Ranch or Blue Cheese. Toss in Buffalo, Garlic Parmesan, or Honey Chipotle $2. Add-ons: your choice of BBQ, Honey Mustard, Ranch or Blue Cheese.                      Toss in Buffalo, Garlic Parmesan, or Honey Chipotle +$2",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,BRAISED BEEF PHILLY,"House Braised Chuck Roast, Caramelized Onion, Bell Pepper, Toasted Hoagie, Melted Mozzarella Cheese",$19
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,TURKEY BLT,"Green Leaf Lettuce, Sliced Tomato, Applewood Bacon, Mayo. Choice of White, Wheat or Rye Toast",$17
Diamond Club Restaurant,https://www.diamondclubrestaurantsaratoga.com/,Main Menu,Main Menu,Table Fare,GRILLED VEGETABLE WRAP,"Grilled Portabellas, Zucchini, Red Bell Pepper, Asparagus, Red Onion, Goat Cheese, Hummus Spread, Mixed Greens in Spinach Wrap",$17
