restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Signature Dishes,FISH AND CHIPS,"beer-battered haddock, fries, house tartar and cocktail sauces, lemon, scallions",$21.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Signature Dishes,STEAK FRITES (GF),"eight ounce tenderloin medallions, hand-cut fries, chimichurri, garlic butter steak sauce",$38.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Signature Dishes,CHICKEN POT PIE,"house gravy, mixed root vegetables, crumbled cheddar-scallion biscuit topping",$24.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Our Burgers,THE BURGER,"wagyu blend, double patties, double american cheese, pickles, crispy onions, burger sauce",$21.00 / Add Extra Patty $4 / Add Chopped Bacon $3 / Add Fried Egg $2 / Add Candied Jalapeños $3
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Our Burgers,Veggie Burger (V),"house-made black bean/quinoa veggie patty, muenster, lettuce, tomato, onion, special sauce",$16.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Sandwiches,DRUTHERBIRD FRIED CHICKEN,"buttermilk fried chicken, muenster, dill pickle rounds, coleslaw, jalapeño ranch",$18.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Sandwiches,LOADED GRILLED CHEESE,"grilled chicken, crispy bacon, cheddar, muenster, carolina bbq, ranch, sourdough",$18.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Sandwiches,GOBBLER,"house-roasted turkey breast, stuffing, cranberry, muenster, turkey gravy, griddled baguette",$19.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Sandwiches,GRILLED CHICKEN CEASAR,"chopped romaine, shaved parm, parmesan crisp, house ceasar dressing, brioche bun",$16.00
Druthers Brewing Company,https://www.druthersbrewing.com/,Brewpub Menu,Sharing,HOUSE FRIES,"hand-cut fries, sea salt, special & chili aioli dipping sauces",$12.00 / Add Beer Cheese $2 / Add Turkey Gravy $2
