restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Arancini,"House-made fried tomato rice balls, crushed tomato sauce",$15.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Calamaretti Fritti,"Lightly floured and fried calamari, lemon, crushed tomato sauce",$18.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Gamberi E Carciofi,"Wood-fired shrimp, blistered tomatoes, long stemmed artichokes, Tuscan white beans, balsamic reduction",$20.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Involtini Di Melanzane,"Fried eggplant slices rolled with whipped ricotta and basil, wood-fired with mozzarella, crushed tomato sauce",Appetizer $17.00 / Entrée $24.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Bruschetta,"Diced tomatoes, garlic, basil, extra virgin olive oil, arugula pesto, parmigiano, balsamic drizzle",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Burrata,"Scallion-whipped burrata, rosemary confit tomatoes, arugula, black garlic pesto, focaccia",$20.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Polpette,"Hand-rolled meatballs of veal, pork and beef, wood-fired with mozzarella and parmigiano",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Torte di Granchio,"Wood-fired crab cakes, cherry pepper remoulade, honey-balsamic tomatoes",$22.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Antipasti,Antipasto Del Forno,"Chef assortment of appetizers; seasonal bruschetta, arancini, calamari, grilled flatbread, salumi (serves 2-4 people).",$36.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Insalate,Casa,"Artisan greens, cucumber, red onion, blistered tomatoes, white balsamic lemon vinaigrette",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Insalate,Casa,"Artisan greens, cucumber, red onion, blistered tomatoes, white balsamic lemon vinaigrette | Add Grilled Chicken: $8.00 | Add Shrimp: $9.00",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Insalate,Inverno,"Arugula, shaved Brussels sprouts, gorgonzola, toasted almonds, sliced pears, cabernet raisins, pomegranate-balsamic vinaigrette",$18.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Insalate,Cesare,"Romaine, blistered tomatoes, white anchovy, Grana Padano crisp, Cesare dressing | Add Grilled Chicken: $8.00 | Add Shrimp: $9.00",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Insalate,Iceberg,"Baby iceberg lettuce, pancetta, honey-balsamic tomatoes, onion, buttermilk-gorgonzola dressing | Add Grilled Chicken: $8.00 | Add Shrimp: $9.00",$18.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Margherita,"All pizzas are wood-fired, single serving, thin crust. Gluten-free cauliflower crust available (5)",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Margherita,"Crushed tomato sauce, fresh mozzarella, fresh basil",$16.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Pamplona,"Crushed tomato sauce, mozzarella, Pamplona sausage, poblano pepper, parmigiano",$17.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Gorgonzola E Prosciutto,"White sauce, gorgonzola, prosciutto, shallots, red wine glaze",$20.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Funghi E Salsiccia,"Crushed tomato sauce, mozzarella, wild mushrooms, parmigiano, house-made Italian sausage",$17.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,White Truffle,"White sauce, fontina, mushroom mix, shallots, truffle oil",$18.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Capicola Picante,"Crushed tomato sauce, mozzarella, capicola, red onion, cherry pepper relish",$18.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Wood-Fired Pizza,Calzone Quattro Formaggi,"Focaccia bread stuffed with fresh mozzarella, brie, parmigiano, gorgonzola, crushed tomato sauce",$17.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Pasta,Mezzanine Otero,All pasta is served al dente. Gluten-free pasta available (3).,$28.00
Forno Bistro,https://www.fornobistro.com/,Dinner,Pasta,Mezzanine Otero,"Penne, chicken, sun-dried tomatoes, fresh tarragon, pink sauce",$28.00
