restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MARKET BLT,"crispy bacon, shredded lettuce, beefsteak tomatoes, mayo, sourdough",$14
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,CONGRESS PARK CAPRESE (VG),"sliced fresh mozzarella cheese, sliced tomato, arugula, pesto aioli, balsamic glaze, sourdough",$14
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,TURKEY CLUB,"oven roasted turkey, sharp cheddar, lettuce, tomato, bacon, mayo, sourdough",$14
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,THE LAKE,"house-roasted turkey breast, sharp cheddar, crispy bacon, coleslaw, cranberry mayo, arugula, seeded baguette",$15
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,THE UNION,"grilled chicken cutlets, sliced mozzarella, roasted red peppers, arugula, basil aioli, seeded baguette",$15
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,ITALIANO,"soppressata, salami, capicola, provolone, shredded lettuce, tomato, red onion, oil & vinegar, oregano, seeded baguette",$16
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,CHIPOTLE CHICKEN,"shredded chicken, chipotle aioli, bacon, cheddar cheese, seeded baguette",$16
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,BIG PARM,"breaded chicken cutlets. house marinara. fresh mozzarella, romano cheese, seeded baguette",$16
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,CHICKEN BACON RANCH,"shredded chicken, house ranch, crispy bacon, sharp cheddar, seeded baguette",$16
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,FRENCH ONION BEEF,"roast beef, demi caramelized onions, swiss cheese, horseradish aioli, seeded baguette",$15
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,BUFFALO CHICKEN,"shredded chicken, buffalo cheese spread, buffalo sauce, blue cheese dressing, scallions, griddled sourdough",$13
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,TURKEY RACHEL,"roasted turkey, swiss cheese, coleslaw, thousand island dressing, griddled rye bread",$16
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,REUBEN,"sliced pastrami, swiss, sauerkraut, thousand island, griddled rye bread",$15
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,SUB PLATTERS WITH CHIPS & DIP,"TURKEY, LAKE, UNION, ITALIANO",$29.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,"DAILY FOOD BARS: BUILD YOUR OWN SALAD, GRAIN BOWL AND HOT BAR:",,$12.49/LB
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,DAILY SOUPS:,80Z,$3.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,DAILY SOUPS:,12OZ,$5.49
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,DAILY SOUPS:,160Z,$6.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MARKET,"spring mix, shredded carrots, black olives, grape tomatoes, radishes, cucumbers, house croutons, white balsamic vinaigrette",$12.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,CAPRESE,"arugula, beefsteak tomatoes, fresh mozzarella, torn basil, balsamic glaze, olive oil",$14.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,FRUIT & NUT,"spring mix, pickled red onions, candied walnuts, diced apples, dried cranberries, feta, strawberry vinaigrette",$15.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,CHOPPED ANTIPASTO,"romaine, banana peppers, marinated artichokes, red onions, grape tomatoes, cucumbers, provolone, capicola, salami, parsley, white balsamic vinaigrette",$16.99
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,BIANCO,"mushrooms, fresh mozzarella, basil, roasted onion, garlic, pecorino",$6/slice
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,BIANCO,"mushrooms, fresh mozzarella, basil, roasted onion, garlic, pecorino",$32/full
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MEAT LOVERS,"tomato sauce, mozzarella, pepperoni, sweet sausage, soppersatta, basil, pecorino",$6/slice
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MEAT LOVERS,"tomato sauce, mozzarella, pepperoni, sweet sausage, soppersatta, basil, pecorino",$32/full
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MARGHERITA,"tomato sauce, tomato, fresh mozzarella, basil, pecorino",$5/slice
Franklin Square Market,http://www.franklinsqmarket.com/,Deli Menu,Deli,MARGHERITA,"tomato sauce, tomato, fresh mozzarella, basil, pecorino",$28/full
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],Ballpark franks,"(2) all beef hotdog, mustard, ketchup, onion, bun",$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],FISH TACOS,"baja seasoned white fish, spicy slaw, pickled onion, chipotle aioli, lime",$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],pretzel nuggets,"salted pretzels bites, beer cheese",$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],sangria,"red, white, sweater weather",$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],draft beer,,$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,HAPPY HOUR MENU [3-5pm],HAPPY HOUR MENU [3-5pm],draft wine,,$6
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],Half shell oysters,"burnt pineapple mignonette, peppery cocktail, lemon",$18 / half dozen $34 / dozen
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],broiled oysters,"pancetta chili garlic butter, parsley pisto, pecorino (gf)",$21
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],margherita pinsa pizze,"san marzano tomato, fresh mozzarella, basil",$15
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],bianco pinsa pizze,"local mushroom misti, fresh mozzarella, basil, thyme, cippolini onion",$18
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],black olive frites,"stone milled, kalamata olive polenta fries, roasted garlic aioli, pecorino",$12
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],PRESSED CHEESEburger,"double beef patties, american cheese, skillet onions, thick cut bacon, special sauce, everything spice bun, pickle, rosemary parmesan fries",$24
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],poached shrimp,"(5) white shrimp, peppery cocktail, chili remoulade, lemon (gf)",$21
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],arthur ave. sausage sliders,"(3) basil, provolone and garlic spiked Greco Brother's sweet Italian sausage, asiago, caramelized peppers and onion, rosemary sea salt focaccia roll, parmesan fries, garlic aioli",$16
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,LIGHT BAR MENU [3-9pm],LIGHT BAR MENU [3-9pm],cheesteak eggrolls,"(2) house-shaved seared steak, cheese, bell pepper, onion, horseradish ranch",$12
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,market focaccia,"house baked, garlic, rosemary, sea salt, whipped ricotta, olive tapenada, olive oil",$10
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,Yellowtail Tuna Tartare,"furikake basmati rice, avocado pico de gallo, sriracha ponzu aioli, black garlic caramel, crispy egg roll skin crackers, puff rice",$32
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,crab gnudi,"ricotta dumplings, blue crab, lemon mascarpone crema, chives, pangrattato",$25
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,SPINACH BUTTERNUT ROTOLO,"semolina pasta tubes, mascarpone ricotta filling, tomato basil passata, taleggio fundido, toasted walnuts",$24
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,DUCK SPAEtZLE POUTINE,"thigh and leg confit, black wax cheddar, carrot thyme gravy, spaetzle herb dumplings",$26
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,SHORT RIB PIEROGIE,"pulled beef rib, cheddar potato, caramelized onions, horseradish garlic aioli, green onion",$21
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,smalls,smalls,Pretzel Crusted Crab Cake,"blue crab, chive, herb salad, dijonnaise sauce, tomato concentrato",$21
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,shares,shares,MUSHROOM TOASTS,"collar city mushrooms farm’s roasted blend, rosemary butter, grilled rustic bread, duroc apple smoked bacon, pan jus, ricotta salata",$28
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,shares,shares,Ahi Tuna Nachos,"wonton chips, tuna, pico de gallo, jalapeno, avocado, pickled onion, sriracha aioli, sweet soy",$36
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,shares,shares,Mediterranean Skillet,"grilled spanish octopus, rhode island calamari, calabrian chilis, caper herb wine garlic butter, charred toasts (gf)",$26
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,shares,shares,SORRISO PINSA POCKET,"chicken and spinach, meatballs, madeira pan jus, asiago, arugula, shaved onion",$27
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,shares,shares,FRIED BRUSSELS SPROUTS,"truffle tamari ungai, togarashi",$17
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,salads,salads,Beets and Goat Cheese,"sea salt roasted golden and ruby beets, mixed lettuces, agrodolce onions, spiced pistachios, whipped goat cheese (v, gf)",$20
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,salads,salads,SPINACH PORK BELLY,"young spinach, gorgonzola, roasted apple, charred onion, warm seared pork belly aged sherry cider vinaigrette (gf)",$17
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,salads,salads,FSM Caesar,"romaine, endive, parmigiano reggiano, olive oil, grilled torn focaccia, creamy dressing, egg yolk zest (v)",$17
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,seafood + raw,seafood + raw,half shell oysters,"pickled onion mignonette, peppery cocktail, lemon (gf)  (gf)",$18 / half dozen $36 / dozen
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,seafood + raw,seafood + raw,broiled oysters,"pancetta chili garlic butter, parsley pisto, pecorino (gf)",$21
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,seafood + raw,seafood + raw,poached shrimp,"5 white shrimp, peppery cocktail, chili remoulade, lemon (gf)",$24
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,seafood + raw,seafood + raw,crab cocktail,"blue lump, peppery cocktail sauce, dijonnaise, lemon (gf)",$34
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,seafood + raw,seafood + raw,the seafood tub,"12 oysters, 6 poached shrimp, half lb blue crab, peppery cocktail, chili remoulade (gf)",$91
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,mains,mains,PRESSED CHEESEburger,"double beef patties, american cheese, skillet onions, thick cut bacon, special sauce, everything spice bun, pickle, rosemary parmesan fries",$24
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,mains,mains,FAROE ISLAND SALMON,"pan seared, sweet and golden potato, fennel, green onion rosti, charred artichoke spinach beurre blanc  (gf)",$36
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,mains,mains,STEAK FRITES | NY STRIP (10oz) OR TENDERLOIN (6oz),"green peppercorn cognac jus, rosemary parmesan fries, garlic aioli",$42 / $52
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,mains,mains,DRY AGED RIBEYE PORK CHOP,"cider brined, roasted apple pear marmalade, thyme jus, apple molasses, cheddar chive bacon croquettes, caramelized onion brussels (gf)",$39
Market Bar & Restaurant,https://www.marketbarandrestaurant.com/,mains,mains,icelandic cod or chicken francaise,"egg parmesan battered, spaghetti, lemon wine broth, parsley crumbs",$35
