restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,FIRE LAKE OYSTERS,"salted huckleberries, trout roe, elderflower mignonette",$27
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,BREAD & BUTTER,"bakery suzanne country loaf, caramel pumpkin butter",$9
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,CHEESE CURDS,"cider batter, warm pepper jelly",$15
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,DUCK FAT FRENCH FRIES,"fresh herbs, grana padano, garlic aioli",$8/$15
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,MUSHROOM PÂTÉ,"pickled green beans, honey mustard, bakery suzanne baguette",$18
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,SALMON CARPACCIO,"black olive, makrut lime, puffed rice",$19
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,FOIE GRAS TART,"hazelnut, black mission figs, maple gelée",$21
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,BEEF TATAKI,"horseradish, jimmy nardello peppers, truffle ponzu",$23
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,CARROTS,"whipped chèvre, walnut dukkah, pomegranate cheong",$13
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,COUS COUS SALAD,"pomegranate, pistachios, gold beet hummus",$15
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,LITTLE FIELD FARM GREENS,"blueberries, lovage, piave vecchio, balsamic vinaigrette",$16
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,HONEYNUT SQUASH SALAD,"baby kale, lady fuji apple, chèvre, roast shallot vinaigrette",$16
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,SQUASH TIKA MASALA,"carrots, cilantro chutney, tika masala sauce",$33
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,DAN’S SQUID INK FAZZOLETTI,"mussels, lemon ricotta, sauce crème",$35
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,FAROE ISLAND SALMON,"radicchio, fennel, walnut salmorejo",$38
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,SHRIMP AND GRITS,"linguica sausage, grafton cheddar, jalapeno bechamel",$36
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,GRASS FED SIRLOIN STEAK,"mashed rutabaga, local mushroom, horseradish jus",$48
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,DOUBLE CHEESEBURGER,"st. croix farm beef, melted onions, fries or side salad | Add-ons: bacon $2.5, avocado $3, fried egg $2, mushrooms $2.5, duck fat fries $2.5, GF bun $3",$25
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,COCONUT RICE PUDDING,"blackberries, coconut brittle, blackberry sabayon",$13
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,COFFEE BAVAROIS,"hazelnuts, coffee caramel, chantilly cream",$15
Hamlet & Ghost,http://www.hamletandghost.com/,Dinner Menu,DINNER,MILLE FEUILE,"caramelized puff pastry, muscat grape jelly, peanut butter cremeaux",$15
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,GIN-GIN FIZZ,-,$17
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,QUEEN’S KNIT,-,$18
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,SEASONAL PROOF,-,$17
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,CURE,#2 -,$17
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,OLIVE BRANCH,-,$17
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,UBE MILK PUNCH,-,$18
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,THYME TRAVELER,-,$17
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,CORN STAR COLADA,-,$18
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,SAINT’S PEAR,-,$18
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,RESERVE RUM OLD FASHIONED,-,$27
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,FREEZER VESPER,-,$20
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,HOUSE ESPRESSO MARTINI,-,$20
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,FENNEL MARTINI,-,$20
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,DIRTY VODKA MARTINI,-,$20
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,FALL COLLINS,-,$11
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,SILK SHORTS,-,$11
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,DAYDREAMER,-,$11
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,BENGALI SOUR,-,$11
Hamlet & Ghost,http://www.hamletandghost.com/,Beverage Menu,Beverage,SOFT VOLTAGE,-,$11
