restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Hot & Sour Shrimp Soup,,$7.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Hot & Sour Chicken Soup,,$7.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Hot & Sour Beef Soup,,$7.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Tom Yum Shrimp Soup,"Lemongrass, organic vegetable in spicy shrimp broth",$11.95
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Tom Yum Seafood Soup,"Lemongrass, organic vegetable in spicy shrimp broth",$11.95
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Tom Yum Veg Tofu Soup,"Lemongrass, organic vegetable in spicy shrimp broth",$11.95
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Miso Tofu Soup,,$3.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Seaweed Salad,,$6.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Mango Kani Salad,,$8.25
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Avocado Salad,,$7.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Wonton Soup,,$7.00
Haru,http://harusaratoga.com/,Menu,SOUP & SALAD,Sashimi Salad,Seared salmon & pepper tuna sashimi on top of mix greens with spicy mayo & ponzu sauce on the side.,$15.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Citron Sal Carpaccio,"Seared salmon wrapped with crunch spicy crabmeat and jalapeno, serve with soy mustard sauce",$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Seafood Martini,"Diced tuna, salmon, white tuna, white fish, and onions with soy mustard sauce.",$16.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Truffle White Tuna,"Seared super white tuna with citron yuzu sauce, topped with black caviar, fried look and truffle olive oil.",$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Sushi App,4pcs of chef's choice assorted fish.,$12.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Sashimi App,Chef's choice of assorted fish.,$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Sunomono,Variety of seafood in vinegar sauce.,$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Filet Mignon Tataki,Seared thin sliced of beef served w. chef's special sauce.,$17.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Pepper Tuna Tataki,Thin slices of tuna served w. ponzu sauce.,$14.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Tuna Basket,"Crabmeat, mango wrapped w. thinly sliced tuna & chef's special sauce.",$14.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Yellowtail Jalapeno,6pcs of yellawtail w. jalapeno pepper & tobiko w. special sauce.,$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,"Seaweed salad, Alaska king crab meat, jumbo shrimp w. cocktail sauce.","Seaweed salad, Alaska king crab meat, jumbo shrimp w. cocktail sauce.",$18.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Garden of Eden,"Tuna wrapped in crabmeat, avocado, radish sprout, and drizzled w. soy mustard sauce.",$13.95
Haru,http://harusaratoga.com/,Menu,COLD APPETIZER,Mike Special,"Sliced pepper tuna wrapped with spicy kani and mango, mango sauce on top.",$13.95
Haru,http://harusaratoga.com/,Menu,ROLL,Pork Xiao Long Bao,,$8.95
Haru,http://harusaratoga.com/,Menu,ROLL,Fried Yasai Gyoza,Japanese vegetable fried dumplings.,$6.95
Haru,http://harusaratoga.com/,Menu,ROLL,Rock Shrimp,Crispy popcorn shrimp in house special cream sauce.,$9.50
Haru,http://harusaratoga.com/,Menu,ROLL,Haki Haki Scallops,Gently grilled succulent fresh jumbo sea scallops glazed with sweet and spicy chef's special sauce.,$13.95
Haru,http://harusaratoga.com/,Menu,ROLL,Sauteed Spinach,,$9.50
Haru,http://harusaratoga.com/,Menu,ROLL,Soft Shell Crab App,Gently Fried soft shell crab w. special sauce.,$10.50
Haru,http://harusaratoga.com/,Menu,ROLL,Fried Mozzarella Sticks,,$8.50
Haru,http://harusaratoga.com/,Menu,ROLL,Fried Calamari,,$10.95
Haru,http://harusaratoga.com/,Menu,ROLL,Japanese vegetable spring roll.,,$5.95
Haru,http://harusaratoga.com/,Menu,ROLL,Edamame,,$6.25
Haru,http://harusaratoga.com/,Menu,ROLL,Age Tofu,,$6.00
Haru,http://harusaratoga.com/,Menu,ROLL,Ebi Shumai,Steamed shrimp dumplings.,$6.25
Haru,http://harusaratoga.com/,Menu,ROLL,Garlic Broccoli,Steamed crunchy broccoli w. light brawn garlic sauce on the side.,$7.95
Haru,http://harusaratoga.com/,Menu,ROLL,Gyoza,Japanese pan-fried shrimp dumplings.,$6.95
Haru,http://harusaratoga.com/,Menu,ROLL,Steam Yasai Gyoza,Japanese vegetable steamed dumplings.,$6.95
Haru,http://harusaratoga.com/,Menu,ROLL,Beef Negimaki,Rolled beef stuffed w. scallions.,$10.95
Haru,http://harusaratoga.com/,Menu,ROLL,Chicken Negimaki,"Fried rolled chicken stuffed w, scallions, creamy cheese & bread.",$10.95
Haru,http://harusaratoga.com/,Menu,TEMPURA,Shrimp  App,,$10.50
Haru,http://harusaratoga.com/,Menu,TEMPURA,Chicken  App,,$10.50
Haru,http://harusaratoga.com/,Menu,TEMPURA,Vegetable  App,,$10.50
Haru,http://harusaratoga.com/,Menu,TEMPURA,Chicken Satay,Traditional Thai marinated skewers served w. Thai curry dipping sauce.,$8.95
