restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,IRISH NACHOS,"Seasoned waffle fries topped with corned beef, pepper jack cheese, jalapenos, pico de gallo. Get a half order for 12.",$17
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,STEAK TACOS,"Grilled & marinated steak, sweet bacon jam, pickled red onions, herbed goat cheese and finished with our demi-glace.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,MOZZ STICKS,Deep fried and served with marinara or melba sauce.,$13
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,PRETZEL STICKS & BEER CHEESE,Bavarian pretzel sticks served with Harvey's cheese sauce.,$18
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,ASK YOUR SERVER ABOUT THE SOUP OF THE DAY,,$None
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,THE BOXTY,"A deep fried potato pancake served with steak tips, sauteed onions and topped with an herbed demi-glace.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,PORK BELLY TACOS,"Fried pork belly tacos with shredded romaine, pickled red onions and bourbon pickles drizzled with sesame garlic bbq sauce.",$18
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,FISH TACOS,"Beer battered haddock over crunchy shredded romaine, pico de gallo and drizzled with chipotle mayo.",$18
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,STARTERS,BUFFALO CHICKEN DIP,"Shredded chicken, blue cheese crumble, celery, ranch, shredded pepperjack and buffalo sauce. Served with Saratoga chips. celery, and carrots.",$17
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE DANK BURGER,"Smash burger, jalapeno jam, bacon, sauteed onions, provolone, pepper jack, and a sunny side up egg. Served on a jalapeno cheddar bun.",$20
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE CLASSIC,"Grilled burger, American cheese, crisp romaine, tomato and onion. Served on a toasted brioche bun.",$18
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE PADDY MELT,"Grilled burger on marbled rye, with swiss cheese, sauteed onions, and russian dressing.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,VEGGIE BURGER,"Seared veggie burger, with tomato, arugula, pickled red onions and chipotle aioli. Served on a toasted brioche bun.",$18
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,APPLE BACON CHEDDAR GRILLED CHEESE,"Toasted white bread, apple jam, bacon, cheddar cheese, and arugula.",$17
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE BELLY BUSTER,"Pork belly, Apple Jam, and Arugula. Topped with a fried egg and drizzled with stinging honey garlic sauce. Served on toasted ciabatta.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE REUBEN,"Corned beef, sauerkraut, swiss cheese and russian dressing. Served on marbled rye.",$17
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,TURKEY CLUB,"Thin sliced oven roasted turkey, tomato, lettuce, onion, bacon, and mayo. Served on hearty ciabatta bread.",$17
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,HARVEY'S FRIED CHICKEN SANDWICH,"Hand breaded fried chicken with lettuce, bourbon marinated pickles and Irish gold sauce on a toasted brioche bun.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE IRISH GANGSTER,"Fried chicken, capicola, and provolone finished with honey mustard. Served on a jalapeno cheddar bun.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SANDWICHES,THE SKIBEREEN,"Grilled chicken, arugula, pepper jack cheese, sauteed onions, sweet bbq and chipotle mayo served on hearty ciabatta bread.",$19
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,WINGS,CLASSIC WINGS (10),"With blue cheese, celery and carrots.",$20
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,WINGS,BONELESS WINGS,,$16
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SIDES,FRIES,,$6
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SIDES,SARATOGA CHIPS,,$3
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SIDES,SWEET POTATO FRIES,,$8
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SIDES,WAFFLE FRIES,,$8
Harvey's Restaurant and Bar,https://harveyspub.com/,Menu,SIDES,MASHED POTATOES,,$6
