restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Snacks,DEVILED EGGS,,$8
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Snacks,BEIGNETS,"French market doughnut generously dusted with powdered sugar
Add chocolate syrup drizzle or fresh berries • 2",$6
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Snacks,BASKET OF FRESH BISCUITS & CORN BREAD,"Dickinson's jam, honey butter
Made fresh daily",$12
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Snacks,PIMENTO CHEESE,"Cabot extra sharp cheddar cheese, grated
onion, roasted pimento, toast points",$10
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Light Fare,FRESH SEASONAL FRUIT,Served with honey yogurt,$10
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Light Fare,ICEBERG WEDGE,"Crunchy iceberg wedge, tomatoes, bacon, bleu cheese",$16
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Light Fare,SOUTHERN COBB SALAD,"Mixed greens, sliced fried boneless chicken
thigh, green tomatoes, candied bacon,
avocado, deviled egg, buttermilk pecan
bleu cheese",$22
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,HATTIE'S SCRAMBLE,"See our Specials Menu for today's creations!
Meat or vegetarian option available",$16
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,BACK PORCH BREAKFAST,"Two eggs any style, home fries, Texas toast
Add sausage 5 | Add bacon 6 | Add ham. 6",$13
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,SOUTHERN BENEDICT,"Poached eggs, hickory smoked ham
served on a Hattie's biscuit, hollandaise
Home fries, fresh fruit",$20
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,SMOKED HAM & POTATO PAN ROAST,"Roasted vegetables, Southern applewood
smoked ham, sweet potatoes, chef potatoes,
fresh herbs",$18
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,CAJUN OMELET,"Three egg omelet, andouille sausage,
caramelized onions, Cabot extra sharp
cheddar cheese
Home fries, Texas toast",$18
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Skillet,GUMBO & EGGS,"Eggs any style, andouille sausage, peppers,
onions, garlic, celery, rice",$18
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Brunch,Bottomless Brunch!,"24 (PER PERSON for 90 minutes)
Available until 1 PM
PITCHERS OF:
Classic Mimosas or Spiked Southern Peach Iced Tea
*With the purchase of one brunch entrée",
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Griddle,BUTTERMILK PANCAKES,Single or double stack,$8/11
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Griddle,BELGIAN WAFFLE,,$12
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,From the Griddle,PAIN PERDU,"New Orleans-style French toast, rich custard with a
touch of orange",$16
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,FRIED CHICKEN & WAFFLES,"Two pieces of Hattie's fried chicken served
on a Belgian waffle",$24
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,CHICKEN FRIED STEAK & EGG,"Chicken fried steak smothered with
Southern sausage gravy, served with two
ggs any style, home fries, Texas toast",$22
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,HATTIE'S CHICKEN SANDWICH,"Crispy chicken, Cajun coleslaw, toasted Kaiser
roll. Made famous at the Saratoga RaceTrack!
Add egg 3 | Add cheese 2 | Add bacon 6",$20
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,HATTIE'S FAMOUS FRIED CHICKEN,"The same award-winning recipe since 1938!
Four pieces. Choice of home fries or grits
Nashville Hot • 2",$24
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,HATTIE'S FAMOUS FRIED CHICKEN,"The same award-winning recipe since 1938!
Four pieces. Choice of home fries or grits
Nashville Hot • 2",$29
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,BISCUIT & GRAVY,"Fresh baked biscuits, Southern sausage gravy
Add two eggs any style . 6",$18
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,House Specialties,SAVORY SHRIMP & GRITS,"Wild-caught gulf shrimp, rich piquant Creole
sauce, creamy grits, chimichurri
Add two eggs any style . 6",$24
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,EGGS,,$3
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,SAUSAGE,,$5
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,HOME FRIES,,$5
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,BISCUIT,,$3
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,BACON,,$6
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,SAUSAGE GRAVY,,$6
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,GRITS,,$4
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,CHEESY GRITS,,$6
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,FRESH FRUIT,,$5
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,CANDIED BACON,,$6.50
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,HICKORY SMOKED HAM,,$6
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,TEXAS TOAST,,$2
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,A La Carte Sides,HONEY BUTTER,,$2
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Weekly Specials,BUCKETS AND BEERS,Bucket of fried chicken (6 pieces),$16
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Weekly Specials,PBR draft,,$3
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Weekly Specials,PRIME RIB,"Served with mashed potatoes, green beans, biscuit, au jus & horseradish creme",$47
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Weekly Specials,QUEEN CUT,,$32
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Weekly Specials,KING CUT,,
Hattie's Restaurant,https://hattiesrestaurants.com/,Brunch Menu,Dessert,BANANA PUDDING,"Banana pudding, vanilla wafers, house-made whipped cream",$10
