restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Industrial Arts Wrench,"Garnerville, NY • 6.8% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,BBCO Uncanny Valley,"Burlington, VT • 7% • 16oz can",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Grimm Lumen,"Brooklyn, NY • 6.4% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Drekker Never Have I Ever DBL IPA,"Fargo, ND • 8% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Equilibrium Wavelength,"Middletown, NY • 6.5% • 16oz can",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,KCBC Hardcore Parkour,"Brooklyn, NY • 7.2% • 16oz can",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Other Half Southern Hopalistic,"Brooklyn, NY • 7.4% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Other Half Small Strata Everything,"Brooklyn, NY • 6.5% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Other Half Cheddar Broccoli,"Brooklyn, NY • 7.9% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Other Half Green Diamonds DIPA,"Brooklyn, NY • 9.1% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Nightshift Fluffy,"Everett, MA • 7% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Marlowe Asking Kindly,"North Haven, CT • 7% • 16oz can",$11
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,IPA,Abomination Rotting Earth DBL IPA,"East Stroudsburg, PA • 9.3% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Narragansett Lager,"Narragansett, RI • 5% • 16oz can",$5
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Common Roots Lager,"South Glens Falls, NY • 5.2% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Schilling Alexandr Czech Pilsner,"Littleton, NH • 5% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Schilling Landbier Lager,"Littleton, NH • 4.2% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Schilling Modernism Dark Lager,"Littleton, NH • 4.6% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Schilling Paulus Helles Lager,"Littleton, NH • 4.7% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,14th Star Brewing Valor Ale,"Saint Albans, VT • 5.4% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Lager,Jacks Abby Post Shift Pilsner,"Framingham, MA • 4.7% • 16oz can",$6
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Sour,Thin Man Minkey Boodle Sour Ale,"Buffalo, NY • 7% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Sour,KCBC Beach Zombie,"Brooklyn, NY • 3.7% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Sour,Toppling Goliath Pineapple Papaya Fandango,"Decorah, IA • 5.1% • 16oz can",$12
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Sour,Aslin Volcano Sauce,"Herndon, VA • 6% • 16oz can",$11
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Sour,Woodstock Brewing Raspberry Gose,"Phoenicia, NY • 4.3% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Pale,Other Half Super Fun,"Brooklyn, NY • 4.2% • 16oz can",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Pale,Schilling Whilom,"Littleton, NH • 5.2% • 16oz can",$11
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Stout / Porter,Northway Oatbituary Stout,"Queensbury, NY • 5% • 16oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Stout / Porter,Fiddlehead Hodad Porter,"Shelburne, VT • 15.5% • 16oz",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Stout / Porter,Bolton Landing English Porter,"Brooklyn, NY • 5.6% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Gluten Free,Nine Pin Signature Cider,"Albany, NY • 6.7% • 12oz can",$7
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Gluten Free,Nine Pin Adirondack Sangria Cider,"Albany, NY • 5.5% • 12oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Gluten Free,Northway Brewing Crimson Berry Hard Tea,"Queensbury, NY • 5.6% • 12oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Gluten Free,Stowe Cider Summer Shandy,"Stowe, VT • 5.5% • 12oz can",$9
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Wheat,Allagash White,"Portland, ME • 5.2% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Wheat,Schneider Weisse,"Bavaria, Germany • 5.4% • 16.9oz btl",$10
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Wheat,Jack’s Abby Blood Orange Wheat,"Framingham, MA • 4% • 16oz can",$8
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Wheat,We’re more than just beer,". Finely crafted cocktails, an extensive whiskey list, and a hand-picked wine selection.",
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Bourbon American Whiskey,Ironweed,"Albany, NY / 15Buffalo TraceFrankfort, KY / 10Kopper KettleCulpepper, VA / 11Slaughter HouseNapa Valley, CA / 12BreckinridgeBreckinridge, CO / 13High West American PrairiePark City, UT / 13Basil HaydenClermont, KY / 13Four Roses Small BatchLawrenceburg, KY / 14Bardstown BourbonBardstown, KY / 15Mitchers BourbonLouisville, KY",$16
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Rye,Cask & Crew Rye,"Rochester, NY / 8Sazerac RyeFrankfort, KY / 9Knob Creek RyeClermont, KY / 11High West Double RyePark City, UT / 13Ironweed RyeAlbany, NY / 15Widow Jane RyeRed Hook, NY / 15Corsair RyemageddonNashville, TN / 14Mitchers RyeLouisville, KY / 23High West Midwinter Night’s DramPark City, UT / 25High West Rendezvous RyePark City, UT",$25
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Blended Whiskey,Pendleton Canadian Whiskey,"Canada / 10BlackenedShoreham, VT / 11Dewars 15 Special ReserveScotland / 14Johnnie Walker BlackScotland / 14Charbay Double TwistedMendocino, CA / 13Suntory TokiJapan / 14Nikka Coffey Grain WhiskeyJapan",$25
Henry Street Taproom,https://www.henrystreettaproom.com/,Drink Menu,Single Malt,Glen Allachie 12,Speyside / 14Aberlour 12Speyside / 15Ardbeg 10Islay / 15Macallan 12Speyside / 14Laphroaig 10Islay / 18Lagavulin 8Islay / 21Suntory YamazakiJapan /29Dalmore 15Alness / 38Balvenie Sherry Cask 15Speyside,$43
