restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Spinach Artichoke,Served with Tortilla Chips. Add-ons: add baked Breadsticks 3.00,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Buffalo Chicken,Served with Tortilla Chips. Add-ons: add baked Breadsticks 3.00,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Stuffed Portobella Mushrooms,Roasted Red Peppers - Artichoke - Spinach Blend of Cheese - Panko,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Dip Trio,Guacamole - Queso - Salsa with Tortilla Chips,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Buffalo Rangoons,"Fried Buffalo Chicken Wing Dip Wontons Topped with Buffalo Sauce and Bleu Crumbles - with Blue Cheese, Celery, Carrots",$16.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Shrimp Skewers,Grilled Cajun Shrimp - Chipotle Lime Aioli - Arugula Salad,$17.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Nachos,Queso - Cheddar Jack - Guacamole - Lettuce - Onions - Tomatoes - Jalapeño topped with Chicken or Pulled Pork and served with Salsa & Sour Cream,$18.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Queso & Pretzels,with Pretzel Bites,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Fresh Breadsticks,with Tomato Bisque or Queso,$12.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Potstickers,choice of Pork or Spinach Artichoke with Thai Chili,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Truffle Parmesan Fries,White Truffle Oil - Garlic Aioli - Parmesan Cheese,$12.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Chicken Wings,Bone-in (gf) or Boneless. Sauces: Buffalo - Hot - BBQ - Thai Chili - Garlic Parmesan - Carolina Gold - Nashville Hot Honey - Nanola Style - Peanut Butter & Jelly - Kickin' Bourbon - Korean BBQ - Spicy Peach. Dry Rubs: Salt & Vinegar - Cajun - Lemon Pepper served with Bleu Cheese & Veggies,A Dozen $16.99 | Two Dozen $32.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Pan Fried Brussel Sprouts,Bacon - Candied Walnuts - Onion - Honey Sriracha,$15.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Appetizers,Harvest Flatbread,Apple Bacon Chutney - Cheddar Jack Cheese - Chicken - Arugula - Maple drizzle,$16.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Soup of the Day,Daily selection of fresh soups,$Market Price
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Tomato Bisque,,Cup $6.99 | Bowl $8.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,French Onion,,Crock $8.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Harvest Salad,Grilled Chicken - Apples - Candied Walnuts - Cheddar - Cucumber - Red Onion - Apple Cider Vinaigrette,$19.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Caesar,Romaine - House Croutons - Shaved Parmesan,$12.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Cobb,Grilled Chicken - Bacon - Bleu Crumbles - Egg - Croutons - Onion - Tomato - Cucumber with choice of dressing,$19.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,The Chopped Salads,Crispy or Grilled Chicken - Pickles - Celery - Bacon - Bleu Crumbles - tossed with Ranch. Options: Buffalo / Nashville Hot / Carolina Gold / BBQ,$19.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Parmesan Romaine Wedge,Bacon - Tomato - shaved Parmesan - Balsamic Glaze Parmesan Peppercorn,$14.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Soups & Salads,Santa Fe Chicken,"Romaine - Blackened Chicken - Cheddar - Corn - Black Beans - Tomato - Onion - Guacamole - Ranch. Add-ons: add chicken $6 / Filet Tips, Shrimp, Salmon $8",$18.99
The Hideaway,https://www.hideawaysaratoga.com/,Main Menu,Main Menu,Sandwiches,Chicken Sandwiches,"Our famous chicken sandwiches can be made fried or grilled. Choice of: Americano (Lettuce, Tomato, Cheddar, Pickles, Garlic Aioli) / Hideaway Style (Pepper Jack, Coleslaw, Haystack Onions, choice of Buffalo, Nashville, BBQ) / Maple Apple (Apple Bacon Chutney, Maple Syrup, Cheddar, Lettuce)",$18.99
