restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Wings,Bone-in or Boneless. Buffalo - Hot - BBQ - Garlic Parm - Carolina Gold - Sweet Chili - Teriyaki - Honey Sriracha - Kickin' Bourbon - Nashville Hot - Cajun Dry Rub - Korean BBQ. Served with Bleu Cheese & Veggies,$Dozen - $17.99 / Two Dozen - $32.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Buffalo Rangoons,"Fried buffalo chicken wing dip wontons, topped w/ buffalo sauce and bleu crumbles - w/ blue cheese",$16.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Crab Dip,Served with tortilla chips and vegetables,$14.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Spinach Artichoke,Served with tortilla chips and vegetables,$14.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Poke Tuna Bowl,"Seared ahi tuna over wonton chips w/ arugula, jalapeño, watermelon radish, cilantro and Sriracha aioli",$17.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Korean BBQ Pork Belly,Crispy pork belly tossed in Korean BBQ sauce over jalapeño slaw and topped with sesame seeds and scallions,$16.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Reuben,"Corned Beef, Sauerkraut, Swiss, Russian",$15.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Philly Steak,"Shaved Steak, Beer Cheese, Peppers, Onions w/ Scallions",$15.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Loaded,"Bacon, Queso, Scallions, Sour Cream",$15.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Pretzel Bites,served with queso,$12.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Nachos,"shredded cheddar, queso, lettuce, guacamole, pico de gallo, and jalapeño atop tortilla chips served with sour cream w/ Chicken or Pulled Pork",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Starters,Candied Brussel Sprouts,"Bacon, pecans, and a honey Sriracha drizzle",$15.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Roasted Brussel Sprouts,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Mixed Vegetable,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Cup of Soup,,$1.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,French Onion,,$5.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Sweet Potato Fries,,$3.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Roasted Red Potatoes,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Coleslaw,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Tater Tots,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Broccoli,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Mashed Potatoes,,$5.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Onion Rings,,$3.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Tossed Salad,,$2.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 1,Sides Dishes,Clam Chowder,,$5.00
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Soup of the Day,,$Cup - $6.99 / Bowl - $9.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,New England Clam Chowder,,$Crock - $10.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Caesar,"Chopped romaine lettuce tossed in Caesar dressing, topped with croutons and parmesan",$12.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Chopped Salads,"Crispy or grilled chicken, pickles, celery, bacon, bleu crumbles tossed with Ranch",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Buffalo,"Crispy or grilled chicken, pickles, celery, bacon, bleu crumbles tossed with Ranch",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,BBQ,"Crispy or grilled chicken, pickles, celery, bacon, bleu crumbles tossed with Ranch",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Nashville,"Crispy or grilled chicken, pickles, celery, bacon, bleu crumbles tossed with Ranch",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Cobb,"Mixed greens topped with grilled chicken, bacon, bleu cheese crumble, egg, crouton, onion, tomato, and cucumber",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Strawberry Fields,Greens - Grilled Chicken - Strawberry - Blueberry - Candied Pecans Bleu Crumbles - Cucumber - Red Onion - Balsamic Vinaigrette,$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Seared Tuna Salad,"Seared tuna over arugula, red onions, cherry tomato, cucumber, watermelon radish and avocado tossed in a teriyaki vinaigrette",$18.99
Hills & Hollows,http://www.hillsandhollowsny.com/,Menu Page 2,Soups & Salads,Peach & Prosciutto Wedge,"Romaine wedge with grilled peaches, prosciutto, bleu crumbles and a peach vinaigrette",$16.99
