restaurant_name,restaurant_url,section,name,description,price
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Passionfruit Martini,"Absolut Vodka, Pineapple Juice, Passionfruit Puree (240 cal)",$13
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Cucumber Basil Smash,"Beefeater Gin, Fresh Cucumber & Basil, Lemon Juice (240 cal)",$13
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,The Eastwood,"Redemption Rye Whiskey, Sweet Vermouth, Orange Bitters (240 cal)",$13
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Jack® & Coke® with Cherry,"Jack Daniels Whiskey, Black Cherry Puree, Coca Cola (240 cal)",$14
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Old Fashioned,"House Whiskey, Simple Syrup, Angostura Bitters, Orange Peel (240 cal)",$12
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Mule,"House Vodka or Whiskey, Ginger Beer, Fresh Lime Juice (240 cal)",$12
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COCKTAILS,Margarita,"Tequila, Cointreau, Fresh Lime Juice, Agave Nectar (240 cal)",$13
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SHARE,Crispy Chicken Wings,"10 wings with choice of Citrus Teriyaki, Buffalo, or Salt & Pepper (895-1000 cal)",$18
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SHARE,Meat Lovers Flatbread,"Chorizo, Bacon, Pepperoni, Mozzarella (895-1000 cal)",$12
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SHARE,Doritos™ Nachos,"Nacho Cheese Doritos™™, Black Beans, Queso, Pickled Onion, Pico, Crema, Cilantro (1370-1445 cal). Add Roasted Chicken (140 cal) +$5",$18
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SHARE,Margherita Flatbread,"Mozzarella, Parmesan, Tomato, Marinara, Basil, Balsamic Drizzle (580 cal)",$12
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SHARE,Queso & Pretzel Bites,"Tex-Mex Queso, Pico de Gallo (940 cal)",$14
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,TOSS,Caesar Salad,"Romaine, Parmesan Crisp, Caesar Dressing (425 cal)",$10
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,TOSS,Southwest Salad,"Romaine, Fire Roasted Corn, Black Beans, Cheddar Jack, Pickled Red Onion, Avocado, Jalapeno Ranch (740 cal)",$16
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,TOSS,Roasted Chicken,,+$5
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,TOSS,Fried Chicken,,+$6
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,TOSS,Salmon,,+$19
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Samuel Adams Seasonal Brew,(various cal),$8
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Stella Artois,(219 cal),$8
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Guinness,(210 cal),$12
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Fiddlehead,(225 cal),$8
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,White Claw Hard Seltzer,(100 cal),$7
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Miller Lite,(110 cal),$5
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Heineken 0.0,(Non-alcoholic) (69 cal),$7
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Corona Extra,(148 cal),$7
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Samuel Adams Lager 12oz,(175 cal),$7
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,BEERS,Good Fortune IPA 16oz,(132 cal),$10
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,HANDHELDS,All American Burger,"Angus Beef, Lettuce, Tomato, Onion, Pickle (545-1225 cal). Plus-Ups: Double Patty (300 cal) +$6, Cheese (90 cal) +$2, Bacon (220 cal) +$3, Avocado (60 cal) +$2",$16
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,HANDHELDS,Spicy Chicken Bacon Ranch,"Fried or Roasted Chicken, Brioche Bun, Bacon, Tomato, Romaine, Jalapeno Ranch (1280 cal) Non-spicy upon request",$18
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,HANDHELDS,Herb Roasted Chicken Club,"Roasted Chicken Breast, Bacon, Avocado, Herbed Lime Aioli, Arugula, Tomato, Pickled Red Onion (675 cal)",$18
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SAVOR,Sweet Soy Salmon*,"Yellow Rice, Roasted Broccoli, Sweet Soy Glaze (980 cal)",$28
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SAVOR,Steak & Fries,"8 oz Flat Iron, Arugula & Tomato Salad, Chimichurri, House Seasoned Fries (855 cal)",$28
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SAVOR,Crispy Half Chicken,"Lightly Breaded Half Chicken, Herb Roasted Sweet Potato, Roasted Broccoli (1140 cal)",$18
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,SAVOR,Cheese Ravioli,"Blistered Tomato Bruschetta, Arugula, Lemon Oil (755 cal)",$16
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COMPLEMENT,House Fries,(425 cal),$5
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COMPLEMENT,Side Salad,(110 cal),$5
Holiday Inn Saratoga Springs,https://www.ihg.com/holidayinn/hotels/us/en/saratoga-springs/sgany/hoteldetail/dining,COMPLEMENT,Roasted Broccoli,(85 cal),$5
