restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,2 EGGS ANY STYLE,"Two eggs any style, choice of meat, choice of toast, & home fries or hash browns",$13
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,STEAK + EGGS,"6 oz sirloin, two eggs any style, choice of toast & home fries or hash browns",$20
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,SHOE BURRITO,"Scrambled eggs, sausage, peppers, onions, cheddar jack, and a side of salsa & sour cream. Served with home fries or hash browns",$13
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,SUPERFECTA BREAKFAST,"Two eggs any style, choice of meat, choice of toast, one pancake, & home fries or hash browns",$14
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,OMELETTES,HORSESHOE,"Bacon, sausage, ham, peppers, onions, mushrooms & cheddar",$15
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,OMELETTES,WESTERN,"Ham, onions, peppers, & American",$14
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,OMELETTES,SUNSHINE,"Bacon, tomatoes, mushrooms, & cheddar",$14
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,OMELETTES,MEDITERRANEAN,"Black olives, roasted red peppers, spinach, pepperoncinis, & feta",$14
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,FUNNY CIDE BENNY,"English muffin topped with two poached eggs, Canadian bacon, & hollandaise. Served with home fries or hash browns",$15
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,EGGS FLORENTINE,"English muffin topped with two poached eggs, spinach, tomato, & hollandaise. Served with home fries or hash browns",$15
Horseshoe Inn Bar & Grill,https://www.horseshoesaratoga.com/,Breakfast-Lunch,BREAKFAST,BREAKFAST QUESADILLA,"Scrambled eggs, sausage, bacon, peppers, onions, cheddar jack and a side of salsa & sour cream",$15
