restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Sizes,Baby,,$1.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Sizes,Kiddie,,$3.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Sizes,Small Yogurt and Dole Whip,,Regular - $3.50 / Yogurt and Dole Whip - $4.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Sizes,Medium Yogurt and Dole Whip,,Regular - $4.00 / Yogurt and Dole Whip - $4.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Sizes,Large,,$4.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Toppings,Sprinkles,Rainbow Chocolate Chocolate Mint Crushed Peanuts Toasted Coconut,$0.75
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Dips,Humpty Bars,Vanilla ice cream frozen on a popsicle stick and dipped in chocolate,$4.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Dips,Ice Cream,,$4.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Dips,Sandwich,Twist ice cream between two chocolate wafer cookies,$4.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Pints and Quarts,Cake Cones (regular),,$0.75
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Pints and Quarts,Waffle Cones,,$0.75
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Pints and Quarts,Chocolate Dipped Waffle Cones,Chocolate Sprinkles Rainbow Sprinkles Chocolate Mint Crushed Peanuts Toasted Coconut,$1.25
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Pints and Quarts,Pints,,Regular - $5.50 / Yogurt and Dole Whip - $6.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Cones & Dishes,Pints and Quarts,Quarts,,Regular - $7.50 / Yogurt and Dole Whip - $8.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Served with whipped cream,,$3.25
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Kiddie,,$3.25
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Small,,$4.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Medium,,$5.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Large,,$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Sundaes,Toppings,Hot Fudge Hot Butterscotch Cherries Strawberries Pineapple Marshmallow Peanut Butter Chocolate Syrup Salted Caramel Sugar Free Hot Fudge - extra Crushed Peanuts- extra,$0.75
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes,"All specialty sundaes come with whipped cream, nuts, and a cherry.Romeo","Chocolate ice cream, hot fudge, vanilla ice cream, and hot fudge.",$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes,Juliet,"Chocolate ice cream, hot butterscotch, vanilla ice cream, and hot butterscotch.",$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes,Cupid,"Chocolate ice cream, hot fudge, peanut butter sauce, vanilla ice cream, hot fudge and peanut butter sauce.",$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes,Twisted Turtle,"Twist ice cream, hot fudge, salted caramel, pretzels, twist ice cream, hot fudge, salted caramel, and pretzels.",$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes,S'more,"Chocolate ice cream, hot fudge, marshmallow, s'more clusters, vanilla ice cream, hot fudge, marshmallow, and s'more clusters",$5.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes Cont.,"All specialty sundaes come with whipped cream, nuts, and a cherry.Brownie Sundae","Vanilla ice cream, hot fudge, and brownies",$5.75
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes Cont.,Banana Boat,"Chocolate, vanilla, and twist ice cream, bananas, pineapple, chocolate syrup, and strawberries",$7.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes Cont.,Upside Down Banana Split,Same as the Banana Boat except layered in a tall cup,$6.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes Cont.,Banana Royal,"Chocolate ice cream, bananas, hot fudge, vanilla ice cream, bananas, hot fudge",$6.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,Sundaes,Specialty Sundaes Cont.,Chocolate Nut Dip,"Chocolate ice cream, chocolate syrup, nuts, vanilla ice cream, chocolate syrup, nuts",$6.50
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,"Shakes, Sodas, & Slushes",Shakes,Flavors,Vanilla/Chocolate/Strawberry/ Coffee/Pineapple/Cherry/Mocha/ Peanut Butter/Creamsicle,$5.00
Humpty Dumpty Ice Cream,https://humptydumptyicecream.weebly.com/,"Shakes, Sodas, & Slushes",Shakes,Milkshake (22 oz.),,$5.00
