restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Caesar,"Romaine hearts, J+A croutons, shaved Reggiano (gluten free)",Small - $11 / Entree - $15
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Market,"Field greens, grape tomatoes, cucumbers, shaved Romano, dried cranberries, balsamic vinaigrette (gluten free)",Small - $11 / Entree - $15
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Classic Wedge,"Iceberg, bacon, tomato jam, diced onions, bleu cheese crumble, garlic parmesan dressing (gluten free)",$16
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Arugula,"Arugula, roasted beets, matchstick carrots, goat cheese, lemon vinaigrette (gluten free)",Small - $12 / Entree - $16
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Tuscan,"Kale, brussel, spinach, prosciutto, charred grapes, NY apple, candied walnuts, balsamic vinaigrette (gluten free)",Small - $13 / Entree - $17
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Salads,Add to Salad,,Grilled Chicken - $7 / Tuscan Chicken - $8 / Jumbo Shrimp (2) - $9 / Jumbo Shrimp (3) - $12 / Salmon - $12 / Strip Steak - $25
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Bruschetta,"Marinated tomatoes, fresh mozzarella, balsamic reduction",$15
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Mozzarella Bread,"Roasted garlic butter, mozzarella, vodka sauce, marinara",$14
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Mozzarella,"Hand-breaded, lightly fried, vodka sauce",$13
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Truffle Fries,"Signature Dipple fries, truffle oil, Pecorino, garlic parmesan sauce",$13
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Roasted Brussel Sprouts,"Brussel sprouts, applewood smoked bacon, balsamic glaze",$12
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,1/2 Lb Meatball,"Signature meatball, ricotta & toasted focaccia",$16
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,“Stack”,"Eggplant & zucchini, smoked mozzarella, tomato, balsamic glaze",$17
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Fritti Calamari,Onions & piquant peppers (gluten free),$19
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Arancini,"Smoked mozzarella risotto balls, Italian seasoning, marinara cream sauce",$15
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Crisp Chicken Wings,"Garlic parmesan, buffalo, Thai chili (gluten free)",$19
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Antipasto Dilusso (Family Style),"Sicilian olives, roasted artichokes, roasted red peppers, pepperoncini, onions, prosciutto, soppressata mixed greens (gluten free)",$25
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Classic Meatballs (Family Style),"12 housemade meatballs, marinara, ricotta",$28
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Small Plates,Fritti Calamari (Family Style),Onions & piquant peppers,$29
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Sandwiches,Chicken Parmesan,"Pan-fried cutlet, red sauce, pesto, mozzarella",$18
Jacob and Anthony's Italian,https://www.jacobandanthony.com/menus-italian/,Italian Menu,Sandwiches,Balsamic Wrap,"Grilled chicken, field greens, charred grapes, candied walnuts, goat cheese, balsamic vinaigrette",$16
