restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Vegetable Samosa (2) (G),Crispy pastry filled with spiced potatoes and peas,$9.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Gobi Manchurian (G),Batter fried cauliflower tossed with bell pepper and onion in a tangy tomato soya sauce,$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Aam Palak Chaat(V),"Crispy spinach, mango, onion, tomato and tamarind sauce",$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Bhajia (V),Seasonal vegetable fritters,$10.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,"Samosa Chaat (G, D)","Samosa topped with chickpea masala, yogurt, mint and tamarind sauce",$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Tamarind Eggplant (D),"Crispy eggplant topped with chickpea masala, yogurt, mint and tamarind sauce",$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Medhu Vada (Lentil Donuts) (3Pc)(V),Served with sambar and chutney,$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Idly (3Nos)(V),Steamed rice and lentil patties. Served with sambar and chutney,$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Plain Dosa (D),Rice and lentil crepe served with sambar and chutney,$16.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Masala Dosa (D),Rice and lentil crepe stuffed with mashed potatoes. Served with sambar and chutney,$16.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Mysore Masala Dosa (D),Spicy crepe stuffed with mashed potatoes. Served with sambar and chutney,$16.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,VEGETARIAN STARTERS,Extra Sambar for Dosa,,$3.00
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Netholi Fry (G) (New!!),Batter fried anchovies with Indian spice,$16.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Chicken Samosa (2 Nos) (G),"Crispy pastry filled with spiced chicken, potatoes and peas",$12.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Kalmi Kabab (D),Traditional chicken wings cooked in Indian clay oven,$13.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Malabari Wings (D),"Chicken wings tossed with bell pepper, onion and Malabar spices",$15.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Chicken Karmura,"Deep fried chicken with ginger, garlic and red chili flakes, onion, papad and southern spices.",$16.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Telicherry Peppercorn Lamb,"Stir fried lamb with onion, curry leaves and black peppercorn.",$22.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Kovalam Calamari Fry (G),"Batter fried calamari tossed with tomato onion, mustard seeds and curry leaves.",$17.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Mimi Peera,"Tilapia cooked with shredded coconut, turmeric, mustard seeds and curry leaves",$17.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,NON-VEGETARIAN STARTERS,Sheekh Kebab (appetizer),,$18.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,SOUP AND SALAD,Garlic Rasam (V),South Indian special clear spicy soup,$8.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,SOUP AND SALAD,Mulligatawny Soup (V),"Soup made with vegetable, lentils and coconut milk",$8.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,SOUP AND SALAD,Chickpea Salad (D),"Chickpea, cucumber, carrot, tomato, bell pepper and onion with tamarind mint dressing",$9.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,SOUP AND SALAD,Karavalli Salad,House salad with honey lemon dressing,$9.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,SOUP AND SALAD,Chicken Turmeric Soup,"Our special anti- inflammatory soup. This anti-inflammatory soup packed with strong flavors like ginger, garlic, turmeric and peppercorn",$8.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,INDO-CHINESE,Chilli Shrimp (G),"Batter fried shrimp in a classic hot and tangy soy, chili sauce",$25.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,INDO-CHINESE,Chili Chicken (G),"Battered fried chicken in a classic hot and tangy soy, chili sauce",$22.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,INDO-CHINESE,"Chilli Paneer (D,G)","Batter fried paneer in a classic hot and tangy soy, chili sauce",$21.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,INDO-CHINESE,"Chilli Gobi (G,V)","Batter fried cauliflower in a classic hot and tangy soy, chili sauce",$20.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,INDO-CHINESE,"Bean Curd (Tofu) Manchurian (G,V)","Batter Fried tofu mixed with ginger, garlic, bell pepper, onion and soya chili sauce.",$20.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,CHEF'S SPECIALS,Samudra Mix (NEW!!),"Scallops, prawns, calamari and mussels in chef's special coconut milk and turmeric curry sauce. Served with rice",$34.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,CHEF'S SPECIALS,Kuttanadan Duck Curry (NEW!!),"This delicious duck on the bone cooked in Chef's special coconut, coriander, turmeric and curry leavessauce",$32.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,CHEF'S SPECIALS,Kozhi Thenga Paal Curry (NEW!!),"Chicken cooked in mild coconut milk, turmeric, ginger and coriander sauce",$23.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,CHEF'S SPECIALS,Parippu Manga Thaalichathu(V) (NEW!!),"Lentil with fresh mango, coconut and tempered with mustard seeds & curry leaves",$20.95
Karavalli Saratoga,https://www.karavallisaratoga.com/,Main Menu,CHEF'S SPECIALS,Vegetable Olan (V),"Vegetable with butternut squash, back eye peas and potato in coconut milk sauce",$20.95
