restaurant_name,restaurant_url,section,name,description,price
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,BACON CHEESE RICE BALLS,"Panko crusted risotto rice balls stuffed with smoked bacon, green onion, and cheddar cheese fried to golden brown. Served over creamy marinara sauce",$14.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,CHICKEN TAQUITOS,"Roasted chicken, pico de gallo, cilantro and Tex-Mex cheese served with guacamole and sour cream",$14.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,BLUE CRAB CAKES,Served with curry Mayonnaise,$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,PEROGIES,"Topped with sautéed onions, bacon and cheese. Served with sour cream",$12.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,THAI CHICKEN & CHIPS,Crispy Thai Chicken tenders served over lattice fries drizzled with tangy Thai-glace,$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,FETA BRUSCHETTA,Garlic aioli and balsamic glace,$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,CHICKEN QUESADILLA,"Oven baked tortilla stuffed with Mexican spiced chicken breast, bell peppers, onions, pico de gallo. Served with sour cream and salsa.",$16.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,COCONUT SHRIMP,Served with sweet chili Thai sauce,$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,CRISPY CALAMARI,"Lightly breaded calamari, peppers and jalapeños fried to golden brown. Served with southern ranch chipotle mayo",$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,GARLIC BREAD,Traditional garlic butter on Italian bread. Add cheese $4 | bacon $5,$8.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,CHICKEN 65,Deep fried Boneless chicken with authentic Indian spices.,$16.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,REUBEN FRITTERS,"Deep fried corned beef, Swiss cheese and sauerkraut. Served with horse radish and garlic aioli.",$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - APPETIZER,CRACKED BLACK PEPPER & HIMALAYAN SALT DRY RIBS,In house cut and marinated riblets fried and seasoned. Served with tangy Thai dipping sauce.,$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - DIP IT,SPINACH DIP,"Oven baked lobster meat, crab meat, onion, red peppers and cream cheese blend topped with Tex-Mex cheese. Served with tortilla chips and warm pita bread",$14.00
King's Tavern,https://kingstavern.ca/,Main Menu - DIP IT,LOBSTER DIP,"A perfect blend of artichoke, spinach, onions and cream cheese. Served with tortilla chips and warm pita bread for dipping",$15.00
King's Tavern,https://kingstavern.ca/,Main Menu - PUB APPS,MOZZARELLA STICKS,,$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - PUB APPS,FRIED CHEESE CURDS,,$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - PUB APPS,STUFFED POTATO SKINS,,$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - PUB APPS,DILL PICKLES,,$12.00
King's Tavern,https://kingstavern.ca/,Main Menu - PUB APPS,CAULIFLOWER BITES,,$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,BLACKENED FISH TACO,"Blackened haddock on fried flour tortillas with sour cream, pico de gallo and spicy avocado aioli",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,JERK CHICKEN TACO,"Jerk chicken, and pineapple on fried flour tortillas with sour cream, pico de gallo and spicy avocado aioli",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,STREET BOYZ TACO,"Pulled pork, shrimp on fried flour tortilla with pico de gallo & spicy avocado aioli.",$18.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,FAJITAS,"A skillet loaded with sweet onions & peppers and your choice of steak, chicken or shrimp. Served with jambalaya rice, flour tortillas, cheese, tomato, shredded lettuce, salsa and sour cream",$21.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,MUSSEL LOVERS,"Fresh PEl mussels with bell peppers, onions and smoked bacon. Steamed with your choice of white wine gorgonzola cream sauce, coconut curry sauce or spicy tomato sauce",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - MEXICAN DELIGHT,TAPAS GRILL,"Grilled chicken souvlaki, shrimp and baby squid served with Greek salad and tzatziki sauce",$21.00
King's Tavern,https://kingstavern.ca/,Main Menu - NACHOS,NACHO GRANDE,"Multi coloured corn chips loaded with Tex-Mex cheese, tomatoes, lettuce, green onions, black olive. Add chicken, chili or pork $6",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - NACHOS,IRISH NACHOS,"Crispy lattice fries loaded with Tex-Mex cheese, crispy bacon, green onion, jalapenos and tomato. Served with sour cream and guacamole",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - NACHOS,NACHO TOCHO,"Crispy potato tots with Tex-Mex cheese, chili, pico di gallo, drizzle with guacamole & sour cream.",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - POUTINE,CLASSIC,"French fries, cheese curds and gravy",$13.00
King's Tavern,https://kingstavern.ca/,Main Menu - POUTINE,BACON CHEESE BURGER,"Traditional cheesy poutine with ground beef, bacon and cheddar cheese",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - POUTINE,BUTTER CHICKEN POUTINE,"Lattice fries, cheese curds and butter chicken curry",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - POUTINE,CHICKEN BLT,"Our classic cheese curd poutine topped with chicken, bacon, caramelized onion, lettuce and tomato",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - POUTINE,PULLED PORK POUTINE,Our classic cheese curd poutine topped with pulled pork and onion straws,$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,BEEF TENDERLOIN PHILLY,"Sautéed bell peppers, red onion and mozzarella cheese on a ciabatta bun.",$19.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,STEAK MELT,"7 oz. New York steak grilled to perfection, topped with sautéed mushrooms, onions and melted Swiss cheese. Served on a ciabatta bun.",$20.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,SOUTHERN FRIED CHICKEN,"Buttermilk marinated fried chicken, bacon, swiss cheese, chipotle mayo, lettuce, tomato and pickle on a ciabatta bun.",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,CHICKEN CLUB OR TURKEY CLUB,"Grilled chicken or turkey breast with smoked bacon, cheddar cheese, lettuce and tomato.",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,COCONUT CHICKEN MELT,"Coconut crusted chicken breast, pineapple, ham, Swiss cheese, lettuce, tomatoes, chef's mayo with toasted ciabatta bun.",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,PULLED PORK,"Slow roasted tender pulled pork, smothered in Guinness BBQ sauce, topped with crispy straw onions and TexMex cheese. Served on a brioche bun",$16.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,DELI REUBEN,"Shaved smoked meat topped with sauerkraut, Russian dressing and Swiss cheese, grilled to perfection on light rye bread",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - SANDWICHES,FRENCH BEEF DIP,Shaved roast beef piled high on a fresh ciabatta bun. Melted with Swiss cheese. Served with hot au jus & horse radish aioli.,$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - WRAPS,CHICKEN GOAT CHEESE WRAP,"Grilled balsamic chicken, spinach, roasted red peppers and goat cheese",$17.00
King's Tavern,https://kingstavern.ca/,Main Menu - WRAPS,BUFFALO WRAP,"Chicken fingers tossed in buffalo sauce, wrapped with tomatoes, lettuce and Tex-Mex cheese",$17.00
