restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,Peru,,$18.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,Honduras,,$19.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,Espresso Vivace,,$19.50
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,DARK AS HELL,,$19.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,SOTO ESPRESSO,,$18.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,COLOMBIA,,$18.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,TURNING POINT,,$19.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,DOOM CUPÂ®,,$18.50
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,SUMATRA MANDELING,,$19.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,DECAF WATER PROCESSED,,$19.50
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,ESPRESSO 185,,$18.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,ETHIOPIA YIRGACHEFFE,,$19.00
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,ATLAS ESPRESSO,,$18.50
Kru Coffee,https://www.krucoffee.com/,Coffee,Coffee,NO BAD DOGS â KRU COFFEE X TOM DAVIS,,$19.50
