restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Grill,Breakfast,Eggs with Toast,"(Thomas Egg Farm) Over, Scrambled, Sunny Side, Poached (Ex. Large White)","$3.29 (1 Egg) / $3.99 (2 Eggs) / $4.69 (3 Eggs) / $5.39 (4 Eggs) / $3.99 (Ember Farms Sausage (links or patties),) / $3.99 (Hatfield Bacon (3 Slices),)"
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Grill,Breakfast,Oscar’s Smoke House Ham Slice,,$3.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Grill,Breakfast,Home Fries,(Florida Red Potatoes),$3.39
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Toast,,$2.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Hard Roll,,$2.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Bagel,,$2.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,English Muffin,,$2.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Cream Cheese,,$0.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Peanut Butter,,$0.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Cereal,,$3.39 (Bowl)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Cold,,$3.39 (Bowl)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Oatmeal,,$3.39 (Bowl)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,From The Pantry,Breakfast,Grits,,$3.39 (Bowl)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Breakfast,Breakfast,Farmer Dick’s Breakfast Special,"3 Eggs, Home Fries, Toast With a Choice of: Sausage Patty or Link, Bacon or Ham, with Coffee",$15.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,French Toast,,$7.99 (Full Order (3)) / $5.99 (Short Stack (2)) / $3.99 (Single)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Pancakes,,$7.99 (Full Order (3)) / $5.99 (Short Stack (2)) / $3.99 (Single)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Blueberry Pancakes,,$8.99 (Full Order (3)) / $7.29 (Short Stack (2)) / $5.29 (Single)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Waffle,,$6.99 (Single)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Apple Fritter French Toast,,$6.29 (Single)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Hash & Eggs,With Home Fries & Toast,$10.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Corned Beef Hash,,$5.29
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Breakfast Sandwich,"2 Eggs, Cheese & Choice of Meat",$6.29 ((Try it on a donut!))
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,3 Egg Omelet,Plain w/ Home Fries & Toast,$9.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,3 Egg Omelet,"with Cheese, Veggies, or Meat, Includes up to 3 items.
W/ Home Fries & Toast",$12.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Home Made Country Sausage Gravy,Served over Home Made Baking Powder Biscuit with Home Fries,$8.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pancakes & Such,Breakfast,Coffee • Decaf • Tea • Hot Chocolate • Ice Coffee,,$2.99 (Cup)
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Choice of Breads:,Light Rye • Dark Rye • Marble • White • Wheat • Hard Roll • Gluten Free $0.99/slice,
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Choice of Spreads,"Hellman’s Mayo • Russian • Butter • Mustard (Yellow, Hot, Honey or Dijon) • Horseradish $0.50",
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Choice of Fillers,"Lettuce • Onion • Cucumber • Hot Peppers (no charge) Cheese, Tomato or Slaw $0.75 Bacon $1.00",
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Roast Beef,Roasted On-Premises,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Roast Pork,Roasted On-Premises,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Turkey Breast,Roasted On-Premises,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Baked Ham,,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Chicken Salad,,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Corned Beef,,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Pastrami,,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Salami,,$12.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Tuna,Chunk Light in Water,$9.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Bologna,,$7.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,PB & J,,$6.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Liverwurst,,$9.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Boiled Ham,,$9.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Cheese,"Land O’Lakes American, Provolone, Swiss, Muenster, Cheddar, Mozzarella, Pepper Jack",$7.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Famous Custom Made Sandwiches,Lunch,Grilled Cheese,Choice of Bread & Cheese,$8.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Salads,Lunch,Toss Salad,"Our salads are made with a mixture of red and green leaf, iceberg and romaine lettuces. They include tomato, onion, cucumber, carrot, pepper, red cabbage and ripe olives",$9.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Salads,Lunch,Chef Salad,"Includes Turkey Breast, Ham, Salami, Swiss and American Cheeses",$12.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Salads,Lunch,2 Slices of Bread & Butter,,$2.29
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,“Tuna Fish Melt”,"Tuna, Tomato, Swiss, Light Rye, finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,The “Reuben”,"Corned Beef, Home Made Sauerkraut, Swiss Cheese, Mustard and Russian Dressing, Open Face on Light Rye, (Closed Upon Request), finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,The “Spy”,"Hot Pastrami, Spicy Mustard & Provolone on Light Rye Bread, finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,“B.L.T.”,"6 slices of Sugar Cured Bacon, Lettuce, Tomatoes, Mayo & Choice of Bread or Toast",$11.59
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,The“Lakesider”,"Roast Beef, Slab Bacon, Cole Slaw, Muenster Cheese, Toasted Dark Rye & Russian Dressing Finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,The“CORTLAND”,"Roast Beef, Turkey, Bacon, Lettuce, Russian & Melted Swiss finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Our Special Feature Sandwiches,Lunch,The“McINTOSH”,"Ham, Turkey, Slaw, Mustard, Mayo on White with melted Swiss, finished under the broiler",$13.79
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Hamburger,,$13.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Cheeseburger,"W/lettuce, tomato, onion, chips & pickle",$14.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Hamburger Deluxe,,$15.29
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Cheeseburger Deluxe,"W/lettuce, tomato, onion, French Fries & pickle",$16.29
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Chicken Nuggets,,$5.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Hot Dog,(Plain),$2.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Hot Dog,"W/Meat Sauce, Mustard & Onion",$3.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Fresh French Fries,,$4.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Sweet Potato Fries,,$5.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Onion Rings,,$5.49
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Lunch,Lunch,Soup of the Day,12 oz. Served with Oyster Crackers,$4.29
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Apple,,$19.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Apple Brown Betty,,$19.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Apple Cranberry,,$21.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Apple Caramel Walnut,,$21.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Apple Raspberry,,$21.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Dutch Apple,,$19.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Banana Cream,,$19.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Blackberry,,$21.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Blueberry,,$21.99
Lakeside Farms,https://www.lakesidefarmscidermill.com/,Pies,Pies,Blueberry Crumb,,$21.99
