restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Mama Mia's,https://mamamiassaratoga.com/,House Specialties,Menu,Chicken Scarparielllo,"Roasted bone-in chicken, roasted red peppers, potatoes, onions and garlic with sliced sausage. Served sizzling",$26.91
Mama Mia's,https://mamamiassaratoga.com/,House Specialties,Menu,Chicken Cacciatore,,$28.98
Mama Mia's,https://mamamiassaratoga.com/,House Specialties,Menu,Bracciole,"Tender beef braised in an onion, tomato sauce wrapped with parmesan cheese, fresh parsley and garlic . Served over egg fettuccine with a side of garlic bread.",$28.98
Mama Mia's,https://mamamiassaratoga.com/,House Specialties,Menu,Pork Ossobuco,Tender pork shank braised with vegetables in a red wine and tomato sauce.  Served with a Cavatelli Bolognese sauce.,$33.12
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Arancini,"Stuffed rice balls loaded with ragu, mozzarella and peas then lightly breaded",$13.46
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Baked Jumbo Shrimp Oreganata,,$25.88
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Laura's Homemade Mozzarella Triangles,Served with a side of marinara or melba sauce.,$13.46
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Steamed Mussels (Red OR White),Fresh cultivated mussels sauteed & seasoned in a white wine & garlic broth OR in a garlic & plum tomato broth.,$16.56
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Asparagus Wrapped with Prosciutto and Fresh Water Mozzarella,Topped with a brown butter caper sauce. Served over polenta.,$15.53
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Cold Antipasto (Serves 2),"A mix of salami, prosciutto, ham, provolone, fresh water mozzarella, artichokes, olives & roasted red peppers with extra virgin olive oil.",$18.63
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Calamari Fritti,"Tender calamari lightly fried, served with lemon & marinara sauce.",$14.49
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Calamari Fra Diavlo,"Tender calamari lightly fried, tossed in a cayenne & hot cherry pepper sauce.",$15.53
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Homemade Mozzarella Di Casa,"Our homemade fresh water mozzarella served with roasted peppers, fresh tomatoes & basil, drizzled with extra virgin olive oil & balsamic vinegar",$16.56
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Chicken Wings (10),"12 jumbo chicken wings,mild,medium or hot served with celery & blue cheese dressing",$19.67
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Garlic Bread,(with mozzarella cheese $1.00 extra),$6.21
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Long-Stem Artichoke Francese,"Long-stem artichoke dipped & fried in an egg batter, lemon butter sauce over polenta.",$14.49
Mama Mia's,https://mamamiassaratoga.com/,Antipasta,Menu,Fried Chicken Cutlet,Served with a side of French fries and honey mustard.,$9.32
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Calzone,"Additional filling $1.00 each. Ham, Pepperoni, Sausage, Meatballs, Imported Prosciutto, Spinach & Broccoli.",$12.42
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Chicken Roll,"Mozzarella cheese, breaded chicken breast, pizza sauce,parmigianacheese wrapped in a pizza dough.",$12.42
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Eggpllant Roll,"Mozzarella cheese, eggpllant, pizza sauce,parmigianacheese wrapped in a pizza dough.",$12.42
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Garlic Knots (6),"Pizza dough twisted in knots topped with garlic + oil, oregeno, andparmigiana cheese. 6 Per Order",$6.21
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Sausage Roll,"Mozzarella cheese, ground spiced sausage, pizza sauce,parmigianacheese wrapped in a pizza dough.",$12.42
Mama Mia's,https://mamamiassaratoga.com/,Calzones and Rolls,Menu,Pepperoni Roll,"Mozzarella cheese, italian pepperoni, pizza sauce,parmigianacheese wrapped in a pizza dough.",$12.42
Mama Mia's,https://mamamiassaratoga.com/,Contori,Menu,Italian Meatballs (4) OR Fresh Sausage (3),With Marinara Sauce.,$10.35
Mama Mia's,https://mamamiassaratoga.com/,Contori,Menu,Sauteed Vegetables (Serves 2),SPINACH or BROCCOLI or BROCCOLI DI RABE (Seasonal),$10.35
Mama Mia's,https://mamamiassaratoga.com/,Contori,Menu,Side of Spaghetti OR Penne,Marinara Sauce $5.00 Garlic & Oil $6.00 Bolognese $8.00,$0.00
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Eggplant Rollatini,Fresh eggplant rolled with ricotta cheese & topped with melted mozzarella cheese & marinara sauce.,$24.84
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Eggplant Parmigiana,Breaded eggplant baked with Provolone cheese and marinara sauce,$22.77
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Salmon Oreganata,"Salmon, encrusted with a special blend of herbs & spices grilled & served over sauteed fresh spinach",$31.05
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Chicken Sorrentino,"Boneless chicken breast topped with eggplant, prosciutto and provolone cheese.",$31.05
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Chicken Marsala,Tender breast of a chicken sauteed with fresh mushrooms & onions in a imported Marsala wine sauce.,$26.91
Mama Mia's,https://mamamiassaratoga.com/,Entrees,Menu,Chicken Francese,"Lightly battered. tender breast of chicken, sauteed in lemon, sherry & a touch of butter.",$26.91
