restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Bavarian Pretzels,Pretzel sticks served with house-made Mixed Breed Beer Cheese,$14.49
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Mozzarella Sticks,Jumbo breaded mozzarella sticks with your choice of Marinara or sweet raspberry Melba sauce,$14.49
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Cheeseburger Sliders,"Grilled to your liking and topped with Cooper American cheese, caramelized onions, and secret sauce. Served on Kings Hawaiian rolls",$14.49
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Prime Rib Sliders,"Thinly sliced prime rib simmered in au jus, topped with caramelized onions, cheddar and horseradish cream. Served on Kings Hawaiian rolls",$15.53
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Fried Chicken Sliders,"Buttermilk marinated chicken tossed in Korean BBQ, topped with coleslaw and dill pickles. Served on Kings Hawaiian rolls",$15.53
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Hand Breaded Boneless - Single serve,Hand-breaded and sauced your way,$14
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Hand Breaded Boneless - Double serve,Hand-breaded and sauced your way,$25
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Short Games,Cheese Fries,Hand-cut fries topped with house-made Mixed Breed Beer,$10.35 / Add Bacon $3.11 / Add Grilled Chicken $4.14 / Add Short Rib $8.28 / Add Pulled Pork $6.21
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Gimmies,Vista Chips,,$7.25
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Gimmies,Hand-Cut Fries,,$7.25
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Gimmies,Sweet Potato Fries,,$8.28
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Gimmies,Tater Tots,,$8.28
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Gimmies,Onion Rings,,$10.25
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Hand Breaded Chicken Tenders,"Buttermilk marinated tenders are dredged in seasoned flour,
fried to golden brown perfection and served with your choice of
wing sauce",$14.49
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Wings - 5 Wings,"Bbq, Carolina gold bbq, Garlic parm, Pesto, Lemon pepper dry rub, Mild, Medium, Sweet chili, Jamaican jerk dry rub, Cajun dry rub, Garlic parm hot, Spicy pesto, Korean bbq, The mulligan (raspberry hot), Hot, Jamacan me crazy, Extra hot, Out of bounds hot",$9.32
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Wings - 10 Wings,"Bbq, Carolina gold bbq, Garlic parm, Pesto, Lemon pepper dry rub, Mild, Medium, Sweet chili, Jamaican jerk dry rub, Cajun dry rub, Garlic parm hot, Spicy pesto, Korean bbq, The mulligan (raspberry hot), Hot, Jamacan me crazy, Extra hot, Out of bounds hot",$18.63
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Wings - 20 Wings,"Bbq, Carolina gold bbq, Garlic parm, Pesto, Lemon pepper dry rub, Mild, Medium, Sweet chili, Jamaican jerk dry rub, Cajun dry rub, Garlic parm hot, Spicy pesto, Korean bbq, The mulligan (raspberry hot), Hot, Jamacan me crazy, Extra hot, Out of bounds hot",$31.05
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Hand-Breaded Boneless - Single Order (12 oz),"Bbq, Carolina gold bbq, Garlic parm, Pesto, Lemon pepper dry rub, Mild, Medium, Sweet chili, Jamaican jerk dry rub, Cajun dry rub, Garlic parm hot, Spicy pesto, Korean bbq, The mulligan (raspberry hot), Hot, Jamaican me crazy, Extra hot, Out of bounds hot",$15.53
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Birdies,Hand-Breaded Boneless - Double Order (24 oz),"Bbq, Carolina gold bbq, Garlic parm, Pesto, Lemon pepper dry rub, Mild, Medium, Sweet chili, Jamaican jerk dry rub, Cajun dry rub, Garlic parm hot, Spicy pesto, Korean bbq, The mulligan (raspberry hot), Hot, Jamaican me crazy, Extra hot, Out of bounds hot",$25.88
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Soup,Clam Chowda - Cup,"Creamy New England style Chowda with tender clams, bacon, potato and vegetables",$5.18
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Soup,Clam Chowda - Bowl,"Creamy New England style Chowda with tender clams, bacon, potato and vegetables",$8.28
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Soup,Soup du Jour - Cup,Chef's daily creation,$5.18
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Soup,Soup du Jour - Bowl,Chef's daily creation,$8.28
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Soup,French Onion Soup - Crock,"Caramelized onions in a rich beef broth, topped with 
home-made croutons and melted Swiss and Provolone cheeses. Served in a Crock",$8.28
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Garden Salad - Small,"Mixed greens, shredded carrots, cucumbers and cherry tomatoes, served with your choice of dressing",$6.21 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Garden Salad - Large,"Mixed greens, shredded carrots, cucumbers and cherry tomatoes, served with your choice of dressing",$13.36 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Caesar - Small,"Romaine lettuce, house-made croutons, parmesan cheese and our house-made Caesar dressing",$6.21 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Caesar - Large,"Romaine lettuce, house-made croutons, parmesan cheese and our house-made Caesar dressing",$13.46 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Wedge,"Crisp wedges of Iceberg lettuce covered with house-made blue cheese dressing, topped with bacon, hard-boiled egg, cherry tomatoes, red onion, and blue cheese crumble",$15.53 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Chopped Salad,"Romaine, tomatoes, cucumbers, craisins, bacon, grilled chicken, carrots, blue cheese crumble, balsamic dressing",$18.63 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,From the Greens,Fall Harvest Salad,"Spring mix and spinach topped with Granny Smith apples, sharp cheddar, craisins, candied pecans, bacon, and red onion, tossed with poppyseed dressing",$16.56 / Add Bacon $3.11 / Add Crispy Chicken $6.21 / Add Grilled Chicken $7.25 / Add Salmon $8.28 / Add Balsamic Vinaigrette $1.04 / Add Blue Cheese $1.04 / Add Caesar $1.04 / Add Honey Mustard $1.04 / Add Italian $1.04 / Add Oil & Vinagar $1.04 / Add Poppyseed $1.04 / Add Ranch $1.04 / Add Thousand Island $1.04
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Caddies,Grilled Rachel,"Grilled rye bread topped with turkey, Swiss cheese, coleslaw, and Thousand Island dressing",$16.56
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Caddies,Grilled Reuben,"Grilled rye bread topped with corned beef, Swiss cheese, sauerkraut, and Thousand Island dressing",$16.56
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Caddies,The Prime Mozz,"Thinly sliced prime rib simmered in au jus. Topped with caramelized onions, horseradish cream, and mozzarella cheese. Served on a brioche bun",$19.67
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Caddies,Pulled Pork Sandwich,"Braised pork shoulder, tossed in BBQ sauce and topped with coleslaw. Served on brioche bun",$16.56
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Caddies,Fried Chicken Sandwich,"Buttermilk marinated chicken, topped with coleslaw, dill pickles and house-made chipotle mayo. Served on a brioche bun",$16.56
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Brewery Classics,Fish & Chips,"Beer-battered haddock with hand-cut fries, your choice of house-made tartar or cocktail sauce, and a lemon wedge",$26.91
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Brewery Classics,Signature Mac N Cheese,"Macaroni shells baked with a blend of our house-made Mixed Breed Beer Cheese, shredded cheddar jack, parmesan cheese, and topped with crispy onions",$18.63 / Add Sour Cream $1.04 / Add Crispy Onions $1.04 / Add Bacon $3.11 / Add Grilled Chicken $6.21 / Add Crispy Chicken $6.21 / Add Pulled Pork $6.21
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Brewery Classics,Speciality Mac N Cheese - BBQ/Carolina Gold Pulled Pork,Ask your server for additional details,$24.84
Mixed Breed Brewing,https://www.vanpattengolf.com/mixed-breed-brewing,Food Menu,Brewery Classics,Speciality Mac N Cheese - Buffalo Chicken,Ask your server for additional details,$25.88
