restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Lite Bites,Breakfast,House-Made Muffin,seasonal offering,$8
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Lite Bites,Breakfast,Apple Oatmeal,"new york apples, steel-cut oats, brown sugar",$15
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Lite Bites,Breakfast,Sticky Bun,"cinnamon whip, candied pecan, macerated berries",$12
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Lite Bites,Breakfast,Greek Yogurt Parfait,"lakeside maple honey, fresh fruit, house made granola",$13
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Lite Bites,Breakfast,Coffee Cake,cinnamon crumble,$8
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Fresh Seasonal Fruit,,$8
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Sliced Avocado,,$6
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Traditional Bacon,,$9
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Traditional Sausage,,$9
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Canadian Bacon,,$9
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Turkey Bacon,,$9
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Home Fries,,$8
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,English Muffin,,$6
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Sourdough Toast,,$6
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Wheat Toast,,$6
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Sides & Additions,Breakfast,Everything Bagel,,$6
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,The Adelphi Breakfast,"two local farm eggs, choice of bacon, sausage or ham with loaded smoked paprika home fries",$21
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Buttermilk Pancakes,"lakeside maple syrup, whipped butter",$17
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Western Omelette,"cheddar, peppers, ham, loaded smoked paprika home fries",$21
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Egg White Omelet,"mushroom, spinach, goat cheese",$19
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Lobster Omelet,"mascarpone, bisque, chive",$29
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Cinnamon French Toast,"thick cut cinnamon bread, vanilla custard, whipped cream, maple syrup",$17
Morrissey's Lounge & Bistro,https://morrisseyslounge.com/,Main Course,Breakfast,Classic Benedict,"english muffin, candied thick cut ham, poached eggs, hollandaise",$22
