restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - one,Supper Club,DUCK AND SAUSAGE CASSOULET,,
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - one,Supper Club,POTATO LEEK SOUP,,
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - trelo,Supper Club,"KALE, HERBS, ENDIVE, MUSTARD GREENS, ROASTED DELICATA SQUASH, PECANS, FETA",,
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - three,Supper Club,PAN SEARED TROUT,"LEMONY WHITE BEANS, BROWN BUTTER, LEMON, PARSLEY, ROASTED LEEKS",
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - three,Supper Club,LEMONY WHITE,"BEANS, BROWN BUTTER, LEMON, PARSLEY, ROASTED LEEKS",
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - four,Supper Club,STEAK,AU POIVRE & FRITES,
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - four,Supper Club,MUSHROOM,AU POIVRE & FRITES,
The Mouzon House,http://www.mouzonhouse.com/,December Supper Club - firle,Supper Club,CHOCOLATE TRUFFLES,,
The Mouzon House,http://www.mouzonhouse.com/,New Year's Eve Supper Club - one,Supper Club,baked oysters or stuffed mushrooms,,
The Mouzon House,http://www.mouzonhouse.com/,New Year's Eve Supper Club - two,Supper Club,"oranges, beets, shaved fennel, toasted coriander, maple roasted hazelnuts, fresh mint, citrus dressing",,
The Mouzon House,http://www.mouzonhouse.com/,New Year's Eve Supper Club - three,Supper Club,baked crab and lobster gratin or leek and potato gratin with miso and herb breadcrumbs,,
The Mouzon House,http://www.mouzonhouse.com/,New Year's Eve Supper Club - four,Supper Club,beef or mushroom wellington,,
The Mouzon House,http://www.mouzonhouse.com/,New Year's Eve Supper Club - five,Supper Club,chocolate torte with brandy soaked cherries and hazelnuts,,
