restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Neighborhood Kitchen,http://www.nkmilton.com/,LIGHT FARE,Menu,STUFFED PEPPER,"WHOLE BELL PEPPER STUFFED WITH
BRAISED PORK SPARE RIBS, RICE,
SMOKED FRESH MOZZARELLA, TOMATO SAUCE",$13
Neighborhood Kitchen,http://www.nkmilton.com/,LIGHT FARE,Menu,SALT N' VINEGAR BRUSSELS,"CRISPY BRUSSELS SPROUTS, CHOPPED BACON,
DRIED CRANBERRIES, BALSAMIC VINEGAR",$10
Neighborhood Kitchen,http://www.nkmilton.com/,LIGHT FARE,Menu,TATER KEGS,"OVERSIZED TATER TOTS STUFFED WITH BACON,
CHEDDAR, SCALLIONS, RANCH DRESSING",$12
Neighborhood Kitchen,http://www.nkmilton.com/,LIGHT FARE,Menu,FALL QUINOA BOWL,"TRI-COLORED QUINOA WITH
MIXED ROOT SEASONAL VEGETABLES
ADD: CHICKEN $4 | SALMON $8",$12
Neighborhood Kitchen,http://www.nkmilton.com/,GREENS,Menu,NUT & BERRY,"ARCADIAN GREENS, FRESH BERRIES,
SWEETY DROPS, DRIED CRANBERRIES,
GOAT CHEESE, TOASTED HAZELNUTS,
RASPBERRY VINEGAR DRESSING",Single $12 | Family $30
Neighborhood Kitchen,http://www.nkmilton.com/,GREENS,Menu,PEAR & WALNUT SALAD,"ARCADIAN GREENS, BOSC PEARS,
CANDIED WALNUTS, PICKLED ONIONS,
BACON & GORGONZOLA CHEESE SERVED
WITH APPLE CIDER VINEGAR DRESSING",Single $13 | Family $30
Neighborhood Kitchen,http://www.nkmilton.com/,GREENS,Menu,CLASSIC CAESAR,"CRISP ROMAINE, FRESH PARMESAN,
TUSCAN CAESAR DRESSING,
TOPPED WITH SMASHED CROUTONS",Single $10 | Family $25
Neighborhood Kitchen,http://www.nkmilton.com/,GREENS,Menu,THE NK,"ARCADIAN GREENS, TOMATOES,
CUCUMBER, ONIONS,
SICILIAN OLIVES, PEPPADEWS,
WHITE BALSAMIC DRESSING",Single $11 | Family $28
Neighborhood Kitchen,http://www.nkmilton.com/,GREENS,Menu,STEAK SALAD,"ARCADIAN GREENS, SLICED SIRLOIN
STEAK, CARAMELIZED ONION CHEDDAR,
ROASTED PEPPERS AND ONIONS, PINE NUTS,
WHITE BALSAMIC VINEGAR DRESSING",Single $20 | Family $45
Neighborhood Kitchen,http://www.nkmilton.com/,HANDHELDS,Menu,CRISPY CHICKEN SANDWICH,"FRIED CHICKEN BREAST, HOUSE B&B PICKLES,
LETTUCE, APPLEWOOD BACON, NK SAUCE,
PICKLED ONIONS, BRIOCHE BUN",$14
Neighborhood Kitchen,http://www.nkmilton.com/,HANDHELDS,Menu,"BOURBON GLAZED
MEATLOAF SANDWICH","HOUSE MADE MEATLOAF, BOURBON GLAZE,
CHEDDAR CHEESE, ROASTED ONIONS,
POTATO STICKS APPLEWOOD BACON, BRIOCHE BUN",$14
Neighborhood Kitchen,http://www.nkmilton.com/,HANDHELDS,Menu,BUFFALO CHICKEN WRAP,"CHICKEN BREAST, CRISP ROMAINE LETTUCE,
GORGONZOLA CHEESE, CHERRY TOMATOES
WITH BUFFALO WING SAUCE IN AN HERBED WRAP",$13
Neighborhood Kitchen,http://www.nkmilton.com/,HANDHELDS,Menu,CORNED BEEF BRISKET SANDWICH,"SLICED CORNED BEEF BRISKET, ROASTED ONIONS,
APPLEWOOD BACON, GRUYERE CHEESE, STONE
GROUND MUSTARD AIOLI, BRIOCHE BUN",$15
Neighborhood Kitchen,http://www.nkmilton.com/,HANDHELDS,Menu,THE SARATOGA HOT,"FRIED CHICKEN BREAST, BABY GREENS,
PICKLED ONIONS, HOT CRISPY OIL,
HOT CRISPY AIOLI, BRIOCHE BUN",$15
Neighborhood Kitchen,http://www.nkmilton.com/,PASTA,Menu,SHORT RIB RAVIOLI,"FRESH PASTA STUFFED WITH BRAISED BEEF SHORT
RIB, RICOTTA CHEESE, AND HERBS, SAUTEED IN A
SHALLOT, SHERRY MUSHROOM CREAM SAUCE",Lunch $14 | Dinner $22
Neighborhood Kitchen,http://www.nkmilton.com/,PASTA,Menu,FETTUCCINE ALFREDO,"EGG FETTUCCINE, RICH PARMESAN CREAM SAUCE",Lunch $12 | Dinner $18
Neighborhood Kitchen,http://www.nkmilton.com/,PASTA,Menu,RIGATONI ALLA VODKA,"PROSCIUTTO DI PARMA, TOMATO, BASIL,
VODKA CREAM SAUCE, TOSSED WITH RIGATONI PASTA",Lunch $13 | Dinner $19
Neighborhood Kitchen,http://www.nkmilton.com/,PASTA,Menu,MAC & CHEESE,"AGES OF CHEDDAR TOSSED WITH TROTTOLE
PASTA, BAKED WITH BREADCRUMBS AND CHIVES",Lunch $12 | Dinner $18
Neighborhood Kitchen,http://www.nkmilton.com/,PASTA,Menu,BUTTERNUT SQUASH RAVIOLI,"BUTTERNUT SQUASH AND MASCARPONE CHEESE
BLEND TOSSED WITH BROWN BUTTER SAGE SAUCE
AND TOPPED WITH PARMESAN CHEESE & WALNUTS
ADD: BROCCOLI $2 | BACON $4 | CHICKEN $4
PROSCIUTTO DI PARMA $3",Lunch $10 | Dinner $17
Neighborhood Kitchen,http://www.nkmilton.com/,MAINS,Menu,FALL SALMON,"PAN SEARED WILD CAUGHT SALMON
SERVED OVER QUINOA, SHAVED BRUSSELS,
DRIED CRANBERRIES & DICED BUTTERNUT SQUASH,
TOPPED WITH BROWN BUTTER & HAZELNUTS",Lunch $18 | Dinner $26
Neighborhood Kitchen,http://www.nkmilton.com/,MAINS,Menu,BOURBON MEATLOAF,"HOMEMADE MEATLOAF, BOURBON GLAZE,
ROASTED ONIONS, MASHED POTATOES,
SAUTÉED SPINACH",Lunch $14 | Dinner $22
