restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,BRUSCHETTA,"TOMATO, RED ONION, BASIL, BALSAMIC",$11.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,CALAMARI,OLD SCHOOL OR SPICY ARRABBIATA,$18.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,BAKED CLAMS,"BREAD CRUMBS, LEMON",$17.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,EGGPLANT ROLLATINI,"RICOTTA AND SPINACH STUFFING, TOMATO SAUCE, MELTED MOZZARELLA",$16.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,ZUPPA DI CLAMS OR MUSSELS,"WHITE WINE & GARLIC OR LIGHT TOMATO SAUCE, HOUSEMADE BREAD BOWL",$19.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,MEATBALL SLIDERS,"CLASSIC ITALIAN MEATBALLS, HOUSEMADE BREAD",$12.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,CRISPY ZUCCHINI STICKS,WITH LEMON WEDGES,$11.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,CRISPY MOZZARELLA,WITH VODKA AND TOMATO SAUCE,$16.95
Nové Italian Restaurant,http://www.novesaratoga.com/,appetizers,In House,,CAPRESE,"FRESH MOZZARELLA, HEIRLOOM TOMATOES, BASIL, BALSAMIC",$15.75
Nové Italian Restaurant,http://www.novesaratoga.com/,salads,In House,,JUNE,"ICEBERG, TOMATO, RED ONION, PEPPERS, OLIVES, RED WINE VINEGAR VINAIGRETTE",$13.95
Nové Italian Restaurant,http://www.novesaratoga.com/,salads,In House,,CHOPPED,"JUNE SALAD, CHOPPED",$14.95
Nové Italian Restaurant,http://www.novesaratoga.com/,salads,In House,,CAESAR,"ROMAINE, PARMIGIANO, HOUSEMADE CROUTONS, CAESAR DRESSING",$15.95
Nové Italian Restaurant,http://www.novesaratoga.com/,salads,In House,,MISTO,"MIXED GREENS, SLICED APPLE, CANDIED WALNUTS, GORGONZOLA, RASPBERRY VINAIGRETTE",$16.95
Nové Italian Restaurant,http://www.novesaratoga.com/,salads,In House,,ARUGULA,"SHAVED PARMIGIANO REGGIANO, HEIRLOOM TOMATOES, CITRUS VINAIGRETTE. Add-ons: ADD CHICKEN $7.95 / ADD THREE U-10 SHRIMP $10.95",$17.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,RIGATONI ROMANO,"CRUMBLED SWEET ITALIAN SAUSAGE, PINK SAUCE",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,PAPPARDELLE BOLOGNESE,"TOMATO, MEAT SAUCE",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,PENNE VODKA,"TOMATO SAUCE, PROSCIUTTO, CREAM, VODKA",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,SPICY RIGATONI VODKA,"TOMATO SAUCE, PROSCIUTTO, CREAM, VODKA, CALABRIAN CHILI PASTE",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,SPAGHETTI & MEATBALLS,"CLASSIC ITALIAN MEATBALLS, RED SAUCE",$25.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,FETTUCCINE ALFREDO,"PARMIGIANO, CREAM",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,PENNE PANNA,"PARMIGIANO, CREAM, PROSCIUTTO, ONIONS, PEAS",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,ORECCHIETTE,"BROCCOLI RABE, SWEET ITALIAN SAUSAGE",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,LASAGNA,"RICOTTA, MOZZARELLA, TOMATO SAUCE, MEAT RAGÙ",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,LINGUINI WITH CLAM SAUCE,WHITE OR RED,$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,GNOCCHI SORRENTINA,"HOUSEMADE PASTA, TOMATO SAUCE, MOZZARELLA",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,RIGATONI NORMA,"TOMATO SAUCE, EGGPLANT, RICOTTA SALATA, BASIL",$26.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,RIGATONI POMODORO,"TOMATO SAUCE, BASIL",$20.95
Nové Italian Restaurant,http://www.novesaratoga.com/,pasta,In House,,NOVÉ SUNDAY SAUCE (SUNDAY ONLY),"SUNDAY SAUCE SLOW BRAISED WITH PORK, RIBS, ITALIAN SAUSAGE, BRACIOLE AND MEATBALLS, SERVED WITH RIGATONI",$33.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN PARMIGIANA,"BREADED CHICKEN CUTLET, TOMATO SAUCE, MELTED MOZZARELLA, WITH SPAGHETTI",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN MARSALA,"MUSHROOMS, MARSALA WINE",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN MARIO,"PARMIGIANO, ASPARAGUS, SUN-DRIED TOMATOES, WHITE WINE",$28.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN FRANCESE,"WHITE WINE, LEMON",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN NOVÉ,"BREADED CHICKEN CUTLET, TOMATO, RED ONION, BASIL, BALSAMIC",$27.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,CHICKEN SCARPARIELLO,"PIECES ON THE BONE, SWEET ITALIAN SAUSAGE, PEPPERS, POTATOES",$28.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,EGGPLANT PARMIGIANA,"TOMATO SAUCE, MELTED MOZZARELLA, WITH SPAGHETTI",$24.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,FRUTTI DI MARE,"MIXED SEAFOOD: JUMBO SHRIMP, CLAMS, MUSSELS, CALAMARI, OVER SPAGHETTI MARINARA",$33.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,SOLE FRANCESE,"WHITE WINE, LEMON",$30.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,SHRIMP SCAMPI,"FIVE U-10 SHRIMP, LEMON SAUCE, OVER LINGUINE",$31.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,SHRIMP LUCIANO,"FIVE U-10 SHRIMP, RED SAUCE, WINE, SPINACH, OVER LINGUINE",$31.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,VEAL PARMIGIANA,"BREADED VEAL CUTLET, TOMATO SAUCE, MELTED MOZZARELLA, WITH SPAGHETTI",$31.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,VEAL MILANESE,"BREADED VEAL CUTLET, ARUGULA, CHERRY TOMATOES, RED ONION",$31.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,VEAL SCALLOPINI MARSALA,"MUSHROOMS, MARSALA WINE",$32.95
Nové Italian Restaurant,http://www.novesaratoga.com/,main course,In House,,VEAL SCALLOPINI FRANCESE,"WHITE WINE, LEMON",$32.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,MEATBALLS,"TWO LARGE CLASSIC ITALIAN MEATBALLS, RICOTTA",$14.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,"""BURNT"" BRUSSELS SPROUTS",NOVÉ'S WAY...DELICIOUS!,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,ESCAROLE & BEANS,"GARLIC, OLIVE OIL (SEASONAL)",$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,BROCCOLI RABE,"GARLIC, OLIVE OIL",$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,PEAS & PROSCIUTTO,WITH ONIONS,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,sides,In House,,HOMESTYLE POTATOES,WITH ONIONS,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,dessert,In House,,CANNOLI,,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,dessert,In House,,NUTELLA ZEPPOLI,,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,dessert,In House,,FLOURLESS CHOCOLATE CAKE,,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,dessert,In House,,ITALIAN CHEESECAKE,,$10.95
Nové Italian Restaurant,http://www.novesaratoga.com/,dessert,In House,,RAINBOW COOKIE CAKE,,$10.05
