restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,French Onion Soup,"Onions simmered with garlic, brown sugar and finished with a sherry beef stock, house bread crouton, Provolone & Swiss cheeses",$9
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Chipotle Beef Chili with Colby Jack (*GF *,indicates gluten free ),$9
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Soup du Jour,Chef’s homemade soup of the day,$7
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Fried Mozzarella Cheese,"Homemade cheese sticks deep-fried, served with either raspberry or marinara sauce.",$12
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Beef Bruschetta ~,"AVAILABLE WHILE THEY LAST ~ Tender, hand trimmed Filet Mignon tips broiled with roasted peppers and balsamic vinaigrette. Topped with shredded Parmesan and served over grilled garlic toast.",$21
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Buffalo Chicken Wings,"Choose your Style!!! Regular, Hot, Cajun, BBQ or Garlic Pepper Parmesan Our deep fried, crispy, fresh Chicken Wings are tossed in a tangy wing sauce, broiler finished and served with blue cheese and celery-carrot sticks.",$18
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Smoked Gouda Short Rib Poutine ~,"IDEAL FOR SHARING ~ Our award winning, boneless Short Ribs seared & braised with red wine, Worcestershire and brown sugar. Simmered with a rich demi-glace, nestled over seasoned steak fries & garnished with smoked gouda cheese & chopped green onions.",$23
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Shrimp Cocktail (*GF,"without oyster crackers ) A quintet of jumbo Shrimp served with a classic cocktail dipping sauce, crackers and lemon.",$17
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Fried Mushrooms ~,"AVAILABLE WHILE THEY LAST ~ Button mushrooms are batter dipped in Italian-seasoned bread crumbs, deep-fried golden brown, & served with creamy garlic ranch dipping sauce.",$12
Olde Bryan Inn,http://www.oldebryaninn.com/,"Starters, Soups & Salads",Take Out,Garden Salad,"Mesclun field greens, grape tomatoes, cucumbers and garlic croutons with your choice of dressing: Honey ginger, buttermilk ranch, blue cheese, balsamic, Russian",Small $6.5 | Large $11
