restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Fried Calamari,"Lightly fried, served with spicy marinara or hot cherry peppers & lemon aioli",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Clams Casino,"Whole clams, bacon, seasoned vegetable stuffing",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Ma Panza's Meatballs,"Slow-simmered meatballs, San Marzano tomatoes, creamy ricotta, pecorino romano",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Bruschetta Trio,"Served with toasted artisan bread • classic tomato • butternut squash, sage & ricotta • wild mushroom, goat cheese & thyme",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Mozzarella Fritta,"House marinara, parmesan reggiano",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Jumbo Shrimp Cocktail,"Three chilled jumbo shrimp, house-made cocktail sauce",$21
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Chef Dan's Utica Greens for two,"Escarole, pancetta, prosciutto, hot cherry peppers, oreganata & pecorino romano",$21
Panza's Restaurant,https://www.panzasrestaurant.com/,APERITIVI & SMALL PLATES,Dinner,Cacio e Pepe Gnocchi,"Cracked peppercorn, pecorino romano",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,SALADS & MARKET PICKS,Dinner,Insalata Mista,"Mixed greens, house Italian dressing",$12
Panza's Restaurant,https://www.panzasrestaurant.com/,SALADS & MARKET PICKS,Dinner,Autumn Salad,"Butternut squash, shaved apples, spiced pepitas, goat cheese, apple cider vinaigrette, zucchini bread croutons",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,SALADS & MARKET PICKS,Dinner,Caesar Salad,"Romaine lettuce, shaved parmesan reggiano, anchovies, house garlic croutons",$13
Panza's Restaurant,https://www.panzasrestaurant.com/,SALADS & MARKET PICKS,Dinner,Bryant Salad,"Red wine poached pears, gorgonzola crumbles, candied walnuts, white balsamic vinaigrette",$18
Panza's Restaurant,https://www.panzasrestaurant.com/,PRIMI,Dinner,Rigatoni with Meatballs or Sausage,"Rigatoni, house marinara, choice of meatballs or Italian sausage",$34
Panza's Restaurant,https://www.panzasrestaurant.com/,PRIMI,Dinner,Chicken & Sausage Riggies,"Upstate classic- chicken, sausage, peppers & onions, spicy vodka sauce",$38
Panza's Restaurant,https://www.panzasrestaurant.com/,PRIMI,Dinner,Casino Style Linguini White Clam Sauce,"White clam sauce, casino-style aromatics, bacon, toasted breadcrumbs",$38
Panza's Restaurant,https://www.panzasrestaurant.com/,PRIMI,Dinner,Shrimp Carbonara,"North Country bacon, jumbo shrimp, peas, egg yolk, pecorino romano",$42
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Chicken Piccata,"Pan-seared chicken, shallots, mushrooms, crispy capers, lemon butter sauce over pasta",$36
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Chicken Milanese,"Panko-crusted chicken breast, lemon beurre blanc, arugula-tomato salad",$38
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Chicken Parmigiana “Panza’s 1938 Original”,"Breaded chicken cutlet, house marinara, melted mozzarella, side of pasta",$36
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Aunt Celia's Eggplant Parmigiana,"Layered eggplant with house marinara, melted mozzarella, side of pasta - Just like Aunt Celia made it",$36
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Andrew's Italian Sausage & Peppers Parmigiana,"Italian sausage with sauteed peppers, marinara & melted mozzarella, served with a side of pasta",$38
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Ma Panza's Pork Chop,"Our signature pork chop, vinegar peppers, balsamic glaze, seasonal vegetable & potato",$42
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Veal Brettone,"Tender veal medallions, artichokes, mushrooms, jumbo shrimp lemon butter sauce",$48
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Veal Parmigiana,"Breaded veal cutlet, house marinara, melted mozzarella, side of pasta",$40
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Limoncello Shrimp,"Jumbo shrimp, limoncello glaze over preserved lemon risotto, sweet peas",$42
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Butternut Squash Risotto,"Sage, brown butter, toasted pepitas",$34
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Crispy Duckling A'la Flike,"Crispy half duckling, fig honey glaze, seasonal vegetable & potato",$42
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,New York Strip Steak,12 oz New York strip- your choice of au poivre sauce or house made steak sauce seasonal vegetable & potato,$56
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Chef Dan's Steak & Greens,"Sliced sirloin over sautéed Utica greens, cherry pepper marmalade",$56
Panza's Restaurant,https://www.panzasrestaurant.com/,SECONDI,Dinner,Steak Frites,"Grilled hanger steak, parmesan truffle fries, chimichurri",$40
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"NV Moscato I.G.T. Caposaldo, Lombardy, IT",,$12
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"NV Prosecco, Bianca Vigna, Veneto, IT",,$13
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"NV Moet & Chandon, Imperial Brut Champagne, FR",,$38
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"2022 Chardonnay, Josh Reserve, North Coast, CA",,$14
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"2021 Chardonnay, The Calling, Sonoma, CA",,$18
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Riesling, Shades of Blue, Mosel, Germany",,$12
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Sauvignon Blanc, The Crossings, Marlborough,NZ",,$14
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Rose, Fleurs de Prairie, Languedoc, FR",,$16
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Pinot Grigio, Barone Fini, Valdadige D.O.C.",,$12
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Pinot Grigio, Santa Margherita, Alto Adige",,$22
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Pinot Noir, 2021 Firesteed, Oregon",,$12
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"2021 Pinot Noir, The Calling, Russian River, CA",,$18
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Cabernet Sauvignon, 2020, Josh Cellars, CA",,$14
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Cabernet Sauvignon, 2022 Bezel, By Cakebread, Paso Robles, CA",,$20
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Merlot, 2020 Alexander Valley, Sonoma, CA",,$15
Panza's Restaurant,https://www.panzasrestaurant.com/,Wines by the glass,Wine,"Malbec, 2023, Antigal, “Uno”, Mendoza, AR",,$14
