restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Parting Glass Pub,https://www.partingglasspub.com/,Pub Grub,Menu,Open Faced Hot Turkey,Fresh sliced turkey smothered in gravy served with mashed potato and cranberry sauce,$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Pub Grub,Menu,The Cape Codder,"Egg batter dipped sandwich grilled and Filled with turkey, melted swiss cheese, and cran mayo",$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Pub Grub,Menu,Turkey Club,"Turkey, bacon, lettuce, tomato, cheese & mayo",$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,The O' Reilly,"Egg batter dipped bread grilled & filled with corned beef, swiss, and our house mustard sauce",$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Open Faced Reuben,"Hot grilled corned beef, topped with sauerkraut, Russian dressing, and melted swiss cheese",$17.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Shepherd's Pie,"Ground beef & veggies served over a warm biscuit, mashed potato and beef gravy",$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Banger's & Mash,Imported Irish sausage served over our homemade mash potato topped with beef gravy,$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Hot Corned beef Sandwich,Served on rye with melted swiss & must,$16.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Reuben Burger,"Burger topped with corned beef, kraut, Swiss & Russian on grilled rye",$18.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Traditional Irish Breakfast,"2 eggs over easy rasher, banger, pudding, grilled tomato and mushroom",$18.99
Parting Glass Pub,https://www.partingglasspub.com/,Irish Fare,Menu,Fish & Chips,"Fried haddock served with slaw, tarter, and fries",$18.99
Parting Glass Pub,https://www.partingglasspub.com/,Specialty Burgers with fries,Menu,Salmon Burger,Served on hardrolll with tarter and slaw,$19.99
