restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,GREEK SCAMPI,"Our most popular! Three jumbo shrimp sautéed scampi style, served on garlic toast,then topped with melted feta & herb cheese.",$24
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,CLAMS BIANCO (White Sauce),Steamed Long Island Littlenecks finished in a zesty white wine butter sauce. Served with garlic bread for dipping.,$26 / dozen
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,CLAMS PISSCILLIPO (Red Sauce),"Long Island Littlenecks steamed in white wine, finished in marinara sauce. Served with garlic bread.",$26 / dozen
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,SHRIMP COCKTAIL,Four ice cold jumbo shrimp. Served with cocktail sauce.,$21
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,MEATBALLS OR SAUSAGE,Side of homemade meatballs or locally made sausage.,$10
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Appetizers,Menu,Side of ricotta cheese,,$7
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,ROASTED EGGPLANT,"Sliced eggplant roasted, layered with ricotta, spinach, roasted red peppers, baked with mozzarella cheese, finished with marinara sauce and pesto. Served over linguine",$33
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,"CHICKEN, BROCCOLI, GARLIC & OLIVE OIL","A healthy combination of chicken, broccoli, garlic & olive oil tossed with penne pasta, chicken stock and Parmesan",$30
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,CHICKEN PARMIGIANA,"Boneless breast of chicken, hand breaded in our seasoned breadcrumbs. Baked with mozzarella cheese and tomato sauce. Served with linguine",$33
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,CHICKEN PICATTA,"Boneless chicken breast dusted with seasoned flour and pan seared with shallots and capers finished in a white wine, lemon butter sauce.  Served over linguine...",$36
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,CHICKEN MARSALA,"Chicken breast sautéed with shallots, mushrooms and the best Marsala sauce in the area!  Served over linguine",$36
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,VEAL PARMIGIANA,"Hand cut Plume De Veau veal, lightly breaded with our flavorful breadcrumbs, topped with mozzarella cheese and tomato sauce. Served with linguine",$40
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,VEAL AND PEPPERS,"World famous Plume De Veau veal seared then simmered in our tomato sauce, tossed with roasted green peppers and served over linguine",$40
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,NY STRIP STEAK,"A 16-ounce hand trimmed NY Strip Steak topped with our Montreal seasoning, then char grilled to order. Served with potato & vegetable du jour. | Add-ons: Add mushrooms $7 / Add onions $7 / Topped with crumbled Bleu Cheese $8",$55
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,HADDOCK FRANCAISE,Fresh Haddock filet lightly egg battered and sautéed.  Finished with a shallot white wine butter sauce.  Served with potato and vegetable du jour,$36
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,LEMON HADDOCK,A daily special...Fresh Haddock filet baked with lemon butter breadcrumbs. Served with potato and vegetable du jour,$36
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,SHRIMP FRA DIAVOLO,"Sautéed jumbo shrimp in a splash of sherry and a touch of olive oil, with spicy marinara sauce.  Served over linguine",$36
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,SHRIMP & SCALLOPS MARINARA,Fresh sea scallops and jumbo shrimp sautéed with our own zesty marinara.  Served over linguine,$39
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,SHRIMP GENOASE,"Lightly battered jumbo shrimp sautéed in garlic and shallots, flamed with Sherry wine and finished with cream.  Served over linguine",$39
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,CHEESE RAVIOLI,"Large Queen Ann of Brooklyn ravioli filled with ricotta cheese, topped with our famous tomato sauce",$26
Pennell's Restaurant,https://www.pennellsrestaurant.com/,entrée,Menu,BAKED LASAGNA,Our homemade lasagna... Famous for over 102 years,$29
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Pasta entrée,Menu,PENNELL’S OWN TOMATO SAUCE,A simmering recipe since 1922,$24
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Pasta entrée,Menu,MARINARA,Pennell’s own chunky and zesty marinara,$24
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Pasta entrée,Menu,MEATBALLS,Homemade and smothered with our famous tomato sauce,$28
Pennell's Restaurant,https://www.pennellsrestaurant.com/,Pasta entrée,Menu,HOT SAUSAGE,Fresh Italian sausage with tomato sauce,$28
