restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Oysters on the Half Shell,"Cocktail Sauce, Lemon | Add-ons: Add Caviar (MP)",$24 | $47
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Jumbo Shrimp Cocktail,"(3) Cocktail Sauce, Lemon, Louie Aioli",$24
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Chicken Wings,"(10) Gochujang, Blue Cheese",$18
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Avocado Toast,"Avocado Mousse, Feta, Pickled Red Onion, Confit Mushrooms",$18
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Land And Sea,"Beef Tartare, Tempura Shrimp, Crispy Rice, Furikake, Sweet Soy, Spicy Mayo",$26
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Frito Misto,"Shrimp, Calamari, Shishito Peppers, Spicy Tomato",$25
Prime at Saratoga National,https://primeatsaratoganational.com/,STARTERS,Lunch,Crab Tots,"Crab, Béarnaise, Preserved Lemon",$25
Prime at Saratoga National,https://primeatsaratoganational.com/,SALADS,Lunch,Chicory Caesar,"Romaine, Fennel, Sunchoke, Pine Nuts",$18
Prime at Saratoga National,https://primeatsaratoganational.com/,SALADS,Lunch,Endive Salad,"Figs, Gorgonzola, Walnuts",$18
Prime at Saratoga National,https://primeatsaratoganational.com/,SALADS,Lunch,Additions,,Chicken $9 | COULOTTE STEAK $11 | Salmon $9 | (2) JUMBO SHRIMP $16
Prime at Saratoga National,https://primeatsaratoganational.com/,SALADS,Lunch,Soup du Jour,Ask Your Server,MP
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Chorizo Omelet,"Feta, Arugula, Tomato, Herb Salad",$21
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Short Rib Benedict,"Béarnaise, Herb Salad",$26
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,French Toast,"Fried Chicken, Bacon Jam, Chipotle Butter, Maple",$26
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Dry Aged Burger,"Lettuce, Tomato, Onion, Cheddar, Steak Sauce Aioli, Potato Bun",$25
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Bison Burger,"Bacon Jam, Arugula, Comté Cheese",$28
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Chicken Club,"Bacon, Lettuce, Tomato, Avocado Mousse, Steak Sauce Aioli, Ciabatta",$20
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Chicken Salad Wrap,"Pine Nuts, Arugula, Tomato, Preserved Lemon Aioli",$18
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Steak Sandwich,"Coulotte Steak, Charred Onions, Steak Sauce, Gruyère, Local Mushrooms, Ciabatta",$25
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Pastrami Sandwich,"Fried Egg, Cheddar, Steak Sauce Aioli, Ciabatta",$21
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Steak Frites,"Filet Mignon, French Fries, Steak Sauce",$45
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Shrimp Linguini,"Shrimp, Asparagus, Jalapeño Pesto, Lemon",$28
Prime at Saratoga National,https://primeatsaratoganational.com/,MAINS,Lunch,Add,,Add King Oyster Mushroom $4
