restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Putnam Market,https://putnammarket.com/,ESPRESSO DRINKS,Café,ESPRESSO DRINKS,Smoked Vanilla,,$5.50 | $6
Putnam Market,https://putnammarket.com/,ESPRESSO DRINKS,Café,ESPRESSO DRINKS,Coconut Turmeric,,$5.50 | $6
Putnam Market,https://putnammarket.com/,ESPRESSO DRINKS,Café,ESPRESSO DRINKS,Lavender Mocha,,$5.50 | $6
Putnam Market,https://putnammarket.com/,ESPRESSO DRINKS,Café,ESPRESSO DRINKS,Caramel Shroom,,$5.50 | $6
Putnam Market,https://putnammarket.com/,HOT COCOA DRINKS,Café,HOT COCOA DRINKS,Campfire,,$5.50 | $6
Putnam Market,https://putnammarket.com/,HOT COCOA DRINKS,Café,HOT COCOA DRINKS,Hazelnut,,$5.50 | $6
Putnam Market,https://putnammarket.com/,HOT COCOA DRINKS,Café,HOT COCOA DRINKS,Mocha,,$5.50 | $6
Putnam Market,https://putnammarket.com/,HOT COCOA DRINKS,Café,HOT COCOA DRINKS,Turmeric Vanilla,,$5.50 | $6
Putnam Market,https://putnammarket.com/,HOT COCOA DRINKS,Café,HOT COCOA DRINKS,Spiced Shroom,,$5.50 | $6
Putnam Market,https://putnammarket.com/,ICED TEA,Café,ICED TEA,Lemon Ginger,,$4
Putnam Market,https://putnammarket.com/,ICED TEA,Café,ICED TEA,Raspberry Lavender,,$4
Putnam Market,https://putnammarket.com/,ICED TEA,Café,ICED TEA,Coconut Ginger,,$4
Putnam Market,https://putnammarket.com/,ICED TEA,Café,ICED TEA,Matcha Raspberry,,$4
Putnam Market,https://putnammarket.com/,LEMONADE,Café,LEMONADE,Honey Grilled,,$4.25
Putnam Market,https://putnammarket.com/,LEMONADE,Café,LEMONADE,Raspberry Lavender,,$4.25
Putnam Market,https://putnammarket.com/,LEMONADE,Café,LEMONADE,Raspberry,,$4.25
Putnam Market,https://putnammarket.com/,LEMONADE,Café,LEMONADE,Coconut Ginger,,$4.25
Putnam Market,https://putnammarket.com/,HARD CIDER SIGNATURES,Café,HARD CIDER SIGNATURES,CARAMEL APPLE,cider + oak + caramel,$9
Putnam Market,https://putnammarket.com/,HARD CIDER SIGNATURES,Café,HARD CIDER SIGNATURES,VANILLA CHAI APPLE FIZZ,cider + chai + vanilla,$9
Putnam Market,https://putnammarket.com/,HARD CIDER SIGNATURES,Café,HARD CIDER SIGNATURES,GREEN APPLE MATCHA,cider + matcha + vanilla,$9
Putnam Market,https://putnammarket.com/,BEER SIGNATURES*,Café,BEER SIGNATURES*,SHANDY,beer + lemon,$9
Putnam Market,https://putnammarket.com/,BEER SIGNATURES*,Café,BEER SIGNATURES*,BERRY SMASH,beer + lemon + raspberry,$9
Putnam Market,https://putnammarket.com/,WINE SIGNATURES*,Café,WINE SIGNATURES*,OAK BARREL WINE SPRITZER,white wine + oak,$14
Putnam Market,https://putnammarket.com/,WINE SIGNATURES*,Café,WINE SIGNATURES*,GINGER SPRITZER,white wine + ginger + sprite,$14
Putnam Market,https://putnammarket.com/,WINE SIGNATURES*,Café,WINE SIGNATURES*,CITRUS SPRITZ,white wine + lemonade,$14
Putnam Market,https://putnammarket.com/,WINE SIGNATURES*,Café,WINE SIGNATURES*,LAVENDER WINE SPRITZER,red wine + lavender + sprite,$14
Putnam Market,https://putnammarket.com/,WINE SIGNATURES*,Café,WINE SIGNATURES*,BERRY WINE FIZZ,red wine + raspberry + sprite,$14
Putnam Market,https://putnammarket.com/,TURMERIC • MATCHA • SHROOM • COCOA,Café,TURMERIC • MATCHA • SHROOM • COCOA,TURMERIC LATTE BLEND,"warming spices support skin glow, gut health, & immunity. Contains organic coconut milk powder, turmeric, ginger, cinnamon, cardamom, black pepper.",
Putnam Market,https://putnammarket.com/,TURMERIC • MATCHA • SHROOM • COCOA,Café,TURMERIC • MATCHA • SHROOM • COCOA,PURE MATCHA,"for energy, focus, & cellular health. Shade- grown & cold-processed for maximum antioxidant & amino acids.",
Putnam Market,https://putnammarket.com/,TURMERIC • MATCHA • SHROOM • COCOA,Café,TURMERIC • MATCHA • SHROOM • COCOA,SHROOM SHIELD,"functional shrooms for immunity & stress defense. Contains coconut milk powder, cacao, reishi & turkey tail mushroom extract, cinnamon, sea salt, monk fruit extract.",
Putnam Market,https://putnammarket.com/,TURMERIC • MATCHA • SHROOM • COCOA,Café,TURMERIC • MATCHA • SHROOM • COCOA,PUTNAM HOT CHOCOLATE,combines a big dollop of locally made Sundae's Best bittersweet fudge sauce with half & half for the decadent hot chocolate that you absolutely deserve.,
Putnam Market,https://putnammarket.com/,HOT DRINKS,Café,HOT DRINKS,drip,for here $2.50,Regular $2.75 | Large $3.25
Putnam Market,https://putnammarket.com/,HOT DRINKS,Café,HOT DRINKS,espresso 2x,extra shot $1.50,$3
