restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,The Broadway Tower,"oysters, kombu-cured salmon, tuna tartare, crab, shrimp cocktail, mignonette add lobster +$42",$95 for 2+ | $185 for 4+
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,Shrimp Cocktail,"citrus, avocado, lemon, cocktail sauce",$27
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,Tuna Tartare,"garlic, ginger, cucumber, shiso, sesame, soy sauce",$26
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,Oysters On The 1/2 Shell,cucumber mignonette on the side · add caviar +MP,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,Jumbo Lump Crab Cocktail,"avocado mousse, hackleback caviar, saffron pickled shallots",$28
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Raw & Chilled,American Wagyu Beef Carpaccio,"blood orange, agrodolce, fennel, pistachio glass",$29
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Caviar,Baeri Royal Caviar,"quail egg, chives, creme fraîche, blini, chopped shallots",$140 | $260
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Caviar,Kristal Caviar,"quail egg, chives, creme fraîche, blini, chopped shallots",$130 | $230
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Caviar,Oscietre Prestige Caviar,"quail egg, chives, creme fraîche, blini, chopped shallots",$160 | $285
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Caviar,Oscietre Gold Caviar,"quail egg, chives, creme fraîche, blini, chopped shallots",$250 | $450
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Five Onion Bisque,"crispy chevre, chive oil",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Maple Glazed Pork Belly,"creamy polenta, black garlic demi, chili brittle",$24
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Cod Brandade Fritters,"spicy aioli, smoked trout roe",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,"Seafood Gratine ""Coquilles St. Jacques""","lobster, scallops, catch of the day, mussels",$32
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Salt & Char Salad,"mixed greens, cherry tomatoes, cucumber, shaved fennel, shaved carrots, citrus vinaigrette",$16
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Wedge Salad,"tomato, onion, bacon, crispy fennel, ewe's blue cheese",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Burrata Salad,"poached pear, walnut lavash, arugula",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Appetizers & Salads,Little Gem Caesar,"quail egg, whole anchovy, focaccia, parmesan",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Seared Bison Loin,"sweet potato apple hash, cranberry demi",$62
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Nori Encrusted Ahi Tuna,"yuzu broth, accompanied by a spicy tuna vegetable sushi roll",$56
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Asian Style Shrimp,"sushi rice, black bean coconut broth, pickled bok choi",$48
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Duck Three Ways,"seared breast, white bean cassoulet",$54
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Seared Scallops,"lobster risotto, crab salsa",$54
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Roasted Hen,"root vegetables barley, stout demi",$46
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Main Course,Short Rib Ravioli,"veal stock, crispy onions",$42
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,7oz Filet Mignon,,$65
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,9oz Filet Mignon,,$85
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,16oz Bone-In Filet Mignon,,$95
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,7oz Wagyu Top Cap,,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,16oz Pork Chop,,$43
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,12oz NY Strip Steak,,$69
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,14oz Pork Chop,,$43
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,16oz Delmonico Steak,,$95
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,18oz Dry-Aged Kansas City Strip Steak,,$89
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,A5 Miyazaki Wagyu,,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Signature Cuts,Dry-Aged Steak Feature,,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,From The Sea,Pan Seared Salmon,,$40
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,From The Sea,Scallops,,$16 per pc
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,From The Sea,Seared Seabass,,$49
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,MaÎtre d' Butter,,$5
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Lobster Butter,,$5
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Truffle Butter,,$5
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Angry Butter,,$5
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Chimichurri,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Au Poivre,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Bearnaise,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Bordelaise,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Horseradish Cream,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Gorgonzola Cream,,$8
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,2g Shaved Truffles,,$20
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Oscar Style,,$44
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Maine Jumbo Lobster Tail,,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,King Crab Leg,,MP
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Potato Dauphinoise,"bacon, creme fraiche, chives | add crab or lobster +MP",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Cipollini Onions,,$14
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Crispy Brussels,"malt gastique, lardons, apple",$13
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Truffle Pommes Frites,garlic aioli,$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Assorted Wild Mushrooms,"chestnut, oyster, shitake, roasted garlic, thyme",$15
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Butter poached Asparagus,truffle hollandaise,$12
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Mac & Cheese,"aged cheddar cheese sauce, add crab or lobster +MP",$18
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Creamy Mashed Potatoes,,$12
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Creamed Spinach,,$14
Salt & Char,https://saltandcharsaratoga.com/,Dinner Menu,Dinner,Sauces & Additions,Parmigiana Risotto,add crab or lobster +MP,$15
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Affogatto,"choice of amaretto or bailey’s house-made ice cream, coffee liquor, vodka & our signature espresso",$17
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Ice Cream & Sorbet,chef selected sample of house-made ice creams & sorbets,$16
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Opera Cake,"almond sponge cake, chocolate ganache, coffee syrup",$15
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Classic Key Lime Pie,raspberry sauce,$15
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Crème Brûlée,chef selected seasonal flavors,$14
Salt & Char,https://saltandcharsaratoga.com/,Dessert Menu,Dessert,House-Made Sweets,Seasonal Cheesecake,provided by Saratoga Dessert Bar,$16
