restaurant_name,restaurant_url,section,name,description,price
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,TAVERN NACHOS,"Smothered in cheddar cheese, onion, tomatoes, jalapenos, and olives
Served with a side of salsa and sour cream. Add chicken",$9
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,MOZZERELLA STICKS & MARINARA,,$6
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,POTATO SKINS,"Loaded with cheddar and bacon. Served with sour cream
Or try them with broccoli and cheddar",$9
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,CHICKEN FINGERS & TOTS,Try them buffalo or bbq style,$8
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,SPINACH ARTICHOKE DIP,Served with our tortillas and our homemade bread sticks,$10
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,WINGS,"Buffalo, bbq, or teriyaki",$0.50 EA
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,APPETIZERS,POPCORN CHICKEN & TOTS,,$9
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,SALADS,CEASAR SALAD,"Romaine, croutons, parmesan, and ceasar dressing",$7
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,SALADS,GARDEN,"Romaine, carrots, red onion, celery, olives, cucumbers, tomatoes",$7
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,SALADS,BUFFALO CHICKEN,Our garden salad topped with buffalo chicken strips,$9
Saratoga City Tavern,https://www.saratogaspringsmenus.com/saratoga_city_tavern_menu.pdf,SALADS,GREEK,"Romaine, chicken, feta, kalamatta olives, red onion",$9
