restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,The Eddie M (V),"Two fried eggs stacked with American cheese on a Kaiser roll.Add Ham, Bacon or Sausage +",$3.00
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,The Jim Dandy,"Two eggs, American cheese, sausage, bacon and ham on a Kaiser Roll.",$13.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,The Henry Street (V),"Two eggs, cheddar cheese, hash browns, caramelized onions, and sour cream on a white wrap.Add Ham, Bacon or Sausage +",$3.00
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,Breakfast Burrito (V),"Large wheat or white wrap loaded with fried eggs, hash browns, salsa, sour cream, and cheddar cheeseAdd Ham, Bacon or Sausage +",$3.00
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,Grilled Scone and Eggs,"Two over easy eggs served open-faced over a grilled jalapeño cheddar scone topped with crumbled bacon, cheddar and scallions.",$13.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,The Rocket (V),"Two fried eggs, cheddar cheese, sautéed arugula, and tomato.",$10.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,Avocado Toast (V),Toasted,$7
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SWEETS & TREATS,Cinnamon French Toast (V),Two slices of our cinnamon bread with maple syrup and butter.,$12.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COLD SANDWICHES,The Congress Park,Cranberry walnut chicken salad with iceberg lettuce.,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COLD SANDWICHES,The Hathorn,Bacon with lettuce and tomato and fresh avocado.Add turkey +,$2.50
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COLD SANDWICHES,The Broadway,"Roasted turkey, cheddar cheese, sliced apples, arugula, and cranberry spread.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,The Thoroughbred,"Grilled chicken with mozzarella cheese, roasted red peppers, and garlic mayonnaise.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,The Yaddo,"Turkey, bacon, cheddar cheese, spinach, chipotle ranch.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,The Rachel,"Turkey, Swiss cheese, Russian dressing and house-made coleslaw on grilled sourdough.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,The Union,"Ham, cheddar cheese, apples, caramelized onions, cranberry mayo.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,The Whitney (V),"Fresh mozzarella, tomato, spinach, pesto, balsamic reduction, on grilled sourdough.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - GRILLED SANDWICHES,Four-Cheese Grilled Cheese (V),"Gouda, gruyere, fontina and parmesan.Add tomato +",$0.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SALAD,Chicken Lisa,"Our cranberry walnut chicken salad on top of a bed of greens sprinkled with toasted walnuts, dried cranberries and balsamic drizzle.",$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SALAD,Harvest Salad (V),"Spring mix, tomatoes, cucumbers, apples, dried cranberries, toasted walnuts balsamic vinaigrette.Add grilled chicken +",$3.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Hot Coffee,,$3.00
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Iced Coffee,,$3.75
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Cappuccino,,$5.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Americano,,$3.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Cortado,,$3.50
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - COFFEE,Espresso Shot,,$2.75
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Traditional,,$5.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Mocha,,$5.75
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Carmel,,$5.75
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Chai,,$3.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Iced Chai Latte,,$6.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Matcha Latte,,$5.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - LATTE,Iced Matcha Latte,,$6.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - TEA,Hot Tea,Organic English BreakfastEarl Grey SupremeMint VerbanaDecaf CeylonCoconut Green Tea,$2.25
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - TEA,Bread Basket Fresh Brewed Iced Tea,BlackTropical GreenRaspberry,$3.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Two fried eggs stacked with American cheese on a Kaiser roll.Add Ham, Bacon or Sausage +$3.00",,$8.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Two eggs, American cheese, sausage, bacon and ham on a Kaiser Roll.",,$13.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Two eggs, cheddar cheese, hash browns, caramelized onions, and sour cream on a white wrap.Add Ham, Bacon or Sausage +$3.00",,$11.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Large wheat or white wrap loaded with fried eggs, hash browns, salsa, sour cream, and cheddar cheeseAdd Ham, Bacon or Sausage +$3.00",,$11.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Two over easy eggs served open-faced over a grilled jalapeño cheddar scone topped with crumbled bacon, cheddar and scallions.",,$13.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Two fried eggs, cheddar cheese, sautéed arugula, and tomato.",,$10.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Toasted 7-Grain bread with olive oil, Everything Bagel Seasoning, avocado, tomato, and cucumber.",,$12.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,Two slices of our cinnamon bread with maple syrup and butter.,,$12.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - SIDES,"Bacon, Sausage, or Ham$3.99Hash Browns$4.99Loaded Hash Browns$8.99Topped with melted cheese, bacon, scallions, sour creamPlain or Everything Bagel$2.99Add cream cheese +",,$1.00
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,Cranberry walnut chicken salad with iceberg lettuce.,,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,Bacon with lettuce and tomato and fresh avocado.Add turkey +$2.50,,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Roasted turkey, cheddar cheese, sliced apples, arugula, and cranberry spread.",,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Grilled chicken with mozzarella cheese, roasted red peppers, and garlic mayonnaise.",,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Turkey, bacon, cheddar cheese, spinach, chipotle ranch.",,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Turkey, Swiss cheese, Russian dressing and house-made coleslaw on grilled sourdough.",,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Ham, cheddar cheese, apples, caramelized onions, cranberry mayo.",,$14.99
Bread Basket Bakery,https://saratogabreadbasket.com/,Bakery,BAKERY - BAKERY,"Fresh mozzarella, tomato, spinach, pesto, balsamic reduction, on grilled sourdough.",,$14.99
