restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,CHILLED STARTERS,Menu,Jumbo Shrimp Cocktail,"House-made Cocktail Sauce, Horseradish",$26
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,CHILLED STARTERS,Menu,Chef’s Selection of Fresh Oysters*,"Half Dozen on the 1/2 Shell, House-made Cocktail Sauce, Mignonette",$24
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,CHILLED STARTERS,Menu,Seared Ahi Tuna*,"Balsamic Soy Caramel, Pickled Vegetables, Crispy Capers, EVOO",$23
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,CHILLED STARTERS,Menu,Lobster & Crab Cocktail,"Jumbo Lump Crab, Maine Lobster, Lemon Basil Aioli, Calabrian Chile Vinaigrette, Capers",$30
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Nueske’s Bacon Steak*,"Soy Caramel, Sesame Seeds, Scallions",$19
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Wagyu Meatballs,"Marinara, Crème Fraîche, Basil Pesto",$20
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Seared Sea Scallops*,"Bacon-Wrapped, Apricot Chutney",$30
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Wagyu Beef Dumplings,"Sweet Chili Sauce, Scallion, Sesame Seeds",$23
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Oysters Rockefeller*,"Creamed Spinach, Béarnaise Sauce, Panko Breadcrumbs",$23
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Jumbo Lump Crab Cake,"Whole Grain Mustard Beurre Blanc, Arugula, Red Onion, Grana Padano",$25 / $47
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,HOT STARTERS,Menu,Shrimp Calabria,"Garlic-Chile Butter, Lobster Cream, Toasted Baguette",$24
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,OCEAN PLATTER,Menu,Ocean Platter,"Chef Select Oysters on the Half Shell, Cold-Water Lobster Tail, Jumbo Shrimp Cocktail, Crab Cocktail, Seared Ahi Tuna",Grand $85 | Epic $160
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,SOUPS & SALADS,Menu,Steakhouse Wedge Salad,,French Onion Soup Gratinée 530 cal $13
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,SOUPS & SALADS,Menu,Morton’s Greek Chopped Salad,,$16
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,MIDWEST BEEF,Menu,8 oz. Filet Mignon*,,$59
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,MIDWEST BEEF,Menu,12 oz. Filet Mignon*,,$69
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,MIDWEST BEEF,Menu,16 oz. Ribeye*,,$70
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,MIDWEST BEEF,Menu,16 oz. New York Strip*,,$69
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,MIDWEST BEEF,Menu,22 oz. Bone-in Ribeye*,,$79
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,BUTCHER CUTS,Menu,16 oz. Heritage Pork Chop*,,$42
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,BUTCHER CUTS,Menu,14 oz. Dry-Aged Ribeye*,,$67
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,BUTCHER CUTS,Menu,Rack of Lamb*,,$67
Morton's The Steakhouse,https://www.mortons.com/location/mortons-the-steakhouse-saratoga-springs-ny/,BUTCHER CUTS,Menu,16 oz. “Proprietary” Prime Cajun Ribeye*,,$70
