restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,HURRICANE,"black rum, pineapple, passionfruit, black cherry, pomegranate, lime",$16
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,TALL JULEP,"bourbon, mint, ginger, vanilla, & cardamom, topped with seltzer",$15
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,PAINKILLER,"smith & cross, appleton rum, coruba, coconut, OJ, pineapple, nutmeg",$16
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,PINK flamingo,"reposado tequila, guava, agave strawberry, lime, cardamom",$16
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,PIMMS cup,"gin, sweet vermouth, lemon, lime, ginger, mint, & cucumber",$15
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,blue HAWAii,"rum, vodka, mint, lime, pineapple, blue curacao, topped with seltzer",$16
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,Share a PINEAPPLE for 2!!,,$25
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,A NIGHT OWL SOUVENIR CUP!,,$30
The Night Owl Saratoga,http://www.saratoganightowl.com/,N/A MOCKTAILS,Fall & Winter Menu '25-'26,N/A MOCKTAILS,Summer BREEZE,"seedlip, apple cordial, & lemon bitters",$12
The Night Owl Saratoga,http://www.saratoganightowl.com/,N/A MOCKTAILS,Fall & Winter Menu '25-'26,N/A MOCKTAILS,Sober NEGRONI,st. agrestis n/a negroni,$12
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,RUM old-fashioned,"rum, ginger, coffee syrup, cardamaro, with cocoa bitters",$16
The Night Owl Saratoga,http://www.saratoganightowl.com/,Summer Cocktails,Fall & Winter Menu '25-'26,Summer Cocktails,APPLE martini,"vodka, apple juice, chonauer apple, leopold apple, lime, clove, & red cherry",$16
