restaurant_name,restaurant_url,menu_type,name,description,price
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BASKET SARATOGA CHIPS,,$7.73
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BASKET FRIES,,$7.73
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BASKET SWEET POTATO FRIES,,$9.27
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,ONION RINGS,Served w/ Ranch,$9.27
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BUFFALO WINGS,"Hot, Med, Mild, Honey Mustard or BBQ",$16.99
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BONELESS BUFFALO WINGS W/ FRIES OR CHIPS,"Hot, Med, Mild, Honey Mustard or BBQ",$15.45
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,CHICKEN TENDERS,w/French Fries,$14.96
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,HUMMUS & VEGGIE PLATE,"w/ Pita Bread Carrots, Celery, Cherry Tomatoes, Pepper Strips, Broccoli & Hummus",$14.96
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,FRIED MOZZARELLA STICKS,w/ Melba or Marinara,$13.39
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,7” PERSONAL CHEESE FLATBREAD PIZZA,Add Pepperoni $0.75,$6.95
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BOWL SOUP DU JOUR,Served w/ Pita Bread,$9.27
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,GARDEN SALAD,"Spring Greens, Tomatoes, Carrots, Cucumbers, Onions & Croutons. Add Grilled Chicken or Chicken Salad) $5.15",$12.10
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,CAESAR SALAD,"Hand Tossed in Creamy Caesar Dressing, Fresh Lemon Wedge & Croutons. Add Grilled Chicken or Chicken Salad) $5.15",$12.10
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,COBB SALAD,"Grilled Chicken, Hard Boiled Egg, Bacon, Bleu Cheese Crumbles, Tomato, Cucumber & Fresh Sweet Corn",$17.51
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,CHEF SALAD,"Turkey, Ham, Provolone, Cherry Tomato, Cucumber, Red Onion, Hard Boiled Egg on a Bed of Greens",$17.51
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BUFFALO CHICKEN SALAD,"Celery, Carrots, Cherry Tomato, Cucumber, Bleu Cheese Crumbles & Crispy Tortilla Strips",$17.51
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,SEAFOOD SALAD,"Wild Blue Crab and Jumbo Shrimp Tossed in a Mayo-Based Dressing w/ Celery & Seasoning Over a Bed of Greens Topped w/ Cherry Tomato, Cucumber, Carrots, Red Onion, Croutons & Lemon Wedge",$20.60
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,ANGUS BURGER,"w/ Lettuce, Tomato & Onion. Add Cheese $1.29, Add Bacon $2.06",$15.45
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,WESTERN BURGER,"w/ Lettuce & Tomato Topped w/ Onion Rings, Bacon, American Cheese & BBQ Sauce",$17.77
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,58 PHILLY SANDWICH,"Grilled Roast Beef or Grilled Chicken, Caramelized Onions, Provolone Cheese & Horseradish Mayo",$17.77
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BBQ PULLED PORK SANDWICH,Topped w/ Cheddar & Homemade Coleslaw,$16.48
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,FRIED CHICKEN SANDWICH,"Plain or Buffalo w/ Lettuce, Tomato & Onion. Add Cheese $1.29, Add Bacon $2.06",$16.48
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,GRILLED REUBEN OR RACHEL,"Grilled Corned Beef or Grilled Turkey, Sauerkraut & Swiss on Marble Rye",$16.48
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,GRILLED CHEESE,"Add Turkey or Ham $4.38, Add Bacon $3.61",$11.33
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,FRENCH DIP,"Hot Thinly Sliced Roasted Beef, Melted Swiss, Caramelized Onions on a Grilled Buttered French Roll. Served w/ Homemade Au Jus  on the side",$17.77
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,DELI SANDWICHES,"*Turkey, Ham, Corned Beef or Chicken Salad *White, Wheat, Rye & Wrap *Topped w/ Lettuce, Tomato & Red Onions. Add Cheese $1.29, Add Bacon $2.06, Add Roast Beef $2.06, Add Seafood Salad $5.67, Add Cheese $1.29, Add Bacon $3.86",$15.45
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BLT,"(Apple wood Smoked Bacon, Lettuce, Tomato & Mayo",$16.48
58 Roosevelt Bar & Grill,https://www.saratogaspagolf.com/dining/restaurant,Menu,BUFFALO CHICKEN WRAP,"Boneless Buffalo wings, Tomato, Bleu Cheese Crumbles, Bleu Cheese Dressing & Mixed Greens",$16.48
