restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Polenta & Mushrooms (GF),"Grilled polenta, roasted mushrooms, and shaved parmesan.",$16.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Guacamole Brie Melt,"French baguette filled with mashed avocado and sundried tomatoes, topped with brie cheese and herbs.",$15.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Fried Green Tomatoes (VG),With sweet sriracha dipping sauce.,$13.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Flatbread,"Grilled flatbread, herb-whipped ricotta, mission figs, granny smith apples, balsamic reduction, and arugula.",$15.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,"Falafel (GF, VG)",With sweet Thai chili sauce.,$12.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Hummus with Grilled Naan (VG),,$12.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,"Hummus with Crudite (GF, VG)",,$13.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,Soup du Jour,Homemade; Changes Daily,$6.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Let's Begin,French Onion Soup,Homemade,$7.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Mediterranean Salad (GF),"Marinated chickpeas, artichokes, kalamata olives, roasted red peppers, cucumbers, and tomatoes over lemon-tahini dressed arugula and topped with feta cheese.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Chicken & Sundried Tomato Salad (GF),"Grilled chicken, sun-dried tomatoes, red onion, roasted red peppers, kalamata olives, and walnuts served on greens with our house vinaigrette.",$18.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Souvlaki Salad,"A salad of grilled marinated chicken, chopped romaine, red onion, kalamata olives, tomatoes, and feta cheese on grilled naan with tzatziki sauce.",$18.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Citrus Duck Salad (GF),"Baby spinach, dried cranberries, oranges, pecans, goat cheese, and duck leg confit with a sweet poppyseed dressing.",$20.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Crabcakes & Greens,"Two grilled Maryland crabcakes over vinaigrette dressed greens with sliced tomato, cucumbers, and a creamy roasted red pepper sauce.",$21.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Ahi Tuna Salad (GF),"Seared sesame-crusted ahi tuna over mixed greens with red cabbage, shredded carrots, sliced cucumbers, mandarin oranges, and tossed with honey-ginger dressing.",$22.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Falafel Salad,"Crispy falafel over mixed greens with tomatoes, cucumbers, red onion, feta cheese, and our house vinaigrette. Served with a side of hummus, tzatziki sauce, and grilled naan.",$18.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,"Tofu Slaw Salad (GF, VG)","Veggie slaw with sunflower seeds tossed in a honey-lime tahini dressing, topped with grilled tofu, over a bed of arugula.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Orange - Ginger Salmon (GF),"Faroe Island salmon with an orange-ginger glaze over arugula with cucumbers, red onion, toasted slivered almonds, oranges, and lightly dressed with fresh lemon and olive oil.",$21.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,Shrimp & Fennel Salad (GF),"Grilled shrimp, crispy prosciutto, fennel, artichokes, and shaved parmesan tossed with vinaigrette-dressed arugula.",$20.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,"Farm Stand Salad (GF, VG)","Grilled eggplant, portobello mushrooms, chickpeas, roasted tomatoes, roasted red peppers, beets, and sunflower seeds over arugula, with extra virgin olive oil and balsamic reduction.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,A Well Dressed Salad,"Southwestern Quinoa Salad (GF, VG)","Quinoa, roasted corn, poblano peppers, black beans, red onion, bell peppers, and cilantro tossed with honey-lime vinaigrette over baby spinach with a dollop of mashed avocado.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Tabouli Wrap,"A vegetarian wrap filled with hummus, tabouli, chickpeas, cucumbers, mixed greens, feta, and tzatziki sauce.",$16.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Grilled Chicken & Rice Wrap,"Grilled chicken, rice, Swiss cheese, garlic mayo, roasted red peppers, sour cream, and salsa in a grilled wrap.",$18.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Chicken Caesar Wrap,"Grilled chicken, crispy bacon, red onion, tomato, shredded parmesan, and chopped romaine tossed with our homemade Caesar dressing in a wrap.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Raspberry Chipotle Turkey Wrap,"Smoked turkey, havarti, bacon, red onion and raspberry chipotle sauce in a grilled wrap.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Crispy Quinoa Burger,"Crispy pan-fried quinoa cake, melted pepper-jack, avocado, greens, tomato, sprouts, and sriracha mayo on a brioche roll | Gluten-free bun available upon request.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Tuna Wrap,"Our tuna salad with lettuce, tomato, hard-cooked eggs, and sweet pickles in a wrap.",$16.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Falafel Wrap (VG),"Homemade falafel in a wrap lined with hummus, greens, tomato, cucumber, and sweet chili sauce.",$16.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Wraps & Such,Garden Wrap (VG),"Roasted veggies with spinach, portobello mushrooms, wild rice, and romesco sauce in a grilled wrap.",$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Paninis,Turkey & Brie,Smoked turkey and brie cheese with fig jam on grilled olive bread.,$17.00
Scallions,https://scallionsrestaurant.com/,Lunch Menu,Lunch,Paninis,Galileo,"Grilled chicken with Swiss & smoked mozzarella, roasted red peppers & garlic mayo on grilled corn-jalapeño bread.",$17.00
