restaurant_name,restaurant_url,section,name,description,price
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,N.Y. Strip Steak,"12 Ounces, Charbroiled to Perfection. Add Sautéed Mushrooms, Onions or Peppers for 2.29Each",$28.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Grilled Twin Pork Chops,"Bone-In for Flavor, Served with Applesauce",$24.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Homemade Baked Meatloaf,We Only Use Lean Ground Beef,$21.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Calves Liver,Served with Sautéed Onions and Bacon,$19.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Roast Turkey,Slow Roasted and Served with Dressing and Cranberry Sauce,$22.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Hamburger Steak,"A Hearty 10oz of Lean Beef, Grilled to Your Liking. Add Sautéed Mushrooms, Onions or Peppers for 1.99Each",$20.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Southern Fried Chicken,"Honey-Stung Chicken, Fried Golden Brown",$20.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Fried Haddock,"Beer Battered, Fresh and Delicious",$21.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Scallop Dinner,Breaded and Deep Fried,$21.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Scotty's Fish 'N Chips,Beer Battered Fresh Cod,$20.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Clam Strips,Sweet and Flavorful,$19.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Breaded Chicken Tenders,Tender and Juicy,$19.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Butterflied Shrimp,"Jumbo Tiger Shrimp, Lightly Breaded",$21.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Dinners,Fisherman's Platter,"with Fried Flounder, Shrimp, Scallops",$21.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Italian Dinners,Spaghetti or Ziti Marinara,Fresh Cooked Pasta with Our Own Sauce,$16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Italian Dinners,Baked Ziti Parmesan,"with Bubbly, Imported Mozzarella Cheese",$18.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Italian Dinners,Chicken Parmesan,with Ziti or Spaghetti,$21.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Italian Dinners,Enjoy Any of the Above with Homemade Meatballs,,$5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,"One Egg, Toast",,5.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,"One Egg, Toast and Potatoes",,7.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,Two Eggs and Toast,,7.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,"Two Eggs, Toast and Potatoes","with Ham, Bacon or Sausage",8.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,"Two Eggs, Toast and Potatoes",with Hamburger Patty,12.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Breakfast,"Two Eggs, Toast and Corned Beef Hash","Choice of Bread: White, Wheat, Rye or Sourdough. Egg Whites or Egg Beaters Add 3.49",13.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Three Pancakes,,8.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Short Stack,,7.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Chocolate Chip or Blueberry Pancakes,,10.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Short Stack,,9.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Three French Toast Texas Style,,8.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Short Stack,,7.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Strawberries with Whipped Cream,,Add 2.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,BELGIAN WAFFLES,Served Daily Until Noon,
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Butter & Syrup,,9.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle,Blueberries or Strawberries,with Whipped Cream,11.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Trucker's Treats,Steak & Eggs,"8oz N.Y. Strip Steak with Two Eggs, Potatoes and Toast",20.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Trucker's Treats,Hamburger Steak & Eggs,"10oz Hamburger Steak with Two Eggs, Potatoes and Toast",18.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Trucker's Treats,Breakfast Wrap,"Steak, Scrambled Eggs, Cheddar. Served with Potatoes",14.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,Trucker's Treats,Breakfast Sandwich,"Fried Egg and Cheese on a Toasted Hard Roll with Ham, Country Sausage or Bacon. Add a Side of Potatoes for 3.19",10.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Trucker's Treats,Ham Steak,"3 Eggs, Home Fries and Texas Toast",18.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Plain,Served with Toast and Potatoes,10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Western,Served with Toast and Potatoes,13.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Cheese,Served with Toast and Potatoes,12.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Veggie,Served with Toast and Potatoes,13.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Hash & Cheese,Served with Toast and Potatoes,13.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Omelets,Make Your Own Omelet,"Filling Choices: Tomatoes, Spinach, Sausage, Salsa, Peppers, Onions, Mushrooms, Jalapenos, Ham, Chorizo, Broccoli, Bacon, Pepper Jack, Monterey Jack, Swiss, Mozzarella, Cheddar or American. Egg Whites or Egg Beaters Add 3.29",2.19
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Bacon,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Ham,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Canadian Bacon,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Corned Beef Hash,,7.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Link Sausage,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Country Sausage,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Hash Browns,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Home Fries,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Cottage Cheese,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,From the Griddle SIDE ORDERS,Tomatoes,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Toast,,2.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Texas Toast,,2.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,English Muffin,,2.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Hot Oatmeal,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Hard Roll,,3.29
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Dry Cereal,,3.69
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Corn or Blueberry Muffin,,3.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Bagel,with Cream Cheese,3.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,BREAKFAST ALA CARTE,Bagel with Cream Cheese,,4.39
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Homemade Soup,,Cup 5.49 | Bowl 6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Homemade Chili,,Cup 6.49 | Bowl 7.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Tossed Green Salad,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,French Fries,Add Cheese for 2.39,Small 6.49 | Large 7.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Sweet Potato Fries,with Raspberry Sauce,8.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Beer Battered Onion Rings,with Cheese,8.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Beer Battered Onion Rings with Cheese,,9.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Cottage Cheese,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Coleslaw,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Macaroni Salad,,6.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Apple Sauce,,5.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Homemade Mashed Potatoes,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Vegetable of the Day,,5.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Jumbo Chicken Wings,with Blue Cheese & Celery,(6) 14.19 | (10) 18.19
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Boneless Wings,with Bleu Cheese & Celery,13.19
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Deep Fried Pickles,with Side of Ranch,11.79
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Mozzarella Sticks,Served with Marinara. Melba Upon Request,11.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Starters & Sides,Mac & Cheese Bites,with Side of Marinara,11.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,Salads,Chef Salad,"Turkey, Ham and Swiss & American Cheese with Fresh Garden Vegetables",16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Salads,Caesar Salad,with a Grilled Chicken Breast,10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Salads,Caesar Salad with a Grilled Chicken Breast,,16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Salads,Fresh Garden Salad,with a Grilled Chicken Breast,10.69
Scotty's Truck Stop,https://www.scottystruckstop.com/,Salads,Fresh Garden Salad with a Grilled Chicken Breast,,16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Ham,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",9.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Ham and Cheese,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Roast Beef,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Turkey Breast,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Cold Meatloaf,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,BLT,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",9.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Grilled Cheese,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",6.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Grilled Cheese with Ham or Bacon,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Fried Egg (2),"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",8.29
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Western Egg,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",9.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Tuna Fish,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Fish Sandwich,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Chili Dog,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",6.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Hot Dog,"Served with Fresh Leaf Lettuce, Tomato and Onion, Upon Request with a Crisp Dill Pickle. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",6.59
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Bacon - Additions to Sandwiches:,,2.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Sandwiches,Cheese - Additions to Sandwiches:,,1.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Scotty's Specialty Sandwiches,Philly Steak,"with Peppers, Onions and Cheese on a Hoagie Served with French Fries and a Crisp Dill Pickle Spear",15.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Scotty's Specialty Sandwiches,Grilled Chicken,with Lettuce and Tomato on a Hard Roll Served with French Fries and a Crisp Dill Pickle Spear,15.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Scotty's Specialty Sandwiches,Patty Melt,with Coleslaw or Macaroni Salad Served with French Fries and a Crisp Dill Pickle Spear,16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Scotty's Specialty Sandwiches,Club Sandwich,"Choice of Roast Beef, Ham or Turkey Served with French Fries and a Crisp Dill Pickle Spear",16.69
Scotty's Truck Stop,https://www.scottystruckstop.com/,Scotty's Specialty Sandwiches,Grilled Corned Beef Reuben,"On Rye with Swiss, Sauerkraut & Thousand Island Dressing Served with French Fries and a Crisp Dill Pickle Spear",15.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Roast Turkey,with Cranberry Sauce Served with Choice of Potato,16.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Open Face 8oz N.Y. Strip Steak,Served with Choice of Potato,19.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Homemade Meatloaf,Served with Choice of Potato,16.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Slow Roasted Beef,Served with Choice of Potato,16.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Hot Hamburger,with Sautéed Onions Served with Choice of Potato,16.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,Hot Sandwiches,Homemade Meatball Sub,Served with Choice of Potato,16.49
Scotty's Truck Stop,https://www.scottystruckstop.com/,"Scotty's ""Big Boy"" Burgers",Classic Burger,"Fresh 100% USDA Ground Beef Complimentary Fresh Leaf Lettuce, Tomato and Onion, Upon Request. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",10.89
Scotty's Truck Stop,https://www.scottystruckstop.com/,"Scotty's ""Big Boy"" Burgers",Classic Cheeseburger,Your Choice of Premium Cheese,11.69
Scotty's Truck Stop,https://www.scottystruckstop.com/,"Scotty's ""Big Boy"" Burgers",Bacon Cheeseburger,"Your Choice of Cheese and Thick Cut Bacon Complimentary Fresh Leaf Lettuce, Tomato and Onion, Upon Request. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",12.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,"Scotty's ""Big Boy"" Burgers",Aspen Burger,"Classic Burger Topped with Sour Cream and Sautéed Mushrooms Complimentary Fresh Leaf Lettuce, Tomato and Onion, Upon Request. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",12.99
Scotty's Truck Stop,https://www.scottystruckstop.com/,"Scotty's ""Big Boy"" Burgers",Smokehouse Burger,"Wisconsin Cheddar, Thick Cut Bacon and BBQ Sauce Complimentary Fresh Leaf Lettuce, Tomato and Onion, Upon Request. Add Fries 3.89 / with Cheese 4.89. Sweet Potato Fries. Onion Rings 4.89",12.99
