restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Snacks,house-made parker house rolls,"whipped honey butter, flaked sea salt (v)",$5.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Snacks,wood-grilled oysters (1/2 dozen),"tuxedo pei oysters, chorizo butter, green onion emulsion",$21.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Snacks,fried chicken deviled eggs,"gravy filling, sweet pickle relish, hot honey",$10.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Snacks,roasted eggplant dip,"hazelnut dukkah, tahini, harissa oil, cumin dusted wonton chips (v)",$14.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,paella arancini,"bomba rice, swordfish & shrimp sofrito, pickled red onions, shaved manchego, chorizo-paprika sauce",$16.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,seneca wedge,"iceberg lettucve, smoked blue cheese dressing, pork belly lardons, pickled red onions, blistered cherry tomatoes, everything bagel seasoning",$18.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,shrimp & potato empanadas,"yellow corn masa, pimento peppers, harissa remoulade, jalapeno relish",$16.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,pork belly burnt ends,"hoisin & cider glaze, green papaya salad, smoked almonds, thai basil",$18.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,pierogies,"farmer cheese & potato filling, caramelized onions, sour cream, fried leeks (v)",$14.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,coal-roasted beets,"pistachio butter, black garlic vinaigrette, burrata, fried kale chips, chile sea salt (v)",$15.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Appetizers,roasted brussels sprouts,"bacon lardons, apple butter, maple & mustard dressing, toasted pumpkin seeds",$16.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Entrees,wood-grilled hanger steak,"citrus marinade, duck fat potatoes, black garlic aioli, charred tomato salsa, red wine demi",$36.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Entrees,wood-grilled 8oz filet mignon,"spinach mashed potatoes, truffle au poivre",$70.00
Seneca,https://seneca-saratoga.com/,Dinner Menu,Dinner,Entrees,oven-roasted swordfish,"smoked almond romesco, sauteed swiss chard, blistered cherry tomatoes, citrus butter",$36.00
