restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Antipasto Skewers Dozen,,$27.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Caprese Skewers Dozen,,$17.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Veggie Shots Dozen-,,$21.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Veggie Platter 12” / 16″,,$37.00 / $57.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Fruit Skewers 25 ct. / 50 ct.,,$41.00 / $75.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Fruit Platter 12” / 16″,,$42.00 / $62.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Sausage Flower Wontons Dozen-,,$21.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Potstickers Dozen-,Chicken Lemongrass; Veggie,$21.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Marinated Skewers Dozen,Chicken; Beef; Shrimp,$31.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,Candied Bacon Skewers Dozen,,$18.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,• Cheese & Cracker Board with pickles & olives / person,,$7.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,• Add Cured meats ++ / person,,$3.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,• Add veggies & dip ++ / person,,$2.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Appetizers,• Add fruit (Dried & Fresh) ++ / person,,$3.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Mini Croissant Sandwiches 12 ct. / 50 ct.,Choose 1 Filling per DozenRoasted Red Cream Cheese with CucumberTurkey SaladRoast Beef with Horseradish Mayo; Roasted Red Cream Cheese with Cucumber; Turkey Salad; Roast Beef with Horseradish Mayo,$29.00 / $110.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Mini Bagel Sandwiches 12 ct. / 50 ct.,,$35.00 / $125.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Mini Sandwiches 24 ct. / 50 ct.,Turkey; Roast Beef; Ham; Sliced Cheese++ $5.00,$55.00 / $115.00 / $5.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Individual 4″ Quiche,"Bacon, Scallion, & Cheddar; Veggie & Swiss",$52.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Buffalo Chicken Dip /lb.,with Carrots & Celery ++$6.00,$11.00 / $6.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Pinwheels 50 ct. / 100 ct. / Veggie,Chicken Taco,$52.00 / $99.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,Sliced Cheese ++,,$5.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hearty Bites,with Carrots & Celery ++,,$6.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Mac ‘n Cheese,,$35.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Pulled Pork,,$46.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Lasagna with Sausage,,$55.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Meatballs,,$46.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Chicken Piccata,,$46.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Sausage & Peppers,,$46.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Baked Ziti,,$32.00
Simply Food by Maura,https://simplyfoodbymaura.com/,Catering Menu,Catering,Hot Half Trays (serve 8-10),Roasted Red Potatoes,,$35.00
