restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,In a Lil' Haze - NEIPA,"ABV: 6.2%; Part of the ""In a Haze"" series; Infused with Pineapple",13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Restitution - NEIPA,ABV: 6.8%; SPB flagship hazy IPA; Widely distributed locally,13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Slap Juice - NEIPA,ABV: 7%; Juicy IPA; One of Terry's favorites,13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,The Gringo - Mexican Lager,ABV: 4.5%; Served with a lime slice,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Iron Springs Amber,ABV: 5.2%; Ballston Spa's classic amber ale,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Ballston Southies Stout,ABV: 4.5%; Dry Irish stout,13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Head in the Clouds (Fruited Sour),"ABV: 6.3%; Apricot, strawberry and mango; Perfect spring drink",13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Pear-ly Know Ya (Fruited Sour),ABV: 6%; Pear sour,13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Pig E. Smalls,ABV: 5.7%; West Coast IPA,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Czechs and Balance,ABV: 4.8%; Czech pilsner; Very drinkable,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,99 Problems...but the Wit ain't one,ABV: 5.2%; Orange Wit; Served with an orange slice,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,SPB Hard Seltzer,ABV: 6%,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Hudson North Cider Co.,ABV: 5%; Classic hard cider; Gluten free,13oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Road Soda,ABV: 6%; Limited release!; Hard root beer,16oz - $7.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Beer,Beer,Wine Options,,$8
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Wine,Wine,Chardonnay,,$8
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Wine,Wine,Merlot-Malbec,,$8
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Wine,Wine,Riesling,,$8
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Beer Menu,Flights,Flights,Flights of 4 (5oz.),Sample a few beers and/or seltzer flavors,$10
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,The Figgy Piggy,"House ricotta, mozzarella, sliced figs, prosciutto, arugula, balsamic drizzle, parmesan",$15.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,3 Lil' Pigs,"House tomato sauce, mozzarella, farm bacon, pepperoni, pineapple, parmesan",$15.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,Old School,"House tomato sauce, mozzarella, homemade fennel sausage, caramelized onions, bell peppers, parmesan",$15.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,The Rita,"House tomato sauce, fresh mozzarella, basil, parmesan",$13.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,Shroomin',"House ricotta, mozzarella, mushrooms, caramelized onions, truffle oil drizzle, parmesan",$13.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,Dill Pickle Pizza,"Mozzarella, dill pickles, ranch, hot honey drizzle, parmesan",$13.00
Speckled Pig Brewing Co.,https://speckledpigbrewing.com/,Pizza Menu,Pizza,Pizza,The Roni,"House tomato sauce, mozzarella, big pepperoni, hot honey, parmesan",$13.00
