restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,BREWED COFFEE,"Choose from house, dark roast, or decaf; Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $2.75 / Large: $3.25
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,SINGLE ORIGIN coffee,"A rotating in-season light roast showcasing an individual growing region; Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $3.25 / Large: $3.75
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,ICED COFFEE,"Brewed Japanese style; Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $4.00 / Large: $4.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,ORGANIC HOT TEA,"Choose from black, green, white or herbal varieties; Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",$4.00
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,ORGANIC ICED TEA,"Choose classic black, citrus green or scarlet; Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $4.00 / Large: $4.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,CHAI LATTE,"Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $5.00 / Large: $5.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,MATCHA LATTE,"Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $5.25 / Large: $5.75
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,HOT CHOCOLATE,"Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",Regular: $4.25 / Large: $4.75
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,JUG-O-JOE,"Serves 8-12 people (one size); Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",$28.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,COFFEE & TEA,ESPRESSO,"Add-ons: ADD-ONS – Add a flavor shot $0.85 – Substitute soy, almond, or oat milk at no charge",$3.25
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,SHAKES AND SMOOTHIES,CINCO SHAKE,"Espresso blended with caramel, white chocolate, and vanilla, topped with whipped cream",Regular: $6.00 / Large: $6.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,SHAKES AND SMOOTHIES,MOCHA SHAKE,Espresso blended with chocolate sauce and topped with whipped cream,Regular: $6.00 / Large: $6.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,SHAKES AND SMOOTHIES,JAVA SHAKE,Espresso blended with vanilla syrup and topped with whipped cream,Regular: $6.00 / Large: $6.50
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,SHAKES AND SMOOTHIES,PROTEIN POWER SHAKE,"Protein powder, fruit puree, and a banana",$7.95
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,SHAKES AND SMOOTHIES,FRUIT SMOOTHIE,"Strawberry, mango, peach, wildberry, strawberry banana",$6.00
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,BAGELS/ENGLISH MUFFINS (with plain cream cheese or butter),"Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$3.75
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,BAGELS/ENGLISH MUFFINS (with veggie cream cheese),"Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$3.95
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,BAGELS/ENGLISH MUFFINS (with cream cheese and smoked salmon),"Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$9.75
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,BAGELS/ENGLISH MUFFINS,"Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$2.95
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,"BACON, EGG & CHEESE BREAKFAST SANDWICH","Two pan-fried eggs topped with melted cheddar and bacon on choice of bagel; Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$8.45
SPoT Coffee,https://www.spotcoffee.com/,Our Menu,Menu,ALL DAY BREAKFAST,MIKE SANDWICH,"Two pan-fried eggs, melted provolone, and cream cheese served on a choice of; bagel, English muffin, or SPoT white or wheat signature bread; Add-ons: ADD ONS:Lettuce, tomato, onion, peppers, cucumbers, spinach $1.25Ham, bacon, sausage, guacamole $2.50 – chicken $4.00 – smoked salmon $5.95",$8.75
