restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Pad Thai,"The most famous Thai rice noodle dish, stir-fried with chicken, shrimp, bean sprouts, scallions, egg and crushed peanuts. Add-ons: add Broccoli +$2.50 / add Tofu +$1.00 / add Beef +$1.00",$17.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Chicken Satay,Charcoal grilled marinated chicken in a special coconut sauce on skewers served with peanut sauce and cucumber sauce,$9.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Thai Spring Rolls,"Thai style crispy egg roll, served with sweet and sour",$8.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,California Roll*,"Crab, avocado, cucumber, sesame see, and masago. Add-ons: add Spicy Mayo +$1.00 / add Cream Cheese +$0.50 / sub Brown Rice +$0.50",$9.00
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Steamed Pork Dumplings,Steamed minced pork dumplings served with ginger sauce,$9.25
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Spicy Tuna Roll,"Tuna, scallions, and sesame seeds with spicy sauce. Add-ons: add Crunch +$0.50 / sub Brown Rice +$1.00 / add Cucumber +$1.00 / add Spicy Mayo +$0.50",$10.00
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Miso Soup,"Delicate broth with miso, tofu, scallions and seaweed",$3.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Green Salad,"Lettuce, cucumber, tomatoes, and carrots served with our house ginger dressing",$4.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Avocado & Cucumber Roll*,Add-ons: add Crunch +$0.50 / sub Brown Rice +$1.00 / use soy paper +$1.00,$8.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Popular,Edamame,"Steamed soybean, lightly salted",$7.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Lunch Ginger & Mushrooms,"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of favorite meat sauteed with julienne ginger, onions, bell peppers, scallions, celery and mushrooms in thai ginger sauce",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Lunch Broccoli,"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with broccoli, mushrooms, and carrots in black bean sauce",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Lunch Sweet & Sour,"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with bell peppers, tomatoes, onions, carrots, snow peas, cucumbers, pineapple, and scallions in our sweet and sour sauce",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Mixed Vegetables (Lunch),All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with fresh garden vegetables in a light brown sauce,$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Rama Garden (Lunch),All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat steamed with vegetables topped with the house peanut sauce,$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Cashew Nut (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with roasted cashew nuts, onions, scallions, bell peppers, mushrooms, water chestnuts, and celery",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Basil & Chili (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with bell peppers, mushrooms, onions, and basil leaves in spicy chili suace",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Spicy Bamboo (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with bamboo shoots, mushrooms, bell peppers, onions, and scallions in a chili sauce",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Garlic (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with baby corn, snow peas, onions, garlic, and peppers",$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Specials,Prik King (Lunch),All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Choice of your favorite meat sauteed with string beans and bell peppers in Prik King (Chili paste) sauce,$13.95
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Garden Curry,Red Curry (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Red curry in coconut milk with bell peppers, bamboo shoots, carrots, and basil leaves. Add-ons: add Potatoes +$1.00",$14.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Garden Curry,Green Curry (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Green curry in coconut milk with string beans, bamboo shoots, green peas, bell peppers, and basil leaves. Add-ons: add Potatoes +$1.00",$14.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Garden Curry,Yellow Curry (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Yellow curry in coconut milk with onions, carrots, potatoes, pineapple chunks, and bell peppers. Add-ons: add Shrimp +$1.00",$14.50
Sushi Thai Garden,https://www.sushithaigardensaratoga.com/,Online Order Menu,Online Order,Lunch Thai Garden Curry,Massaman Curry (Lunch),"All Served with Jasmine rice. Please choose your favorite meat or tofu. Available Daily 11:30am - 3:00pm. Massaman curry in coconut milk with onions, carrots, potatoes, and peanuts. Add-ons: add Broccoli +$1.00",$14.50
