restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Signatures,LEMON RICOTTA PANCAKES,"As seen on Beat Bobby Flay 2 fresh lemon and ricotta pancakes. Light, fluffy, and delicious. Fresh blueberries and blueberry compote.",$17.75
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Signatures,CINNAMON ROLL PANCAKES,"2 fluffy oversized buttermilk pancakes, decadent cinnamon roll filling, maple glaze, homemade whipped cream. Created by kids for all pancake lovers, a Sweet Mimi’s tradition.",$17.75
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Signatures,BACON PANCAKES,"As seen on CBS’ The Talk 3 buttermilk pancakes, crispy bacon in and out, homemade salted caramel sauce, and whipped cream.",$17.75
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Classics,CLASSIC OMELETTE,"3 egg* omelette (Substitute egg whites only +2) Choose three add-ons (+1.50 per additional) Cheese: Cheddar, American, Swiss, fresh mozzarella, goat, feta Meat: Applewood smoked bacon, pork or chicken sausage Vegetables: Peppers, onions, sautéed mushroom, tomatoes, roasted asparagus, garlic spinach, caramelized onion",$16.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Classics,ALL AMERICAN EGGS,Eggs* served your style,$1
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Mimi’s Classics,ROMAN EGGS,"Roasted asparagus, crispy prosciutto, 2 eggs* over easy, heirloom cherry tomatoes, shaved Parmesan, grilled ciabatta",$17.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Breakfast Sandwiches,CHARLIE’S SANDWICH,"Two eggs* omelette style, American cheese, applewood smoked bacon, toasted English muffin",$9.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Breakfast Sandwiches,SARATOGA SANDWICH,"Two eggs* your style, sausage patty, Vermont extra-sharp white cheddar, famous flaky homemade biscuit",$13.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Breakfast Sandwiches,ITALIAN SANDWICH,"Two eggs* your style, prosciutto, garlic spinach, fresh mozzarella, pesto, sliced tomato, grilled rosemary ciabatta",$12.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Breakfast Sandwiches,BISTRO SANDWICH,"Two eggs* your style, applewood smoked bacon, sliced tomato, avocado, grilled buttery croissant",$12.50
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Sweet Breakfast,JEANNETTE’S SIGNATURE BUTTERMILK PANCAKES,"Made from scratch in small batches all day, whipped cream Full stack short stack solo ",$3
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Sweet Breakfast,BUTTERMILK WAFFLE,"Light and fluffy buttermilk waffle, whipped cream",$11
Sweet Mimi's Cafe & Bakery,https://sweetmimiscafe.com/,Cafe Menus,Cafe Menu,Sweet Sweet Breakfast,CHALLAH FRENCH TOAST,"Thick-cut challah, Madagascar vanilla and cinnamon custard, strawberry compote, fresh strawberries (GF upon request)",$16.75
